size_bucket,transfer_count,bucket_volume
<0.01,4539,12.417757798834021138000000000000000000
0.01-0.1,4964,219.96100902859575357000
0.1-1,14166,5847.25700648059700515600
1-10,34761,169637.11127486653578498900
10-100,128203,5913844.2441136141772585
100-1000,235684,103806950.3296717320514816
1000-10000,180067,518206515.0468057426538968
10000-100000,30878,947684396.8760743223732707
100000-1000000,9585,2142329100.313786436697
1000000-10000000,1322,4949828478.583922169187
>=10000000,502,9826544301.657464735091
