month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2018-09-01,179,179,6323128249536,6323128.249536000000,42,74,74
2018-10-01,1795,1785,318625922508417,318625922.5084170000,731,936,944
2018-11-01,16476,16454,415728229050272,415728229.0502720000,7081,7504,7601
2018-12-01,31507,31019,954203639278228,954203639.2782280000,14105,14577,14901
2019-01-01,35861,34797,3040370702179619,3040370702.1796190000,15781,16435,16854
2019-02-01,38663,37713,1205443591275298,1205443591.2752980000,16366,17084,17690
2019-03-01,45881,43882,549449698713434,549449698.7134340000,18681,19366,20289
2019-04-01,63131,61615,1328633888840148,1328633888.8401480000,26087,26830,28066
2019-05-01,107911,104458,1692911615618176,1692911615.6181760000,46497,47361,50781
2019-06-01,121837,114745,1814892591580000,1814892591.5800000000,48893,50173,53899
2019-07-01,123936,110043,2551729804231648,2551729804.2316480000,42117,43098,46464
2019-08-01,106582,92606,2133313347969420,2133313347.9694200000,34505,36054,38894
2019-09-01,92675,83657,2224891632777264,2224891632.7772640000,32899,34369,37514
2019-10-01,115443,99319,2644888881746746,2644888881.7467460000,38761,39109,43678
2019-11-01,121216,103090,2565497816944960,2565497816.9449600000,39087,39181,43127
2019-12-01,112432,97009,2374022912724881,2374022912.7248810000,37555,38519,41965
2020-01-01,150409,129560,3405731553014237,3405731553.0142370000,48098,48726,53215
2020-02-01,222462,184144,3100613345269172,3100613345.2691720000,65594,63882,70915
2020-03-01,392712,284360,6402134190227404,6402134190.2274040000,84378,88450,93933
2020-04-01,328900,237466,4067174104634311,4067174104.6343110000,81796,86609,93019
2020-05-01,335456,263121,4128318780821395,4128318780.8213950000,96217,106913,113918
2020-06-01,416231,318128,7571920339364299,7571920339.3642990000,109566,116048,127609
2020-07-01,610504,452570,18135601324260121,18135601324.2601210000,138459,148763,159447
2020-08-01,748625,614969,24483427217671928,24483427217.6719280000,187404,182417,217280
2020-09-01,979005,794523,51770797585022427,51770797585.0224270000,170360,188416,198348
2020-10-01,1170909,1035497,47639496218671171,47639496218.6711710000,352383,389939,404278
2020-11-01,1596517,1450293,35756793368834898,35756793368.8348980000,592632,698091,725719
2020-12-01,1454153,1277649,43752537186339179,43752537186.3391790000,385989,453175,472552
2021-01-01,1580560,1374267,91985843100703928,91985843100.7039280000,365389,407205,427538
