month,newly_adopted_addresses
2018-09-01,74
2018-10-01,908
2018-11-01,7370
2018-12-01,13768
2019-01-01,14782
2019-02-01,14832
2019-03-01,16547
2019-04-01,23037
2019-05-01,42516
2019-06-01,43742
2019-07-01,36200
2019-08-01,28953
2019-09-01,27268
2019-10-01,31574
2019-11-01,31123
2019-12-01,30310
2020-01-01,39110
2020-02-01,52136
2020-03-01,73127
2020-04-01,70288
2020-05-01,88032
2020-06-01,92876
2020-07-01,118073
2020-08-01,145251
2020-09-01,147029
2020-10-01,340478
2020-11-01,635759
2020-12-01,379752
2021-01-01,319227
2021-02-01,387212
2021-03-01,415659
2021-04-01,578561
2021-05-01,393892
2021-06-01,316566
2021-07-01,270926
2021-08-01,280886
2021-09-01,311390
2021-10-01,331650
2021-11-01,361930
2021-12-01,329360
2022-01-01,262642
2022-02-01,222946
2022-03-01,244510
2022-04-01,206801
2022-05-01,279640
2022-06-01,242109
2022-07-01,212311
2022-08-01,191115
2022-09-01,190877
2022-10-01,160632
2022-11-01,245015
2022-12-01,377206
2023-01-01,431466
2023-02-01,412867
2023-03-01,303219
2023-04-01,183851
2023-05-01,148047
2023-06-01,214699
2023-07-01,292976
2023-08-01,185745
2023-09-01,162582
2023-10-01,188753
2023-11-01,188164
2023-12-01,240109
2024-01-01,241963
2024-02-01,215206
2024-03-01,270230
2024-04-01,258483
2024-05-01,300220
2024-06-01,239917
2024-07-01,247119
2024-08-01,266424
2024-09-01,269498
2024-10-01,255502
2024-11-01,310244
2024-12-01,366603
2025-01-01,449806
2025-02-01,482349
2025-03-01,553771
2025-04-01,649484
2025-05-01,643717
2025-06-01,710089
2025-07-01,734183
2025-08-01,840000
2025-09-01,930554
2025-10-01,1090890
2025-11-01,1198058
2025-12-01,1639265
2026-01-01,2262898
2026-02-01,1899613
2026-03-01,2015891
2026-04-01,1373955
2026-05-01,1623239
2026-06-01,1683828
