month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2018-09-01,13,13,1,7511829900000,7511829.900000000000,18,18,1,103600000,103.6000000000000000,7511726.3000000000000000,7511726.3000000000000000
2018-10-01,67,67,1,120548501070000,120548501.0700000000,12,12,1,651400290000,651400.290000000000,119897100.780000000000,127408827.0800000000000000
2018-11-01,115,115,1,52656391100000,52656391.100000000000,29,29,1,2874939570000,2874939.570000000000,49781451.530000000000,177190278.6100000000000000
2018-12-01,153,153,1,81133183860000,81133183.860000000000,59,59,1,7112314530000,7112314.530000000000,74020869.330000000000,251211147.9400000000000000
2019-01-01,219,219,2,294329568040000,294329568.0400000000,128,128,2,237746992330000,237746992.3300000000,56582575.7100000000,307793723.6500000000000000
2019-02-01,157,157,1,39375002560000,39375002.560000000000,105,105,1,110250794040000,110250794.0400000000,-70875791.480000000000,236917932.1700000000000000
2019-03-01,168,168,1,31899277160000,31899277.160000000000,89,89,1,22122505120000,22122505.120000000000,9776772.040000000000,246694704.2100000000000000
2019-04-01,194,194,1,71658633170000,71658633.170000000000,122,122,1,25169163320000,25169163.320000000000,46489469.850000000000,293184174.0600000000000000
2019-05-01,238,238,1,84848290030000,84848290.030000000000,144,144,1,43939534300000,43939534.300000000000,40908755.730000000000,334092929.7900000000000000
2019-06-01,266,266,2,68756502980000,68756502.980000000000,201,201,2,36214549910000,36214549.910000000000,32541953.070000000000,366634882.8600000000000000
2019-07-01,355,355,1,128418013780000,128418013.7800000000,227,227,1,58883871730000,58883871.730000000000,69534142.050000000000,436169024.9100000000000000
2019-08-01,318,318,1,93785941280000,93785941.280000000000,355,355,1,76147169860000,76147169.860000000000,17638771.420000000000,453807796.3300000000000000
2019-09-01,240,240,2,87139836060000,87139836.060000000000,409,409,1,111083335570000,111083335.5700000000,-23943499.510000000000,429864296.8200000000000000
2019-10-01,353,353,2,124683331050000,124683331.0500000000,465,465,2,90014348320000,90014348.320000000000,34668982.730000000000,464533279.5500000000000000
2019-11-01,269,269,2,112876149140000,112876149.1400000000,349,349,2,119949411720000,119949411.7200000000,-7073262.5800000000,457460016.9700000000000000
2019-12-01,237,237,1,141270030410000,141270030.4100000000,263,263,1,78361335240000,78361335.240000000000,62908695.170000000000,520368712.1400000000000000
2020-01-01,254,254,2,87189983100000,87189983.100000000000,380,380,2,166828905240000,166828905.2400000000,-79638922.140000000000,440729790.0000000000000000
2020-02-01,349,349,2,85229690470000,85229690.470000000000,332,332,2,81102918990000,81102918.990000000000,4126771.480000000000,444856561.4800000000000000
2020-03-01,517,517,2,343673847460000,343673847.4600000000,300,300,2,95061330160000,95061330.160000000000,248612517.300000000000,693469078.7800000000000000
2020-04-01,296,296,3,144076634940000,144076634.9400000000,268,268,3,110486829410000,110486829.4100000000,33589805.5300000000,727058884.3100000000000000
2020-05-01,264,264,2,112974494880000,112974494.8800000000,170,170,2,109113378460000,109113378.4600000000,3861116.4200000000,730920000.7300000000000000
2020-06-01,316,316,1,331241410070000,331241410.0700000000,234,234,2,76621230920000,76621230.920000000000,254620179.150000000000,985540179.8800000000000000
2020-07-01,439,439,2,334325499020000,334325499.0200000000,348,348,2,239602853150000,239602853.1500000000,94722645.8700000000,1080262825.7500000000000000
2020-08-01,423,423,2,589953517470000,589953517.4700000000,398,398,2,192216921010000,192216921.0100000000,397736596.4600000000,1477999422.2100000000000000
2020-09-01,628,628,2,1256899795760456,1256899795.7604560000,348,348,2,200996425440144,200996425.4401440000,1055903370.3203120000,2533902792.5303120000000000
2020-10-01,583,583,2,895600930979910,895600930.9799100000,546,546,2,489954704789372,489954704.7893720000,405646226.1905380000,2939549018.7208500000000000
2020-11-01,600,600,2,543965601126373,543965601.1263730000,604,604,2,510813694625648,510813694.6256480000,33151906.5007250000,2972700925.2215750000000000
2020-12-01,1859,1859,2,1660892058917389,1660892058.9173890000,666,666,2,720688442184429,720688442.1844290000,940203616.7329600000,3912904541.9545350000000000
2021-01-01,2728,2728,2,3300789280394366,3300789280.3943660000,1164,1164,2,1306774134879351,1306774134.8793510000,1994015145.5150150000,5906919687.4695500000000000
2021-02-01,3900,3900,2,4973146492670000,4973146492.6700000000,3341,3341,2,1839573878170000,1839573878.1700000000,3133572614.5000000000,9040492301.9695500000000000
2021-03-01,2551,2551,1,3929141288820000,3929141288.8200000000,1958,1958,4,2147836632840000,2147836632.8400000000,1781304655.9800000000,10821796957.9495500000000000
2021-04-01,3330,3330,2,6328984719210000,6328984719.2100000000,2958,2958,2,3145336833740000,3145336833.7400000000,3183647885.4700000000,14005444843.4195500000000000
2021-05-01,3771,3771,2,10960174355060000,10960174355.0600000000,3548,3548,1,2948968569970000,2948968569.9700000000,8011205785.0900000000,22016650628.5095500000000000
2021-06-01,2478,2478,2,6241804213660000,6241804213.6600000000,3338,3338,2,3925403002130000,3925403002.1300000000,2316401211.5300000000,24333051840.0395500000000000
2021-07-01,2117,2117,2,5240225924000000,5240225924.0000000000,1855,1855,2,3050189857280000,3050189857.2800000000,2190036066.7200000000,26523087906.7595500000000000
