month,size_bucket,transfer_count,bucket_volume
2018-09-01,<0.01,1,0.000001000000000000000000
2018-09-01,0.01-0.1,1,0.01000000000000000000
2018-09-01,0.1-1,37,8.82320000000000000000
2018-09-01,1-10,47,143.59905400000000000000
2018-09-01,10-100,38,1417.2093570000000000
2018-09-01,100-1000,26,8912.3246100000000000
2018-09-01,1000-10000,18,112646.2833140000000000
2018-09-01,100000-1000000,2,200000.000000000000
2018-09-01,1000000-10000000,4,6000000.000000000000
2018-10-01,<0.01,1,0.000001000000000000000000
2018-10-01,0.01-0.1,29,0.52480000000000000000
2018-10-01,0.1-1,62,29.38965400000000000000
2018-10-01,1-10,334,1450.10390600000000000000
2018-10-01,10-100,361,14913.0618820000000000
2018-10-01,100-1000,332,130657.1561360000000000
2018-10-01,1000-10000,335,1291652.9543440000000000
2018-10-01,10000-100000,219,7080785.4594090000000000
2018-10-01,100000-1000000,71,19269815.773510000000
2018-10-01,1000000-10000000,37,130836254.184819000000
2018-10-01,>=10000000,10,160000363.899956000000
2018-11-01,<0.01,32,0.027798000000000000000000
2018-11-01,0.01-0.1,84,3.33106800000000000000
2018-11-01,0.1-1,222,127.12107500000000000000
2018-11-01,1-10,1146,5402.29756600000000000000
2018-11-01,10-100,3048,152383.2370980000000000
2018-11-01,100-1000,4186,1712722.8552440000000000
2018-11-01,1000-10000,4294,18569020.4378790000000000
2018-11-01,10000-100000,2775,91734289.3300380000000000
2018-11-01,100000-1000000,615,130522784.490846000000
2018-11-01,1000000-10000000,53,161958108.447617000000
2018-11-01,>=10000000,1,11073387.474043000000
2018-12-01,<0.01,22,0.051734000000000000000000
2018-12-01,0.01-0.1,92,2.88488400000000000000
2018-12-01,0.1-1,654,341.24809800000000000000
2018-12-01,1-10,2052,9755.82179000000000000000
2018-12-01,10-100,7407,363432.0923320000000000
2018-12-01,100-1000,9943,3808944.5631450000000000
2018-12-01,1000-10000,6898,26031147.6194780000000000
2018-12-01,10000-100000,2887,100059445.0545570000000000
2018-12-01,100000-1000000,1422,520324023.388957000000
2018-12-01,1000000-10000000,85,206973891.775406000000
2018-12-01,>=10000000,6,96632654.777847000000
2019-01-01,<0.01,60,0.190670000000000000000000
2019-01-01,0.01-0.1,181,6.06521400000000000000
2019-01-01,0.1-1,1298,617.48443000000000000000
2019-01-01,1-10,2387,10423.27390400000000000000
2019-01-01,10-100,9062,438077.0399930000000000
2019-01-01,100-1000,11631,4254762.2031030000000000
2019-01-01,1000-10000,6797,24008996.4295950000000000
2019-01-01,10000-100000,2238,77310137.7734160000000000
2019-01-01,100000-1000000,1599,610654296.914726000000
2019-01-01,1000000-10000000,509,1134934649.673937000000
2019-01-01,>=10000000,68,1188758735.130631000000
2019-02-01,<0.01,168,0.211743000000000000000000
2019-02-01,0.01-0.1,152,6.76659900000000000000
2019-02-01,0.1-1,670,324.91807100000000000000
2019-02-01,1-10,2535,11778.80823100000000000000
2019-02-01,10-100,9438,452028.4470820000000000
2019-02-01,100-1000,12928,4881017.4782030000000000
2019-02-01,1000-10000,8847,30228395.4489660000000000
2019-02-01,10000-100000,2929,85885090.1406010000000000
