size_bucket,transfer_count,bucket_volume
<0.01,45314771,49338.003387000000000000000000
0.01-0.1,5926273,171416.48343000000000000000
0.1-1,5839948,2587969.04263600000000000000
1-10,17096934,76623896.00704300000000000000
10-100,45955463,2027761560.4783610000000000
100-1000,78324264,31132512755.4391640000000000
1000-10000,65987079,226289641479.5346460000000000
10000-100000,30282308,989700473180.2436600000000000
100000-1000000,11526973,3424377510846.776715000000
1000000-10000000,2470636,6572108003339.066806000000
>=10000000,414778,19870042365687.508114000000
