month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2018-09-01,111,111,99020150556,99020.150556000000,23,44,46
2018-10-01,1311,1311,268636449669705,268636449.6697050000,509,780,790
2018-11-01,12368,12356,280606891339105,280606891.3391050000,5437,6959,7062
2018-12-01,27725,27275,823727357180319,823727357.1803190000,12512,13947,14283
2019-01-01,33120,32210,2460699521466387,2460699521.4663870000,14771,15813,16269
2019-02-01,34022,33476,1010911670958191,1010911670.9581910000,14913,16105,16791
2019-03-01,39046,38476,451176562595965,451176562.5959650000,16890,18141,19191
2019-04-01,53284,53175,1150661237986987,1150661237.9869870000,23233,25039,26459
2019-05-01,85611,85162,1416765621010234,1416765621.0102340000,39605,43127,46926
2019-06-01,92041,91358,1550791319963122,1550791319.9631220000,41617,45335,49640
2019-07-01,81476,80725,2141724867596313,2141724867.5963130000,34765,37829,41749
2019-08-01,61629,61113,1716930610236687,1716930610.2366870000,26638,30407,33834
2019-09-01,56590,56212,1742131646928140,1742131646.9281400000,25146,28658,32442
2019-10-01,65769,65445,1937534952983631,1937534952.9836310000,28673,32166,37514
2019-11-01,66501,66321,1947391139542741,1947391139.5427410000,29674,32402,37297
2019-12-01,62516,62451,1916958026803011,1916958026.8030110000,26916,31146,35320
2020-01-01,81398,81294,2538049848032914,2538049848.0329140000,33025,39049,44478
2020-02-01,111302,111184,2188483106564264,2188483106.5642640000,45642,51695,59255
2020-03-01,161339,161161,4598975135694756,4598975135.6947560000,62842,72356,80338
2020-04-01,133085,132868,2917870343316870,2917870343.3168700000,55832,68868,76830
2020-05-01,159220,159115,2978480087161387,2978480087.1613870000,66222,86217,94777
2020-06-01,173615,173430,4394297228400337,4394297228.4003370000,75596,91040,104371
2020-07-01,227628,227371,6559389346683772,6559389346.6837720000,94588,116877,130026
2020-08-01,297920,297752,9127144134045776,9127144134.0457760000,135231,143264,181502
2020-09-01,256710,256243,15761139473189914,15761139473.1899140000,109224,136784,152364
2020-10-01,456116,455912,12416305560068407,12416305560.0684070000,225363,336720,358128
2020-11-01,820049,819706,13957190213383080,13957190213.3830800000,414239,639476,673667
2020-12-01,557816,556947,19444958571509989,19444958571.5099890000,259541,373682,401420
2021-01-01,613947,613014,40104862600864968,40104862600.8649680000,250619,310951,348873
2021-02-01,744290,743495,48114722631623283,48114722631.6232830000,306094,385956,426797
2021-03-01,750659,744711,53163777445571311,53163777445.5713110000,321872,392920,440345
2021-04-01,1011253,1006573,67511834388850645,67511834388.8506450000,454771,527690,605725
2021-05-01,973555,970854,100323954760026041,100323954760.0260410000,330534,392130,470055
2021-06-01,710056,707271,62030728679453716,62030728679.4537160000,258125,274340,351419
2021-07-01,666206,664537,48636583328693734,48636583328.6937340000,230799,263818,321402
2021-08-01,749378,747166,49632344073493022,49632344073.4930220000,253592,307999,360246
2021-09-01,800360,797420,64749537590575359,64749537590.5753590000,276047,322733,384320
2021-10-01,850416,848663,73319534664302086,73319534664.3020860000,292281,351685,420632
2021-11-01,877128,875597,85227683099110304,85227683099.1103040000,294155,382613,450125
2021-12-01,824263,822665,80930270123820290,80930270123.8202900000,325510,322137,441616
2022-01-01,746797,745019,86335336383829984,86335336383.8299840000,278233,284924,373076
2022-02-01,612540,610669,64785960535497180,64785960535.4971800000,227136,237063,305842
2022-03-01,762808,759703,95011816078611595,95011816078.6115950000,313150,274922,397051
2022-04-01,642996,640810,81415147123932705,81415147123.9327050000,247498,248584,323958
2022-05-01,909828,907058,166990460062984672,166990460062.9846720000,365440,319878,455570
2022-06-01,790057,784020,122347550040396338,122347550040.3963380000,295638,289680,381936
2022-07-01,718039,713670,86206884383317736,86206884383.3177360000,272348,253171,352193
2022-08-01,629650,624326,61662970346577107,61662970346.5771070000,257290,212163,336473
2022-09-01,592264,581305,60849232570042798,60849232570.0427980000,231483,216895,322441
2022-10-01,506854,502368,63656913605752510,63656913605.7525100000,194955,185048,277475
2022-11-01,837415,831437,134338848405811037,134338848405.8110370000,360596,268561,479050
2022-12-01,831067,613631,87164733336509459,87164733336.5094590000,222803,402580,502398
2023-01-01,1001705,636685,112513818399850038,112513818399.8500380000,281512,487148,602225
2023-02-01,1161403,681354,81963381244479491,81963381244.4794910000,249391,461204,567100
2023-03-01,845976,739420,107995625914281806,107995625914.2818060000,305485,356256,482961
2023-04-01,483492,460745,38496605901302918,38496605901.3029180000,182302,206504,289351
2023-05-01,436782,423894,41209382602210858,41209382602.2108580000,176562,170442,262157
2023-06-01,594930,545246,48276669257010705,48276669257.0107050000,242378,227951,369234
2023-07-01,674798,617401,40302213665904070,40302213665.9040700000,213621,314966,413761
2023-08-01,522965,475526,47196277417821423,47196277417.8214230000,175265,206877,288655
2023-09-01,473444,433776,36431191525366826,36431191525.3668260000,168792,177024,258966
2023-10-01,584428,539235,49663547383843519,49663547383.8435190000,201539,200754,299148
2023-11-01,597401,556003,57650453211732399,57650453211.7323990000,191221,215290,302605
2023-12-01,697170,659045,62480605971791504,62480605971.7915040000,249005,257474,373289
2024-01-01,659990,634312,78416021249860515,78416021249.8605150000,235203,248321,350530
2024-02-01,595848,583882,70611977587842469,70611977587.8424690000,206485,232251,319860
2024-03-01,727064,713439,122925121335103923,122925121335.1039230000,261843,264126,386717
2024-04-01,706071,689230,123647092721860075,123647092721.8600750000,264449,248556,378476
2024-05-01,791002,783495,96876969617660628,96876969617.6606280000,299301,288598,415102
2024-06-01,689295,682207,87394389581381312,87394389581.3813120000,263297,247019,370060
2024-07-01,763040,747258,102686588232151499,102686588232.1514990000,264661,261012,379852
2024-08-01,896513,859706,98494946493884727,98494946493.8847270000,297881,287350,408916
2024-09-01,951525,896231,98028780490632401,98028780490.6324010000,295642,302722,413334
2024-10-01,848127,824780,120339107174888024,120339107174.8880240000,257675,286605,390670
2024-11-01,985555,965810,167217554089632242,167217554089.6322420000,327584,323500,468755
2024-12-01,1104500,1084843,170761324202542353,170761324202.5423530000,361992,373637,525670
2025-01-01,1292104,1265700,173283943180081256,173283943180.0812560000,423928,426122,603092
2025-02-01,1537282,1453348,165871362882445421,165871362882.4454210000,468711,446059,647500
2025-03-01,2048050,1803435,173151512768094906,173151512768.0949060000,559661,551083,772229
2025-04-01,2912362,2060641,174949244943696477,174949244943.6964770000,608148,721140,922608
2025-05-01,2735648,2287111,205064283014360234,205064283014.3602340000,661104,728851,916078
2025-06-01,2766926,2345319,171094021716629150,171094021716.6291500000,708382,726562,970827
2025-07-01,2956808,2539125,243335206949473195,243335206949.4731950000,717883,769914,1032436
2025-08-01,3066597,2646410,212758058886537602,212758058886.5376020000,790845,842604,1147908
2025-09-01,3309460,2676226,211291118865145218,211291118865.1452180000,787014,936015,1231585
2025-10-01,3727607,2963744,222639122715099083,222639122715.0990830000,980223,1117008,1541248
2025-11-01,4039708,3153382,205270059600873873,205270059600.8738730000,1116673,1157443,1662327
2025-12-01,7351626,4086432,183449222876528579,183449222876.5285790000,1652414,1254003,2115616
2026-01-01,8104762,5217153,188515447254344555,188515447254.3445550000,2245268,1368209,2754496
2026-02-01,5685152,4209817,168539241570440708,168539241570.4407080000,1509027,1335588,2244209
2026-03-01,5708942,4378878,183967251087730247,183967251087.7302470000,1521531,1319077,2217868
2026-04-01,3789119,2956154,199866257806497797,199866257806.4977970000,872319,1015660,1413229
2026-05-01,3773132,2789129,197856498901842150,197856498901.8421500000,823848,1040777,1413951
2026-06-01,4284203,2899325,206645595865114320,206645595865.1143200000,813089,1015962,1376057
