month,newly_adopted_addresses
2018-09-01,46
2018-10-01,770
2018-11-01,6881
2018-12-01,13314
2019-01-01,14396
2019-02-01,14162
2019-03-01,15777
2019-04-01,21960
2019-05-01,39463
2019-06-01,40742
2019-07-01,33100
2019-08-01,26023
2019-09-01,24403
2019-10-01,27959
2019-11-01,27945
2019-12-01,26675
2020-01-01,33894
2020-02-01,45711
2020-03-01,65121
2020-04-01,60980
2020-05-01,76401
2020-06-01,78891
2020-07-01,101081
2020-08-01,124545
2020-09-01,119195
2020-10-01,318553
2020-11-01,613080
2020-12-01,343783
2021-01-01,276848
2021-02-01,340910
2021-03-01,346213
2021-04-01,470016
2021-05-01,316389
2021-06-01,212806
2021-07-01,201939
2021-08-01,222148
2021-09-01,233612
2021-10-01,262338
2021-11-01,292196
2021-12-01,242570
2022-01-01,206239
2022-02-01,169442
2022-03-01,202240
2022-04-01,175009
2022-05-01,236569
2022-06-01,202464
2022-07-01,173105
2022-08-01,148090
2022-09-01,149774
2022-10-01,121720
2022-11-01,195574
2022-12-01,333720
2023-01-01,389845
2023-02-01,376293
2023-03-01,261568
2023-04-01,149494
2023-05-01,120353
2023-06-01,188668
2023-07-01,262646
2023-08-01,155244
2023-09-01,132824
2023-10-01,147949
2023-11-01,153105
2023-12-01,198751
2024-01-01,190625
2024-02-01,174453
2024-03-01,216017
2024-04-01,209174
2024-05-01,254271
2024-06-01,201928
2024-07-01,212122
2024-08-01,230535
2024-09-01,236492
2024-10-01,218077
2024-11-01,257414
2024-12-01,306542
2025-01-01,368866
2025-02-01,393684
2025-03-01,482085
2025-04-01,578357
2025-05-01,560692
2025-06-01,605133
2025-07-01,623549
2025-08-01,701663
2025-09-01,767033
2025-10-01,976313
2025-11-01,1073283
2025-12-01,1469044
2026-01-01,2012911
2026-02-01,1636954
2026-03-01,1492161
2026-04-01,824730
2026-05-01,845918
2026-06-01,860992
