month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2018-09-01,99020.150556000000,46,46,111,111
2018-10-01,268636449.6697050000,790,770,1311,1311
2018-11-01,280606891.3391050000,7062,6881,12356,12368
2018-12-01,823727357.1803190000,14283,13314,27275,27725
2019-01-01,2460699521.4663870000,16269,14396,32210,33120
2019-02-01,1010911670.9581910000,16791,14162,33476,34022
2019-03-01,451176562.5959650000,19191,15777,38476,39046
2019-04-01,1150661237.9869870000,26459,21960,53175,53284
2019-05-01,1416765621.0102340000,46926,39463,85162,85611
2019-06-01,1550791319.9631220000,49640,40742,91358,92041
2019-07-01,2141724867.5963130000,41749,33100,80725,81476
2019-08-01,1716930610.2366870000,33834,26023,61113,61629
2019-09-01,1742131646.9281400000,32442,24403,56212,56590
2019-10-01,1937534952.9836310000,37514,27959,65445,65769
2019-11-01,1947391139.5427410000,37297,27945,66321,66501
2019-12-01,1916958026.8030110000,35320,26675,62451,62516
2020-01-01,2538049848.0329140000,44478,33894,81294,81398
2020-02-01,2188483106.5642640000,59255,45711,111184,111302
2020-03-01,4598975135.6947560000,80338,65121,161161,161339
2020-04-01,2917870343.3168700000,76830,60980,132868,133085
2020-05-01,2978480087.1613870000,94777,76401,159115,159220
2020-06-01,4394297228.4003370000,104371,78891,173430,173615
2020-07-01,6559389346.6837720000,130026,101081,227371,227628
2020-08-01,9127144134.0457760000,181502,124545,297752,297920
2020-09-01,15761139473.1899140000,152364,119195,256243,256710
2020-10-01,12416305560.0684070000,358128,318553,455912,456116
2020-11-01,13957190213.3830800000,673667,613080,819706,820049
2020-12-01,19444958571.5099890000,401420,343783,556947,557816
2021-01-01,40104862600.8649680000,348873,276848,613014,613947
2021-02-01,48114722631.6232830000,426797,340910,743495,744290
2021-03-01,53163777445.5713110000,440345,346213,744711,750659
2021-04-01,67511834388.8506450000,605725,470016,1006573,1011253
2021-05-01,100323954760.0260410000,470055,316389,970854,973555
2021-06-01,62030728679.4537160000,351419,212806,707271,710056
2021-07-01,48636583328.6937340000,321402,201939,664537,666206
2021-08-01,49632344073.4930220000,360246,222148,747166,749378
2021-09-01,64749537590.5753590000,384320,233612,797420,800360
2021-10-01,73319534664.3020860000,420632,262338,848663,850416
2021-11-01,85227683099.1103040000,450125,292196,875597,877128
2021-12-01,80930270123.8202900000,441616,242570,822665,824263
2022-01-01,86335336383.8299840000,373076,206239,745019,746797
2022-02-01,64785960535.4971800000,305842,169442,610669,612540
2022-03-01,95011816078.6115950000,397051,202240,759703,762808
2022-04-01,81415147123.9327050000,323958,175009,640810,642996
2022-05-01,166990460062.9846720000,455570,236569,907058,909828
2022-06-01,122347550040.3963380000,381936,202464,784020,790057
2022-07-01,86206884383.3177360000,352193,173105,713670,718039
2022-08-01,61662970346.5771070000,336473,148090,624326,629650
2022-09-01,60849232570.0427980000,322441,149774,581305,592264
2022-10-01,63656913605.7525100000,277475,121720,502368,506854
2022-11-01,134338848405.8110370000,479050,195574,831437,837415
2022-12-01,87164733336.5094590000,502398,333720,613631,831067
2023-01-01,112513818399.8500380000,602225,389845,636685,1001705
2023-02-01,81963381244.4794910000,567100,376293,681354,1161403
2023-03-01,107995625914.2818060000,482961,261568,739420,845976
2023-04-01,38496605901.3029180000,289351,149494,460745,483492
2023-05-01,41209382602.2108580000,262157,120353,423894,436782
2023-06-01,48276669257.0107050000,369234,188668,545246,594930
2023-07-01,40302213665.9040700000,413761,262646,617401,674798
2023-08-01,47196277417.8214230000,288655,155244,475526,522965
2023-09-01,36431191525.3668260000,258966,132824,433776,473444
2023-10-01,49663547383.8435190000,299148,147949,539235,584428
2023-11-01,57650453211.7323990000,302605,153105,556003,597401
2023-12-01,62480605971.7915040000,373289,198751,659045,697170
2024-01-01,78416021249.8605150000,350530,190625,634312,659990
2024-02-01,70611977587.8424690000,319860,174453,583882,595848
2024-03-01,122925121335.1039230000,386717,216017,713439,727064
2024-04-01,123647092721.8600750000,378476,209174,689230,706071
2024-05-01,96876969617.6606280000,415102,254271,783495,791002
2024-06-01,87394389581.3813120000,370060,201928,682207,689295
2024-07-01,102686588232.1514990000,379852,212122,747258,763040
2024-08-01,98494946493.8847270000,408916,230535,859706,896513
2024-09-01,98028780490.6324010000,413334,236492,896231,951525
2024-10-01,120339107174.8880240000,390670,218077,824780,848127
2024-11-01,167217554089.6322420000,468755,257414,965810,985555
2024-12-01,170761324202.5423530000,525670,306542,1084843,1104500
2025-01-01,173283943180.0812560000,603092,368866,1265700,1292104
2025-02-01,165871362882.4454210000,647500,393684,1453348,1537282
2025-03-01,173151512768.0949060000,772229,482085,1803435,2048050
2025-04-01,174949244943.6964770000,922608,578357,2060641,2912362
