size_bucket,transfer_count,bucket_volume
<0.01,14247309,16768.360731000000000000000000
0.01-0.1,1617256,33371.12539100000000000000
0.1-1,656211,317469.33456800000000000000
1-10,4055184,17445680.42656900000000000000
10-100,14953714,672956966.2028930000000000
100-1000,26501982,10163276477.7669160000000000
1000-10000,19870521,65902577039.4633170000000000
10000-100000,8041023,252671257784.6889260000000000
100000-1000000,3078208,972558602956.824544000000
1000000-10000000,900448,2389554282358.007738000000
>=10000000,111161,3859797045489.879343000000
