month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2018-09-01,40,40,3112139584490,3112139.584490000000,5,28,33
2018-10-01,251,251,24995254336814,24995254.336814000000,115,137,252
2018-11-01,2000,2000,66979486061781,66979486.061781000000,1170,491,1661
2018-12-01,1899,1899,65012568721908,65012568.721908000000,1086,556,1642
2019-01-01,1313,1313,289978268947645,289978268.9476450000,581,516,1097
2019-02-01,1983,1983,95408839339679,95408839.339679000000,879,751,1630
2019-03-01,2615,2606,46193610592209,46193610.592209000000,1148,835,1983
2019-04-01,4049,4034,86916177765441,86916177.765441000000,1777,1299,3076
2019-05-01,8952,8951,130236574493224,130236574.4932240000,4241,3201,7442
2019-06-01,11178,11023,115710979258653,115710979.2586530000,4548,3320,7868
2019-07-01,14290,13785,174548339743131,174548339.7431310000,4658,3473,8131
2019-08-01,15126,14578,191418102095193,191418102.0951930000,4994,3471,8465
2019-09-01,12710,12197,210926465426549,210926465.4265490000,4622,3472,8094
2019-10-01,15961,15397,268351290978587,268351290.9785870000,6356,4581,10937
2019-11-01,17506,16997,239608905173868,239608905.1738680000,6220,4133,10353
2019-12-01,15596,15443,162866439249061,162866439.2490610000,6779,4658,11437
2020-01-01,22906,22798,329318097491881,329318097.4918810000,9603,6467,16070
2020-02-01,34532,34123,298090170039694,298090170.0396940000,12383,7482,19865
2020-03-01,63456,62979,585884387657255,585884387.6572550000,14215,8617,22832
2020-04-01,50489,50260,411746140849602,411746140.8496020000,16204,10543,26747
2020-05-01,49849,49539,422518073714754,422518073.7147540000,18322,12659,30981
2020-06-01,60792,60410,1065612114468024,1065612114.4680240000,21612,13642,35254
2020-07-01,91895,91180,3186798800638628,3186798800.6386280000,28918,17368,46286
2020-08-01,124363,123269,3980645229250257,3980645229.2502570000,36717,20045,56762
2020-09-01,212748,211318,9672252346726546,9672252346.7265460000,48350,21964,70314
2020-10-01,258453,254756,6533367839694268,6533367839.6942680000,115208,22118,137326
2020-11-01,319747,317384,6529282320808285,6529282320.8082850000,167676,25094,192770
2020-12-01,293205,291141,7701131979940813,7701131979.9408130000,109225,31271,140496
2021-01-01,300308,298123,18439188979920592,18439188979.9205920000,89469,41740,131209
2021-02-01,265410,263994,17598793686918747,17598793686.9187470000,88450,50498,138948
2021-03-01,305618,304346,21098101436468714,21098101436.4687140000,103168,70702,173870
2021-04-01,364430,362276,26384047756365061,26384047756.3650610000,127194,113270,240464
2021-05-01,407028,404895,54967617808477584,54967617808.4775840000,105076,80746,185822
2021-06-01,460845,457669,36779671684211565,36779671684.2115650000,97472,107844,205316
2021-07-01,407294,404781,37520083569195516,37520083569.1955160000,94551,70209,164760
2021-08-01,363012,360660,33783885669832802,33783885669.8328020000,105359,62036,167395
2021-09-01,343580,340787,36313527892616602,36313527892.6166020000,97660,81103,178763
2021-10-01,341651,338395,36745760999272876,36745760999.2728760000,101284,75237,176521
2021-11-01,317598,313206,38259817653857450,38259817653.8574500000,99358,70579,169937
2021-12-01,346723,341960,40461994555390677,40461994555.3906770000,102886,86036,188922
2022-01-01,293201,288420,38665500565903108,38665500565.9031080000,81615,64364,145979
2022-02-01,241520,237585,29403609718674725,29403609718.6747250000,70461,56439,126900
2022-03-01,298975,291647,42647886998253742,42647886998.2537420000,89478,47042,136520
2022-04-01,262656,257691,37339073547053571,37339073547.0535710000,81112,33733,114845
2022-05-01,329546,322508,65101666230016455,65101666230.0164550000,97173,42341,139514
2022-06-01,323400,315020,48578853299696679,48578853299.6966790000,90679,38356,129035
2022-07-01,380154,371111,44787064326617915,44787064326.6179150000,103697,34278,137975
2022-08-01,403935,394008,45786397247320722,45786397247.3207220000,135275,28923,164198
2022-09-01,410492,399125,47941790700706815,47941790700.7068150000,148596,28428,177024
2022-10-01,332599,325022,56002137964741826,56002137964.7418260000,116528,23589,140117
2022-11-01,467074,456307,109933083101971956,109933083101.9719560000,153645,31436,185081
