month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2018-09-01,3112139.584490000000,33,33,40,40
2018-10-01,24995254.336814000000,252,239,251,251
2018-11-01,66979486.061781000000,1661,1607,2000,2000
2018-12-01,65012568.721908000000,1642,1468,1899,1899
2019-01-01,289978268.9476450000,1097,892,1313,1313
2019-02-01,95408839.339679000000,1630,1408,1983,1983
2019-03-01,46193610.592209000000,1983,1664,2606,2615
2019-04-01,86916177.765441000000,3076,2587,4034,4049
2019-05-01,130236574.4932240000,7442,6657,8951,8952
2019-06-01,115710979.2586530000,7868,6738,11023,11178
2019-07-01,174548339.7431310000,8131,6562,13785,14290
2019-08-01,191418102.0951930000,8465,6438,14578,15126
2019-09-01,210926465.4265490000,8094,5896,12197,12710
2019-10-01,268351290.9785870000,10937,8433,15397,15961
2019-11-01,239608905.1738680000,10353,7654,16997,17506
2019-12-01,162866439.2490610000,11437,8557,15443,15596
2020-01-01,329318097.4918810000,16070,12639,22798,22906
2020-02-01,298090170.0396940000,19865,15484,34123,34532
2020-03-01,585884387.6572550000,22832,17180,62979,63456
2020-04-01,411746140.8496020000,26747,20587,50260,50489
2020-05-01,422518073.7147540000,30981,23986,49539,49849
2020-06-01,1065612114.4680240000,35254,26497,60410,60792
2020-07-01,3186798800.6386280000,46286,34212,91180,91895
2020-08-01,3980645229.2502570000,56762,42054,123269,124363
2020-09-01,9672252346.7265460000,70314,51583,211318,212748
2020-10-01,6533367839.6942680000,137326,113468,254756,258453
2020-11-01,6529282320.8082850000,192770,165275,317384,319747
2020-12-01,7701131979.9408130000,140496,109105,291141,293205
2021-01-01,18439188979.9205920000,131209,92889,298123,300308
2021-02-01,17598793686.9187470000,138948,99939,263994,265410
2021-03-01,21098101436.4687140000,173870,130108,304346,305618
2021-04-01,26384047756.3650610000,240464,186531,362276,364430
2021-05-01,54967617808.4775840000,185822,124110,404895,407028
2021-06-01,36779671684.2115650000,205316,140369,457669,460845
2021-07-01,37520083569.1955160000,164760,103754,404781,407294
2021-08-01,33783885669.8328020000,167395,93044,360660,363012
2021-09-01,36313527892.6166020000,178763,110751,340787,343580
2021-10-01,36745760999.2728760000,176521,106485,338395,341651
2021-11-01,38259817653.8574500000,169937,106872,313206,317598
2021-12-01,40461994555.3906770000,188922,121281,341960,346723
2022-01-01,38665500565.9031080000,145979,82137,288420,293201
2022-02-01,29403609718.6747250000,126900,71478,237585,241520
2022-03-01,42647886998.2537420000,136520,72342,291647,298975
2022-04-01,37339073547.0535710000,114845,55296,257691,262656
2022-05-01,65101666230.0164550000,139514,70039,322508,329546
2022-06-01,48578853299.6966790000,129035,62017,315020,323400
2022-07-01,44787064326.6179150000,137975,70721,371111,380154
2022-08-01,45786397247.3207220000,164198,87495,394008,403935
2022-09-01,47941790700.7068150000,177024,94786,399125,410492
2022-10-01,56002137964.7418260000,140117,62650,325022,332599
2022-11-01,109933083101.9719560000,185081,89595,456307,467074
2022-12-01,125010048487.0241520000,148906,66297,336820,345966
2023-01-01,118749579928.6999420000,168715,76981,383356,392406
2023-02-01,62703109797.0039490000,152580,59824,376989,385492
2023-03-01,65973666174.8639240000,205438,86308,419719,430295
2023-04-01,16512509139.1314950000,122816,48503,245322,250411
2023-05-01,16009924914.4700220000,111181,44972,227087,231712
2023-06-01,18299302081.4056410000,126288,59611,221169,225452
2023-07-01,16449578611.1346940000,139840,74008,241056,245105
2023-08-01,18566605848.1889950000,113696,49135,220411,224733
2023-09-01,11617025951.7625280000,105429,48638,189942,193238
2023-10-01,15691906605.6973380000,130484,63368,250079,254123
2023-11-01,19704490156.6166500000,130694,58891,266074,269988
2023-12-01,19455037559.9350910000,168568,84783,328981,336143
2024-01-01,23789383041.2834580000,169083,85802,320974,326358
2024-02-01,24273322788.3364850000,153487,73768,304474,308064
2024-03-01,40971207811.7052550000,182273,95141,365765,369673
2024-04-01,39177341312.3110440000,175910,93840,339164,342867
2024-05-01,26742342664.2650900000,174309,94653,340647,344650
2024-06-01,24022060022.9684920000,158529,80446,307945,311359
2024-07-01,27767806136.4928070000,156006,78310,329373,334227
2024-08-01,27598285700.4197540000,154752,75888,331412,337430
2024-09-01,25038523174.5720350000,148057,72694,307381,312763
2024-10-01,34051220023.8274520000,174166,93564,357618,363595
2024-11-01,58445962369.7197070000,186834,93940,409789,416260
2024-12-01,60631641725.3895580000,229642,123561,477665,486056
2025-01-01,66069531138.8817000000,246181,139580,518724,527928
2025-02-01,66328115761.3159600000,264334,153802,552081,563907
2025-03-01,64890041730.2021390000,244009,134621,570606,582509
2025-04-01,60452082308.9164730000,233358,122219,590795,601961
2025-05-01,67255443805.8602540000,263273,140839,688756,700420
2025-06-01,56154099556.3245100000,281705,151132,741090,751353
2025-07-01,86286746643.1439560000,310984,166143,782743,793297
2025-08-01,126305529414.9926510000,424655,270926,1018690,1037180
2025-09-01,113445108024.6536470000,478471,280871,1103581,1127644
2025-10-01,117591213183.3776990000,492585,271589,1231049,1258918
2025-11-01,104968178512.6327820000,467966,251236,1215120,1243549
2025-12-01,74063649778.9976490000,452046,251437,1086675,1192698
2026-01-01,82686318203.7026810000,518837,306418,1289378,1401753
2026-02-01,70751759806.7819310000,469810,261169,1190535,1279768
2026-03-01,76929010732.9871080000,526213,314657,1323347,1480164
2026-04-01,84763208856.9821490000,473405,257227,1137455,1283904
2026-05-01,83975880858.5669510000,489318,273601,1197705,1264579
2026-06-01,80037686387.9405840000,472714,251594,1189561,1260049
