month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2018-09-01,1,179516035,55fe002aeff02f77364de339a1292923a15844b8,22,10836410000,10836.410000000000
2018-09-01,2,139367412,6f803466bcd17f44fa18975bf7c509ba64bf3825,4,967912163,967.9121630000000000
2018-09-01,3,299810,034767f3c519f361c5ecf46ebfc08981c629d381,1,10000000,10.0000000000000000
2018-09-01,4,45657857,fb5306a984f7bacd4fe118ddd700adc2ebb139c6,1,1000000,1.00000000000000000000
2018-10-01,1,179516035,55fe002aeff02f77364de339a1292923a15844b8,32,252166690000,252166.690000000000
2018-10-01,2,139367412,6f803466bcd17f44fa18975bf7c509ba64bf3825,18,207268981357,207268.981357000000
2018-10-01,3,43506437,6cc5f688a315f3dc28a7781717a9a798a59fda7b,2,26289240000,26289.240000000000
2018-10-01,4,558172,0861fca546225fbf8806986d211c8398f7457734,2,15297000000,15297.000000000000
2018-10-01,5,134951,ba28c1b409664c0893a090d637a027e4162a41bc,1,74995653758,74995.653758000000
2018-10-01,6,213187846,d269889eb233f4d6ec8ca1ff6b76ae7929af56cd,1,6999980000,6999.9800000000000000
2018-10-01,7,68540467,b9e29984fe50602e7a619662ebed4f90d93824c7,1,2808470000,2808.4700000000000000
2018-10-01,8,110966081,915d7915f2b469bb654a7d903a5d4417cb8ea7df,1,2218000000,2218.0000000000000000
2018-10-01,9,209647895,ec3ec7e01fd94798ae265ad4e0aeb4933fe2b0e7,1,1199989500,1199.9895000000000000
2018-10-01,10,198352652,7718e4c52d558e00c83c7de8315dce149d5d31bf,1,899800000,899.8000000000000000
2018-10-01,11,211748844,14ad9d7c37e31f379b8c498177f29986aea1fe2c,1,792588630,792.5886300000000000
2018-10-01,12,212965079,bd79214071edcbc0f25958e22a22e0f677261ab9,1,640000000,640.0000000000000000
2018-10-01,13,133637599,77a7f06abb82a5622977fe1a7319a864d0e4029d,1,596592558,596.5925580000000000
2018-10-01,14,210603406,6e4926a4785f4f2e3d4ddf41f71a38cf7547f1b5,1,550000000,550.0000000000000000
2018-10-01,15,7846597,7504529c8922cc1ee5cbfe6b15ed7e6684ad0374,1,500000000,500.0000000000000000
2018-10-01,16,211047714,27e96ee40892b2e2ce685397825b28ffaccded3e,1,401346266,401.3462660000000000
2018-10-01,17,212265923,f29d25712b5f3483ae0c7f7523288b0a42958fb4,1,341000000,341.0000000000000000
2018-10-01,18,6201838,14e55f0b2911c50ca0077f318cce7e19dd92aded,1,250000000,250.0000000000000000
2018-10-01,19,211273456,33d7672bb93bcaaafe5f30f0aaa74158839bdc65,1,202026967,202.0269670000000000
2018-10-01,20,209805804,f8da52a61919ae1887fb41c4e8abc5783138fb51,1,201914800,201.9148000000000000
2018-10-01,21,192173668,6a07e8bf7252ffca5cfe6869cae6f5c39e83ebf2,1,200000000,200.0000000000000000
2018-10-01,22,212386435,499f68328a8fde3eafd4b6525b0d5a38b87ab002,1,200000000,200.0000000000000000
2018-10-01,23,209517318,aac1b5adbfd64562fb863b5331eb332e70bc51eb,1,199989500,199.9895000000000000
2018-10-01,24,211047164,b14a5dcb37ecdbce4e7dd783ff6c403a2ab3b049,1,170897715,170.8977150000000000
2018-10-01,25,213439616,450ad63eccdd7c45e3052869f3ed631cbae3691d,1,150020000,150.0200000000000000
2018-10-01,26,210769645,394ec937b79c445522cd5dfd25e6c814f93279d9,1,142221948,142.2219480000000000
2018-10-01,27,210047459,291e03556680e83e3d3149034bf7737531bd2d5b,1,100000000,100.0000000000000000
2018-10-01,28,211551351,5b23897fa54a8f1a8e4c6b7624569cd669eda9b5,1,100000000,100.0000000000000000
2018-10-01,29,212822826,8e2c462ffe924d40291bf349583bb7384e12fb7c,1,99900000,99.9000000000000000
2018-10-01,30,210039780,d402c6e94af8a13c3ce8cf04498c9a77276da3ac,1,96139000,96.1390000000000000
2018-10-01,31,210501008,396f6d8d30068da0a50f719ed1e2154b9696b46f,1,95806090,95.8060900000000000
2018-10-01,32,211053772,9108b36dcb6f0a3abab9994082dca4989a31d0d0,1,74076136,74.0761360000000000
2018-10-01,33,211562631,cb1477f7bc58835dbb1c6e5e6a0b7cd88aaaff5d,1,50000000,50.0000000000000000
2018-10-01,34,213103156,d6e1cb5dd94102cdf4ccdfdb76f72dfc16d8e119,1,50000000,50.0000000000000000
2018-10-01,35,209249723,b9c265e2b9622b1fb46850367030a7199fcb23b2,1,49979000,49.9790000000000000
2018-10-01,36,210024674,b3f2d60f6e54c79442b72ce4f3ac4b45b08d80d8,1,49979000,49.9790000000000000
2018-10-01,37,209637240,29c833f27fff7f3bb68d5090cbc6f4bbc4dd6fc5,1,47993200,47.9932000000000000
2018-10-01,38,209838268,49b053076164f66057781dbbcb8eab7b404af942,1,47984800,47.9848000000000000
2018-10-01,39,131528087,49c83078852f48f5b36a331c9fe5fc49ab28e009,1,46500000,46.5000000000000000
2018-10-01,40,212061814,5204d2de6a44b1d1b996c05c7d1274a5fb8edc7b,1,46316560,46.3165600000000000
2018-10-01,41,213245959,9302a4d58effa1cfea50d5e22f31bfce1ff4a67f,1,39966035,39.9660350000000000
2018-10-01,42,212643869,a1096972b6d6be6ed2e963db84e65408c1b813ca,1,31970000,31.9700000000000000
