size_bucket,transfer_count,bucket_volume
<0.01,1012369,1282.039522000000000000000000
0.01-0.1,150186,5179.65919400000000000000
0.1-1,293023,135450.37150200000000000000
1-10,1913569,8217768.35886400000000000000
10-100,5247788,225826767.5968630000000000
100-1000,10708222,4272185894.5309270000000000
1000-10000,9690403,32359034917.8527040000000000
10000-100000,4588182,146342770005.2809310000000000
100000-1000000,1821204,545700875666.026982000000
1000000-10000000,374819,993236076956.276375000000
>=10000000,55271,1705488823182.026458000000
