month,newly_adopted_addresses
2018-09-01,18
2018-10-01,128
2018-11-01,449
2018-12-01,464
2019-01-01,403
2019-02-01,614
2019-03-01,772
2019-04-01,1164
2019-05-01,3025
2019-06-01,3259
2019-07-01,3331
2019-08-01,3117
2019-09-01,2650
2019-10-01,3360
2019-11-01,3500
2019-12-01,3648
2020-01-01,4658
2020-02-01,7542
2020-03-01,9269
2020-04-01,8926
2020-05-01,9947
2020-06-01,14131
2020-07-01,18848
2020-08-01,22860
2020-09-01,33264
2020-10-01,31324
2020-11-01,37025
2020-12-01,49730
2021-01-01,58556
2021-02-01,61121
2021-03-01,72680
2021-04-01,86680
2021-05-01,95664
2021-06-01,100042
2021-07-01,89275
2021-08-01,90578
2021-09-01,90933
2021-10-01,85326
2021-11-01,95401
2021-12-01,97757
2022-01-01,75762
2022-02-01,66957
2022-03-01,74423
2022-04-01,62062
2022-05-01,89948
2022-06-01,93618
2022-07-01,82206
2022-08-01,96275
2022-09-01,89103
2022-10-01,78744
2022-11-01,115326
2022-12-01,87649
2023-01-01,87249
2023-02-01,94119
2023-03-01,117396
2023-04-01,70873
2023-05-01,58931
2023-06-01,66192
2023-07-01,63388
2023-08-01,64592
2023-09-01,65059
2023-10-01,83082
2023-11-01,76452
2023-12-01,96058
2024-01-01,93859
2024-02-01,84135
2024-03-01,118288
2024-04-01,110958
2024-05-01,116283
2024-06-01,99932
2024-07-01,94445
2024-08-01,96976
2024-09-01,109535
2024-10-01,91348
2024-11-01,129052
2024-12-01,151641
2025-01-01,192721
2025-02-01,217874
2025-03-01,236058
2025-04-01,210311
2025-05-01,227822
2025-06-01,333385
2025-07-01,286856
2025-08-01,410772
2025-09-01,440146
2025-10-01,501936
2025-11-01,705318
2025-12-01,1053519
2026-01-01,1580673
2026-02-01,1105952
2026-03-01,1316604
2026-04-01,794701
2026-05-01,1005326
2026-06-01,1038985
