month,size_bucket,transfer_count,bucket_volume
2018-09-01,0.1-1,1,0.90000000000000000000
2018-09-01,1-10,8,19.70000000000000000000
2018-09-01,10-100,3,146.3623270000000000
2018-09-01,100-1000,7,2401.6521630000000000
2018-09-01,1000-10000,1,9399.9000000000000000
2018-09-01,100000-1000000,1,100000.000000000000
2018-09-01,1000000-10000000,2,3000000.000000000000
2018-10-01,0.01-0.1,1,0.03460000000000000000
2018-10-01,0.1-1,2,0.88400000000000000000
2018-10-01,1-10,21,120.89575800000000000000
2018-10-01,10-100,55,2423.6010450000000000
2018-10-01,100-1000,56,25490.1050050000000000
2018-10-01,1000-10000,32,119229.6522260000000000
2018-10-01,10000-100000,26,995466.054264000000
2018-10-01,100000-1000000,15,3448777.715000000000
2018-10-01,1000000-10000000,8,10399895.000000000000
2018-10-01,>=10000000,1,10000000.000000000000
2018-11-01,<0.01,3,0.002050000000000000000000
2018-11-01,0.01-0.1,6,0.45137400000000000000
2018-11-01,0.1-1,21,9.98637200000000000000
2018-11-01,1-10,81,375.97410700000000000000
2018-11-01,10-100,210,10627.0415330000000000
2018-11-01,100-1000,285,130001.5169840000000000
2018-11-01,1000-10000,615,3112312.6084070000000000
2018-11-01,10000-100000,576,18612741.4336660000000000
2018-11-01,100000-1000000,79,14851632.429000000000
2018-11-01,1000000-10000000,10,29999999.100000000000
2018-12-01,<0.01,3,0.007101000000000000000000
2018-12-01,0.01-0.1,5,0.22764600000000000000
2018-12-01,0.1-1,23,8.97089200000000000000
2018-12-01,1-10,99,509.27951700000000000000
2018-12-01,10-100,312,15366.1422210000000000
2018-12-01,100-1000,444,174201.4063060000000000
2018-12-01,1000-10000,359,1968830.8043570000000000
2018-12-01,10000-100000,453,15645499.1072660000000000
2018-12-01,100000-1000000,82,19675148.682492000000
2018-12-01,1000000-10000000,9,27481153.920000000000
2019-01-01,<0.01,12,0.009218000000000000000000
2019-01-01,0.01-0.1,22,0.73855400000000000000
2019-01-01,0.1-1,42,14.11936000000000000000
2019-01-01,1-10,96,393.66387300000000000000
2019-01-01,10-100,260,9860.0386090000000000
2019-01-01,100-1000,302,108561.6087450000000000
2019-01-01,1000-10000,213,958613.0089570000000000
2019-01-01,10000-100000,149,5367414.5109740000000000
2019-01-01,100000-1000000,58,16482705.632204000000
2019-01-01,1000000-10000000,10,24634997.300000000000
2019-01-01,>=10000000,14,242000009.900000000000
2019-02-01,<0.01,11,0.025031000000000000000000
2019-02-01,0.01-0.1,14,0.55499500000000000000
2019-02-01,0.1-1,73,30.57175300000000000000
2019-02-01,1-10,181,765.94776100000000000000
2019-02-01,10-100,325,13403.2496390000000000
2019-02-01,100-1000,408,162264.9417600000000000
2019-02-01,1000-10000,350,1238304.5642910000000000
2019-02-01,10000-100000,138,4419048.4363460000000000
2019-02-01,100000-1000000,28,8272986.583856000000
2019-02-01,1000000-10000000,1,9999999.900000000000
2019-02-01,>=10000000,5,70001000.000000000000
2019-03-01,<0.01,51,0.258759000000000000000000
2019-03-01,0.01-0.1,11,0.44858700000000000000
2019-03-01,0.1-1,43,21.66901900000000000000
2019-03-01,1-10,213,948.70907500000000000000
2019-03-01,10-100,445,18489.4201270000000000
2019-03-01,100-1000,782,333083.2233690000000000
2019-03-01,1000-10000,480,1652106.1170430000000000
2019-03-01,10000-100000,176,6220557.1176710000000000
2019-03-01,100000-1000000,43,9465163.095035000000
2019-03-01,1000000-10000000,7,17699989.700000000000
2019-03-01,>=10000000,1,10000000.000000000000
2019-04-01,<0.01,8,0.011484000000000000000000
2019-04-01,0.01-0.1,4,0.16009500000000000000
2019-04-01,0.1-1,46,29.42681700000000000000
2019-04-01,1-10,193,829.52350600000000000000
2019-04-01,10-100,850,36134.3435140000000000
2019-04-01,100-1000,1184,489713.6132980000000000
2019-04-01,1000-10000,819,2560555.9474340000000000
2019-04-01,10000-100000,355,11200976.3427720000000000
2019-04-01,100000-1000000,121,30124844.522066000000
2019-04-01,1000000-10000000,22,39364408.442246000000
2019-05-01,<0.01,707,0.743591000000000000000000
2019-05-01,0.01-0.1,39,1.60929700000000000000
2019-05-01,0.1-1,131,61.57260600000000000000
2019-05-01,1-10,523,2046.23646300000000000000
2019-05-01,10-100,1125,48931.9027640000000000
2019-05-01,100-1000,2679,1030386.8794740000000000
2019-05-01,1000-10000,1717,6067432.4680880000000000
2019-05-01,10000-100000,863,26881575.5108240000000000
2019-05-01,100000-1000000,164,40054526.329776000000
2019-05-01,1000000-10000000,11,23460787.000000000000
2019-05-01,>=10000000,3,30000000.000000000000
2019-06-01,<0.01,315,0.344105000000000000000000
2019-06-01,0.01-0.1,62,1.37996900000000000000
2019-06-01,0.1-1,190,62.92606900000000000000
2019-06-01,1-10,730,3323.64081800000000000000
2019-06-01,10-100,1396,59028.2806220000000000
2019-06-01,100-1000,3472,1494083.5291230000000000
2019-06-01,1000-10000,2257,7353661.7116860000000000
2019-06-01,10000-100000,823,24641569.3911630000000000
2019-06-01,100000-1000000,173,44626481.396227000000
2019-06-01,1000000-10000000,19,32875282.846470000000
2019-07-01,<0.01,72,0.142718000000000000000000
2019-07-01,0.01-0.1,39,1.06574200000000000000
2019-07-01,0.1-1,210,103.50726600000000000000
2019-07-01,1-10,886,3869.10777600000000000000
2019-07-01,10-100,1542,61935.5994890000000000
2019-07-01,100-1000,4571,1979797.7455470000000000
2019-07-01,1000-10000,3866,11832445.6040470000000000
2019-07-01,10000-100000,1222,31710457.9876550000000000
2019-07-01,100000-1000000,212,58024489.744948000000
2019-07-01,1000000-10000000,35,53801681.991571000000
2019-07-01,>=10000000,1,14656634.214500000000
2019-08-01,<0.01,85,0.185894000000000000000000
2019-08-01,0.01-0.1,96,3.02596700000000000000
2019-08-01,0.1-1,176,69.64084400000000000000
2019-08-01,1-10,1242,6023.30099300000000000000
2019-08-01,10-100,1639,67256.9118940000000000
2019-08-01,100-1000,4116,1676365.0522010000000000
2019-08-01,1000-10000,3491,10746665.8925930000000000
2019-08-01,10000-100000,1229,33155726.9234160000000000
2019-08-01,100000-1000000,285,82216170.214645000000
2019-08-01,1000000-10000000,30,51354963.646624000000
2019-09-01,<0.01,65,0.134415000000000000000000
2019-09-01,0.01-0.1,81,2.39395400000000000000
2019-09-01,0.1-1,201,94.76773800000000000000
2019-09-01,1-10,807,2883.13177800000000000000
2019-09-01,10-100,1317,56534.8696170000000000
2019-09-01,100-1000,2944,1257787.7455090000000000
2019-09-01,1000-10000,3357,10545409.8684340000000000
2019-09-01,10000-100000,1048,27964976.0906610000000000
2019-09-01,100000-1000000,310,86893842.951728000000
2019-09-01,1000000-10000000,43,78907583.898822000000
2019-10-01,<0.01,83,0.197990000000000000000000
2019-10-01,0.01-0.1,213,6.63075000000000000000
2019-10-01,0.1-1,321,123.86164200000000000000
2019-10-01,1-10,1347,6037.75938400000000000000
