month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2018-10-01,2814.5600000000000000,17,17,5,13
2018-11-01,1424151.105893000000,68,68,205,205
2018-12-01,502994.828203000000,48,35,75,75
2019-01-01,130341.235093000000,54,42,208,227
2019-02-01,5015276.201996000000,247,224,1099,1115
2019-03-01,6689165.766575000000,321,232,1740,1954
2019-04-01,7278980.754488000000,444,305,2004,2189
2019-05-01,18363669.861835000000,912,694,4654,5349
2019-06-01,37336796.911973000000,1209,832,6536,9080
2019-07-01,63385180.180945000000,1628,1093,10901,15459
2019-08-01,45741390.842469000000,1969,1146,12012,17410
2019-09-01,66204404.569919000000,2127,1309,10217,13192
2019-10-01,188614576.4310720000,2377,1441,12990,21216
2019-11-01,127662675.3112640000,2106,1122,13549,23363
2019-12-01,126844106.6938970000,2306,1180,12123,21503
2020-01-01,207679280.9139780000,3340,2148,17160,27792
2020-02-01,333424708.8538440000,4067,2427,26862,46825
2020-03-01,679518104.2198690000,5110,2933,52710,104784
2020-04-01,330818934.7451100000,6256,3677,38363,73466
2020-05-01,298436881.6355630000,7770,5261,34690,61811
2020-06-01,1275029375.3779460000,9319,6044,57164,109883
2020-07-01,5259017154.9272240000,11194,6733,105697,193783
2020-08-01,7637465896.8363960000,13327,8264,139234,219235
2020-09-01,17478583454.9464070000,16800,10653,220349,312023
2020-10-01,22416398864.8761040000,16460,9806,205314,277224
2020-11-01,8412577620.2261110000,16379,9113,199977,271326
2020-12-01,9321500797.1321060000,17718,10007,284087,367776
2021-01-01,15641377311.0377430000,21284,12123,279607,370159
2021-02-01,22522845979.9742180000,21399,12729,217812,275129
2021-03-01,18797731993.4680030000,39736,28812,255683,312524
2021-04-01,22807689042.4493040000,50636,37615,261827,321833
2021-05-01,66977801593.5039170000,48842,33778,361031,498620
2021-06-01,59491328514.4442870000,76337,58953,430294,597419
2021-07-01,50370663894.8298390000,35760,21298,422033,598733
2021-08-01,52452539131.8899660000,25159,11623,321309,433760
2021-09-01,51894909764.4280360000,40931,25153,310090,409694
2021-10-01,50706266484.9973050000,45545,24582,283552,363031
2021-11-01,55687275700.8706150000,43715,25504,286535,374619
2021-12-01,60648688754.7336000000,55522,38603,317779,438721
2022-01-01,72803828311.7341320000,37082,21044,288904,399347
2022-02-01,59587968796.6096880000,37220,22143,246439,337298
2022-03-01,60913985293.6712580000,30539,14690,291400,425365
2022-04-01,50866619332.6221740000,21148,8468,283417,396397
2022-05-01,100714383660.2113500000,28354,12372,380993,577837
2022-06-01,127527860920.7830330000,24562,9449,388011,555373
2022-07-01,167024970704.8222380000,22725,8497,488974,669190
2022-08-01,266112728017.6008650000,27654,13085,547145,772700
2022-09-01,209904683835.1427070000,28107,12969,568125,809133
2022-10-01,118344669987.7509430000,25763,11218,457460,650900
2022-11-01,192376751088.9439470000,32210,14453,662523,958842
2022-12-01,98749625817.9541310000,24720,9616,411788,602660
2023-01-01,112561640091.8822270000,24742,9400,489561,715000
2023-02-01,79207480520.5137650000,23778,8472,539121,777243
2023-03-01,181712423592.9276390000,29501,11297,627309,950846
2023-04-01,79830032937.3021010000,23128,9172,341259,510668
2023-05-01,34864718323.6483710000,25436,10381,254205,371480
2023-06-01,90984142505.5176700000,24523,10307,269899,398026
2023-07-01,65854237345.5426510000,21474,8644,243180,361274
2023-08-01,67393456323.3497410000,20207,6741,258094,391952
2023-09-01,61956218340.5263050000,19644,6788,249952,373779
2023-10-01,68264517891.5742490000,22515,8009,359309,534199
2023-11-01,45418881056.1539400000,22184,7599,378664,550826
2023-12-01,41428697658.2295020000,28867,12470,417260,619450
2024-01-01,57009595981.1649410000,37567,18827,485052,737038
2024-02-01,42079940296.6166650000,31173,11998,360648,547707
2024-03-01,66423270967.2750160000,34143,12428,499023,746883
2024-04-01,68712865074.1339860000,32570,11289,567421,837036
2024-05-01,80699073646.4385970000,31524,9643,611376,934519
2024-06-01,60587832547.9347200000,28599,7375,514533,794585
2024-07-01,68977938425.9006380000,28047,6975,599391,917524
2024-08-01,96867439442.6708880000,29147,7720,754719,1175585
2024-09-01,52413441027.7664800000,28456,7994,555168,854718
2024-10-01,48018028663.9166970000,34071,10886,541094,837229
2024-11-01,74214815853.1202740000,38469,13534,717574,1082689
2024-12-01,89035698990.1654730000,40938,13326,805022,1222808
2025-01-01,138800684794.3112450000,47251,19516,957061,1503128
2025-02-01,184812220214.0917230000,51312,21936,1254551,2055561
2025-03-01,263238835586.7598590000,50551,19987,1398039,2327259
2025-04-01,319248037302.9390550000,50975,19528,1419048,2578501
2025-05-01,230254193751.7326180000,58342,22675,1388109,2440831
2025-06-01,247132949024.6777030000,63234,25333,1368642,2379728
2025-07-01,303730955850.2452660000,72938,30107,1665952,2965121
2025-08-01,611723958010.8729730000,85263,37565,2159563,3982441
2025-09-01,582352069116.3076800000,99947,45056,2202607,4315499
2025-10-01,1131109441855.7257990000,109092,46560,2445856,4870418
2025-11-01,976351745869.9716730000,113499,46076,2479828,5382056
2025-12-01,1275242608893.1279270000,104647,47328,2122883,4511755
2026-01-01,1194897048590.9771890000,131963,71839,2416527,5118164
2026-02-01,1363326316382.4154350000,185385,116520,2489964,5559608
2026-03-01,1486296103719.0929410000,465148,357595,2735553,6510598
2026-04-01,783052937599.0376460000,538161,440162,2508824,6696138
2026-05-01,580795944711.5880470000,808114,698331,2720889,7983350
2026-06-01,1231094872557.9750320000,923479,723970,2702239,8784703
