month,size_bucket,transfer_count,bucket_volume
2018-10-01,0.01-0.1,9,0.09000000000000000000
2018-10-01,1-10,3,6.0000000000000000
2018-10-01,1000-10000,1,2808.4700000000000000
2018-11-01,<0.01,2,0.000100000000000000000000
2018-11-01,0.1-1,17,4.64767300000000000000
2018-11-01,1-10,43,113.78148000000000000000
2018-11-01,10-100,21,644.3012700000000000
2018-11-01,100-1000,15,5802.6652330000000000
2018-11-01,1000-10000,42,250073.2329500000000000
2018-11-01,10000-100000,63,962798.1528740000000000
2018-11-01,100000-1000000,2,204714.324313000000
2018-12-01,0.1-1,14,3.19250000000000000000
2018-12-01,1-10,11,53.07454400000000000000
2018-12-01,10-100,13,484.4328880000000000
2018-12-01,100-1000,6,3610.9012200000000000
2018-12-01,1000-10000,11,38036.7035510000000000
2018-12-01,10000-100000,19,359000.0000000000000000
2018-12-01,100000-1000000,1,101806.523500000000
2019-01-01,<0.01,17,0.062352000000000000000000
2019-01-01,0.01-0.1,29,0.62382200000000000000
2019-01-01,0.1-1,76,20.13389700000000000000
2019-01-01,1-10,37,104.88116000000000000000
2019-01-01,10-100,38,653.2215530000000000
2019-01-01,100-1000,14,2930.8846690000000000
2019-01-01,1000-10000,13,56631.4276400000000000
2019-01-01,10000-100000,2,70000.000000000000
2019-02-01,<0.01,2,0.00200000000000000000
2019-02-01,0.01-0.1,10,0.40137600000000000000
2019-02-01,0.1-1,83,15.85640200000000000000
2019-02-01,1-10,148,597.19757500000000000000
2019-02-01,10-100,222,7613.6526950000000000
2019-02-01,100-1000,304,133751.4620820000000000
2019-02-01,1000-10000,246,944634.7899450000000000
2019-02-01,10000-100000,91,2308562.8799210000000000
2019-02-01,100000-1000000,8,1620099.960000000000
2019-03-01,<0.01,2,0.00426700000000000000
2019-03-01,0.01-0.1,5,0.05960000000000000000
2019-03-01,0.1-1,30,17.92015200000000000000
2019-03-01,1-10,233,797.47932100000000000000
2019-03-01,10-100,432,16564.6895410000000000
2019-03-01,100-1000,718,308455.2316130000000000
2019-03-01,1000-10000,439,1310424.3128950000000000
2019-03-01,10000-100000,87,2212906.0691860000000000
2019-03-01,100000-1000000,7,1340000.000000000000
2019-03-01,1000000-10000000,1,1500000.000000000000
2019-04-01,<0.01,4,0.009999000000000000000000
2019-04-01,0.01-0.1,4,0.16000000000000000000
2019-04-01,0.1-1,31,21.29975800000000000000
2019-04-01,1-10,234,922.27423800000000000000
2019-04-01,10-100,584,26204.5333070000000000
2019-04-01,100-1000,782,274749.9296540000000000
2019-04-01,1000-10000,428,1875155.3874140000000000
2019-04-01,10000-100000,105,2234339.7848590000000000
2019-04-01,100000-1000000,17,2867587.375259000000
2019-05-01,<0.01,14,0.005472000000000000000000
2019-05-01,0.01-0.1,27,0.61238200000000000000
2019-05-01,0.1-1,76,25.67179100000000000000
2019-05-01,1-10,342,1433.39377900000000000000
2019-05-01,10-100,750,32791.3152260000000000
2019-05-01,100-1000,2518,1101073.6434670000000000
2019-05-01,1000-10000,1352,4363537.5016250000000000
2019-05-01,10000-100000,244,5789693.7180930000000000
2019-05-01,100000-1000000,26,7075114.000000000000
2019-06-01,<0.01,80,0.154983000000000000000000
2019-06-01,0.01-0.1,84,3.14071800000000000000
2019-06-01,0.1-1,288,121.22120000000000000000
