month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2023-11-01,46,39,351194919776363948015363,351194.919776363948,11,12,15
2023-12-01,480,407,110202114033692590446733084,110202114.03369259,144,73,154
2024-01-01,1033,891,113330147170141626195995429,113330147.17014163,279,254,302
2024-02-01,85750,80153,1962752876102794793706391680,1962752876.10279479,24711,26650,26670
2024-03-01,75626,60429,5215651470927298045204878817,5215651470.92729805,18559,21655,23026
2024-04-01,150013,108860,13137702392662517508116213647,13137702392.66251751,31378,29870,32898
2024-05-01,69373,43911,7131924212784279900024357674,7131924212.78427990,12137,11948,13028
2024-06-01,59094,35992,10493279304483927606925889142,10493279304.48392761,9368,9920,10573
2024-07-01,52080,33192,5649750123020315994613464813,5649750123.02031599,9055,10008,10541
2024-08-01,53043,32805,6819742301311208357542911982,6819742301.31120836,9038,9704,10486
2024-09-01,34381,23054,3295681978785572956216472888,3295681978.78557296,6529,7618,8353
2024-10-01,43220,28170,5134994481926140227198444757,5134994481.92614023,10034,11048,12078
2024-11-01,52840,30822,9918902420091135834133424331,9918902420.09113583,7566,8706,9479
2024-12-01,62089,40080,10741023515194909894184712891,10741023515.19490989,12123,11795,13957
2025-01-01,54901,30971,7994018387800958222243831309,7994018387.80095822,9797,10004,11568
2025-02-01,121541,78004,11244759379341440108478140425,11244759379.34144011,22614,23897,24630
2025-03-01,141435,77003,12065775534313456688800623901,12065775534.31345669,17348,19239,19914
2025-04-01,115629,63271,9796001352421050258395642087,9796001352.42105026,13357,13623,14387
2025-05-01,114236,61453,13411330791605225804377705060,13411330791.60522580,12618,12971,13818
2025-06-01,79010,41845,39289917336407139491934115561,39289917336.40713949,8398,8780,9477
2025-07-01,143245,72998,57166577103923562746883974741,57166577103.92356275,11826,12824,13468
2025-08-01,271436,130825,57543966483675801984748133254,57543966483.67580198,16837,17745,19169
2025-09-01,282819,142085,67503595992583609121358478659,67503595992.58360912,19669,22540,23363
2025-10-01,281231,145211,51202718021445229009774262245,51202718021.44522901,20562,23084,24206
2025-11-01,180161,92353,21874750480828647622456327010,21874750480.82864762,15028,15994,17544
2025-12-01,155265,77471,13991310981123981478970583378,13991310981.12398148,12011,13674,14602
2026-01-01,214431,114639,14468466454109646828699733277,14468466454.10964683,18388,20335,21672
2026-02-01,201919,96684,11709809952943750387812080640,11709809952.94375039,12855,14066,15019
2026-03-01,213821,91924,7898952982445640227911401806,7898952982.44564023,10818,12570,13476
2026-04-01,250435,105998,23573688715368369216590264262,23573688715.36836922,9274,10681,11610
2026-05-01,209828,88713,11886395967063344291638827198,11886395967.06334429,7674,8133,9632
2026-06-01,201386,84851,7781736026462793757433055369,7781736026.46279376,7150,6934,8475
