month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2023-11-01,45,45,8,339796567400000000000000,339796.567400000000,0,0,0,0,0E-36,339796.567400000000000000000000000000000000,339796.567400000000000000000000000000000000
2023-12-01,1223,1223,98,85566726291442278000000000,85566726.291442278000,0,0,0,0,0E-36,85566726.291442278000000000000000000000000000,85906522.858842278000000000000000000000000000
2024-01-01,869,869,85,54706613266271084000000000,54706613.266271084000,0,0,0,0,0E-36,54706613.266271084000000000000000000000000000,140613136.125113362000000000000000000000000000
2024-02-01,2267,2267,55,443827523522569629000000000,443827523.52256963,15,15,4,11288254618000000000000,11288.254618000000,443816235.267951630000,584429371.393064992000000000000000000000000000
2024-03-01,2365,2365,38,953497753718846919000000000,953497753.71884692,7,7,3,4734883211300000000000,4734.8832113000000000,953493018.8356356200000000,1537922390.228700612000000000000000000000000000
2024-04-01,1758,1758,36,876102573040624710000000000,876102573.04062471,151,151,13,78956954483000000000000000,78956954.483000000000,797145618.557624710000,2335068008.786325322000000000000000000000000000
2024-05-01,1154,1154,33,710034387285309929000000000,710034387.28530993,100,100,11,45607389586866900000000000,45607389.586866900000,664426997.698443030000,2999495006.484768352000000000000000000000000000
2024-06-01,962,962,30,613652820114811920000000000,613652820.11481192,29,29,8,8014485307657000000000000,8014485.307657000000,605638334.807154920000,3605133341.291923272000000000000000000000000000
2024-07-01,59,59,15,31249430016497720000000000,31249430.016497720000,801,801,17,426310810213699200000000000,426310810.21369920,-395061380.197201480000,3210071961.094721792000000000000000000000000000
2024-08-01,32,32,7,31731876327395800000000000,31731876.327395800000,684,684,17,403226376117449000000000000,403226376.11744900,-371494499.790053200000,2838577461.304668592000000000000000000000000000
2024-09-01,35,35,6,21173319028600900000000000,21173319.028600900000,347,347,16,323614229950870000000000000,323614229.95087000,-302440910.922269100000,2536136550.382399492000000000000000000000000000
2024-10-01,346,346,17,333838106118889954000000000,333838106.11888995,178,178,10,127991878924797000000000000,127991878.92479700,205846227.19409295,2741982777.576492442000000000000000000000000000
2024-11-01,2752,2752,44,1692163695585742013200000000,1692163695.58574201,21,21,5,1578320040459000000000000,1578320.040459000000,1690585375.545283010000,4432568153.121775452000000000000000000000000000
2024-12-01,1774,1774,58,1587882816501639561000000000,1587882816.50163956,371,371,37,144629073354252800000000000,144629073.35425280,1443253743.14738676,5875821896.269162212000000000000000000000000000
2025-01-01,261,261,28,403564094108278130000000000,403564094.10827813,641,641,24,219668067433711000000000000,219668067.43371100,183896026.67456713,6059717922.943729342000000000000000000000000000
2025-02-01,137,137,22,210404884185591087090000000,210404884.18559109,656,656,51,538597157136145900000000000,538597157.13614590,-328192272.95055481,5731525649.993174532000000000000000000000000000
2025-03-01,418,418,16,125025161060487960000000000,125025161.06048796,591,591,41,595518097787357960000000000,595518097.78735796,-470492936.72687000,5261032713.266304532000000000000000000000000000
2025-04-01,170,170,10,56768675750774700000000000,56768675.750774700000,712,712,29,650629399767800000000000000,650629399.76780000,-593860724.017025300000,4667171989.249279232000000000000000000000000000
2025-05-01,749,749,29,812770108511230570500000000,812770108.51123057,117,117,10,72712579702786120000000000,72712579.702786120000,740057528.808444450000,5407229518.057723682000000000000000000000000000
2025-06-01,408,408,21,520086215857393243000000000,520086215.85739324,392,392,8,627792661234962400000000000,627792661.23496240,-107706445.37756916,5299523072.680154522000000000000000000000000000
2025-07-01,2023,2023,61,3231885383281574270000000000,3231885383.28157427,96,96,11,6873670651898070000000000,6873670.651898070000,3225011712.629676200000,8524534785.309830722000000000000000000000000000
2025-08-01,2478,2478,67,4078136398157719156000000000,4078136398.15771916,265,265,11,261311360001082720000000000,261311360.00108272,3816825038.15663644,12341359823.466467162000000000000000000000000000
2025-09-01,1790,1790,39,2862384772174831514000000000,2862384772.17483151,295,295,13,489785110059461000000000000,489785110.05946100,2372599662.11537051,14713959485.581837672000000000000000000000000000
2025-10-01,474,474,28,372927309372572121200000000,372927309.37257212,2555,2555,71,5718084746431116796856496139,5718084746.43111680,-5345157437.05854468,9368802048.523292992000000000000000000000000000
2025-11-01,389,389,23,50910480580036726590000000,50910480.580036726590,1436,1436,39,2235487333609404400000000000,2235487333.60940440,-2184576853.029367673410,7184225195.493925318590000000000000000000000000
2025-12-01,317,317,24,40471624340614967500000000,40471624.340614967500,734,734,36,921595749886613500000000000,921595749.88661350,-881124125.545998532500,6303101069.947926786090000000000000000000000000
2026-01-01,300,300,22,389578420688714627000000000,389578420.68871463,233,233,18,129309383413467900000000000,129309383.41346790,260269037.27524673,6563370107.223173516090000000000000000000000000
2026-02-01,296,296,20,182798128227219185700000000,182798128.22721919,709,709,31,698905459190100300000000000,698905459.19010030,-516107330.96288111,6047262776.260292406090000000000000000000000000
2026-03-01,142,142,17,82498964937583142600000000,82498964.937583142600,195,195,24,245889444265433700000000000,245889444.26543370,-163390479.327850557400,5883872296.932441848690000000000000000000000000
2026-04-01,277,277,26,325737522395489876000000000,325737522.39548988,1523,1523,66,2310647721400391700000000000,2310647721.40039170,-1984910199.00490182,3898962097.927540028690000000000000000000000000
2026-05-01,977,977,35,865820659001823896000000000,865820659.00182390,468,468,24,259057652018179500000000000,259057652.01817950,606763006.98364440,4505725104.911184428690000000000000000000000000
2026-06-01,334,334,30,234740112479799208000000000,234740112.47979921,430,430,28,278910505960079650000000000,278910505.96007965,-44170393.48028044,4461554711.430903988690000000000000000000000000
