month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2023-11-01,351194.919776363948,15,15,39,46
2023-12-01,110202114.03369259,154,140,407,480
2024-01-01,113330147.17014163,302,236,891,1033
2024-02-01,1962752876.10279479,26670,26390,80153,85750
2024-03-01,5215651470.92729805,23026,15879,60429,75626
2024-04-01,13137702392.66251751,32898,13684,108860,150013
2024-05-01,7131924212.78427990,13028,4745,43911,69373
2024-06-01,10493279304.48392761,10573,4646,35992,59094
2024-07-01,5649750123.02031599,10541,3663,33192,52080
2024-08-01,6819742301.31120836,10486,4041,32805,53043
2024-09-01,3295681978.78557296,8353,2229,23054,34381
2024-10-01,5134994481.92614023,12078,3466,28170,43220
2024-11-01,9918902420.09113583,9479,3588,30822,52840
2024-12-01,10741023515.19490989,13957,6220,40080,62089
2025-01-01,7994018387.80095822,11568,4799,30971,54901
2025-02-01,11244759379.34144011,24630,16408,78004,121541
2025-03-01,12065775534.31345669,19914,8994,77003,141435
2025-04-01,9796001352.42105026,14387,5811,63271,115629
2025-05-01,13411330791.60522580,13818,4718,61453,114236
2025-06-01,39289917336.40713949,9477,3535,41845,79010
2025-07-01,57166577103.92356275,13468,6084,72998,143245
2025-08-01,57543966483.67580198,19169,9138,130825,271436
2025-09-01,67503595992.58360912,23363,12922,142085,282819
2025-10-01,51202718021.44522901,24206,10300,145211,281231
2025-11-01,21874750480.82864762,17544,4790,92353,180161
2025-12-01,13991310981.12398148,14602,5722,77471,155265
2026-01-01,14468466454.10964683,21672,12790,114639,214431
2026-02-01,11709809952.94375039,15019,7575,96684,201919
2026-03-01,7898952982.44564023,13476,5562,91924,213821
2026-04-01,23573688715.36836922,11610,4492,105998,250435
2026-05-01,11886395967.06334429,9632,3039,88713,209828
2026-06-01,7781736026.46279376,8475,3001,84851,201386
