size_bucket,transfer_count,bucket_volume
<0.01,79179,127.000174669214985193000000000000000000
0.01-0.1,42735,1853.09494130710944155100
0.1-1,121407,59479.79208426232346452200
1-10,288745,1273027.62941259868129170500
10-100,497602,21152096.6524282693585307
100-1000,793770,324909088.3975624324284465
1000-10000,834422,3096090887.1317860399925475
10000-100000,678697,25901279044.4417351520090693
100000-1000000,467593,152152036016.844938298534
1000000-10000000,88303,211115763416.463307927767
>=10000000,4779,127516495439.828988013170
