month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2023-11-01,1,1,700000000000000000000,700.0000000000000000,1,1,2
2023-12-01,8,8,6679069421460401338436688,6679069.421460401338,6,7,13
2024-01-01,17,17,4452585461463765044427219,4452585.461463765044,11,15,25
2024-02-01,474,455,57601870742719112122334784,57601870.742719112122,255,367,570
2024-03-01,740,674,59302601601565895768184788,59302601.601565895768,452,572,913
2024-04-01,9518,9497,284357205511043355131750225,284357205.51104336,6846,4500,8899
2024-05-01,2639,2633,55476433721894182160379428,55476433.721894182160,1926,1511,2801
2024-06-01,3161,3157,186383764780677029445881363,186383764.78067703,1710,1547,2532
2024-07-01,3002,2999,169762726743540882249105903,169762726.74354088,2019,1560,2739
2024-08-01,4362,4360,1454127745036220948549817208,1454127745.03622095,2479,1706,3136
2024-09-01,2909,2888,768233977682464564558064970,768233977.68246456,1719,1327,2381
2024-10-01,4832,4831,539691840355555432354766270,539691840.35555543,3426,2264,4384
2024-11-01,4701,4694,1289427454825817157567951450,1289427454.82581716,2262,1802,3161
2024-12-01,9444,9444,2074948157221772317757890187,2074948157.22177232,4325,3133,5742
2025-01-01,4449,4413,959936449454694230824004380,959936449.45469423,1687,2037,2817
2025-02-01,10609,10567,1721132494706809260867981513,1721132494.70680926,3315,6107,7345
2025-03-01,10536,10449,1931714998595923136058656183,1931714998.59592314,3933,5137,6848
2025-04-01,10207,10039,2191636024437076244246467003,2191636024.43707624,4677,3489,5700
2025-05-01,8190,8032,1429128859996554284577531436,1429128859.99655428,3388,2682,4544
2025-06-01,7682,7461,1029654127268796502531571022,1029654127.26879650,2283,2053,3276
2025-07-01,12589,11897,3329174243173577087126841174,3329174243.17357709,3365,3475,5455
2025-08-01,22123,18038,7727117399847539372268067361,7727117399.84753937,4785,4583,7436
2025-09-01,29504,23684,17717953919816703559685078647,17717953919.81670356,6651,7305,10432
2025-10-01,31909,27646,24577294037004618931003721142,24577294037.00461893,7671,7955,11239
2025-11-01,17977,15384,8277091473974387880366871527,8277091473.97438788,5243,4429,7466
2025-12-01,14742,13812,4053326640113677266711868296,4053326640.11367727,4648,5213,7219
2026-01-01,34342,33779,3370860144505400568092011456,3370860144.50540057,9319,8783,12642
2026-02-01,22636,22252,3196559541406961794835976909,3196559541.40696179,6290,6139,8172
2026-03-01,11310,10863,1429868464126824228694514572,1429868464.12682423,4308,3960,5973
2026-04-01,11886,11156,4462845625289755152302848550,4462845625.28975515,2951,2859,4252
2026-05-01,7524,6835,1834415050379605656498362981,1834415050.37960566,2565,2150,3580
2026-06-01,9924,9765,1343981117554158727642333554,1343981117.55415873,2667,1924,3547
