month,newly_adopted_addresses
2023-11-01,2
2023-12-01,12
2024-01-01,22
2024-02-01,561
2024-03-01,852
2024-04-01,8594
2024-05-01,2041
2024-06-01,1985
2024-07-01,2111
2024-08-01,2295
2024-09-01,1376
2024-10-01,3149
2024-11-01,2312
2024-12-01,3258
2025-01-01,1921
2025-02-01,5979
2025-03-01,4223
2025-04-01,3954
2025-05-01,2648
2025-06-01,2124
2025-07-01,3817
2025-08-01,4455
2025-09-01,7694
2025-10-01,7268
2025-11-01,3811
2025-12-01,4177
2026-01-01,9559
2026-02-01,5711
2026-03-01,3417
2026-04-01,2058
2026-05-01,1607
2026-06-01,1659
