month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2023-11-01,700.0000000000000000,2,2,1,1
2023-12-01,6679069.421460401338,13,12,8,8
2024-01-01,4452585.461463765044,25,22,17,17
2024-02-01,57601870.742719112122,570,561,455,474
2024-03-01,59302601.601565895768,913,852,674,740
2024-04-01,284357205.51104336,8899,8594,9497,9518
2024-05-01,55476433.721894182160,2801,2041,2633,2639
2024-06-01,186383764.78067703,2532,1985,3157,3161
2024-07-01,169762726.74354088,2739,2111,2999,3002
2024-08-01,1454127745.03622095,3136,2295,4360,4362
2024-09-01,768233977.68246456,2381,1376,2888,2909
2024-10-01,539691840.35555543,4384,3149,4831,4832
2024-11-01,1289427454.82581716,3161,2312,4694,4701
2024-12-01,2074948157.22177232,5742,3258,9444,9444
2025-01-01,959936449.45469423,2817,1921,4413,4449
2025-02-01,1721132494.70680926,7345,5979,10567,10609
2025-03-01,1931714998.59592314,6848,4223,10449,10536
2025-04-01,2191636024.43707624,5700,3954,10039,10207
2025-05-01,1429128859.99655428,4544,2648,8032,8190
2025-06-01,1029654127.26879650,3276,2124,7461,7682
2025-07-01,3329174243.17357709,5455,3817,11897,12589
2025-08-01,7727117399.84753937,7436,4455,18038,22123
2025-09-01,17717953919.81670356,10432,7694,23684,29504
2025-10-01,24577294037.00461893,11239,7268,27646,31909
2025-11-01,8277091473.97438788,7466,3811,15384,17977
2025-12-01,4053326640.11367727,7219,4177,13812,14742
2026-01-01,3370860144.50540057,12642,9559,33779,34342
2026-02-01,3196559541.40696179,8172,5711,22252,22636
2026-03-01,1429868464.12682423,5973,3417,10863,11310
2026-04-01,4462845625.28975515,4252,2058,11156,11886
2026-05-01,1834415050.37960566,3580,1607,6835,7524
2026-06-01,1343981117.55415873,3547,1659,9765,9924
