month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2023-11-01,1,1744938583,796ee28ce42bf7bd43a09acd43fad0aacd7c3b29,1,700000000000000000000,700.0000000000000000
2023-12-01,1,1832820476,7d389f21861c7f794654580ac64ff7125232f655,2,5005080655100000000000000,5005080.655100000000
2023-12-01,2,1445396990,e8a280e6b5213e8ccd6de4fc4b50911de749e551,1,64476344500000000000000,64476.344500000000
2023-12-01,3,1569948002,29a99f7fe080f72223dad48d5e1e86670a984326,1,3600000000000000000000,3600.0000000000000000
2023-12-01,4,1838956229,2d3977d6d6da182b16ff3e2b2e996738ed8f3c75,1,99692780401338436688,99.6927804013384367
2023-12-01,5,1691773009,3aa3fd1b762cac519d405297ce630bed30430b00,1,50000000000000000000,50.0000000000000000
2023-12-01,6,1836666742,6389951fc1e90b1b56778901aec1ab92aa77b14a,1,1000000000000000000,1.00000000000000000000
2024-01-01,1,605237574,97263302056c9d2f708153c0aeee7b7fe5ebec93,3,1992966086177595116582,1992.9660861775951166
2024-01-01,2,1569948002,29a99f7fe080f72223dad48d5e1e86670a984326,2,5000000000000000000000,5000.0000000000000000
2024-01-01,3,1691773009,3aa3fd1b762cac519d405297ce630bed30430b00,2,200000000000000000000,200.0000000000000000
2024-01-01,4,1139110505,ab961d7c42bbcd454a54b342bd191a8f090219e6,1,1000791565709431504028099,1000791.565709431504
2024-01-01,5,1150837373,3a2bebe4de45aebaab91d2c0ee38c9e160cca4f0,1,257836870145976754413438,257836.870145976754
2024-01-01,6,1746768782,e7a9db2d1781aec9d5de0aa17c31efc987c14b96,1,174007579828888000000000,174007.579828888000
2024-01-01,7,1851006923,86e3372a5fac4cf512e5ffac26fc80ef31a02eb7,1,9523479693291190869100,9523.4796932911908691
2024-01-01,8,1445396990,e8a280e6b5213e8ccd6de4fc4b50911de749e551,1,2000000000000000000000,2000.0000000000000000
2024-01-01,9,917910068,d3074a836277b0edd45c4c8693afacd97ef76646,1,1001000000000000000000,1001.0000000000000000
2024-01-01,10,824379363,ea173f401253436102da7a77548fc99322bd76b8,1,202000000000000000000,202.0000000000000000
2024-01-01,11,690932580,dbf5e9c5206d0db70a90108bf936da60221dc080,1,25000000000000000000,25.0000000000000000
2024-02-01,1,534914619,f0683aba1f7756f85e861af58fcbac1c2da317fe,49,76000000000000000000,76.0000000000000000
2024-02-01,2,1613382289,e1ce874993c3874545d8183bbcf3c4812cacf2c1,10,50388445502919270193336,50388.445502919270
2024-02-01,3,660500354,4aca3ccaae44172dffa7c45cc3f489eb05363333,10,12000000000000000000000,12000.000000000000
