size_bucket,transfer_count,bucket_volume
<0.01,19492,23.439392332583709183000000000000000000
0.01-0.1,1276,28.07430875722422271100
0.1-1,1677,896.01943269068439689600
1-10,10634,44600.35370819489827201700
10-100,18007,766531.5518836694260029
100-1000,41472,16598249.6609702427793090
1000-10000,54689,188422510.5398995023699862
10000-100000,47173,1830423654.3791130836533676
100000-1000000,44796,16853247276.484006871758
1000000-10000000,19713,47872250462.493166372499
>=10000000,939,30772382511.763377208844
