month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2023-11-01,26,26,296294690005290147118887,296294.690005290147,6,6,12
2023-12-01,261,261,83379002837878829719948945,83379002.837878829720,113,15,128
2024-01-01,392,392,49572975478449756702334742,49572975.478449756702,223,15,238
2024-02-01,35253,35253,720252558630060135491405220,720252558.63006014,22012,59,22071
2024-03-01,25826,25825,1827288927329781368541147520,1827288927.32978137,16443,120,16563
2024-04-01,38999,38984,3200805445811139274138055975,3200805445.81113927,22402,422,22824
2024-05-01,15631,15568,1660614079493334698123891394,1660614079.49333470,9121,288,9409
2024-06-01,12236,11980,1564904874317271257273539449,1564904874.31727126,6770,337,7107
2024-07-01,10035,9850,994000308106517863987903911,994000308.10651786,6136,251,6387
2024-08-01,9017,8894,848343838840464531599469321,848343838.84046453,5603,214,5817
2024-09-01,6577,6515,556002417046404147186519870,556002417.04640415,3912,225,4137
2024-10-01,8235,8132,1202687237388519760398559849,1202687237.38851976,5115,260,5375
2024-11-01,10119,9928,2654481870260423607630031431,2654481870.26042361,3720,237,3957
2024-12-01,12779,12397,2973671200585203556230930616,2973671200.58520356,6585,404,6989
2025-01-01,10572,10117,1555663829772892723901569296,1555663829.77289272,6877,418,7295
2025-02-01,26785,26331,1856368347191206103679621362,1856368347.19120610,16698,789,17487
2025-03-01,23094,22699,1711159642642183684477056875,1711159642.64218368,11716,426,12142
2025-04-01,15847,15630,1612331757375888653366630324,1612331757.37588865,7157,359,7516
2025-05-01,17207,16559,2929494940144036385017839671,2929494940.14403639,7363,388,7751
2025-06-01,10940,10588,1644787485186301342401024068,1644787485.18630134,4577,295,4872
2025-07-01,21243,20265,5901652326759100398528742391,5901652326.75910040,6898,439,7337
2025-08-01,37176,35263,12009411761556189262571200514,12009411761.55618926,9761,769,10530
2025-09-01,34719,33566,11971532088249599915293792199,11971532088.24959992,10483,765,11248
2025-10-01,24534,23920,5281945294088452889256416108,5281945294.08845289,10386,633,11019
2025-11-01,20011,19743,2883004698075848992677032400,2883004698.07584899,7677,427,8104
2025-12-01,19656,19451,1773923002347841210608879324,1773923002.34784121,5728,494,6222
2026-01-01,29138,27971,2862801855243055745258305766,2862801855.24305575,6755,907,7662
2026-02-01,31163,30744,1951380615695396397839510853,1951380615.69539640,4694,699,5393
2026-03-01,42196,41443,1370035255866607127129507839,1370035255.86660713,4466,863,5329
2026-04-01,49021,48642,3575685122709409210441548446,3575685122.70940921,4070,771,4841
2026-05-01,46670,46550,2869281716908501733050571369,2869281716.90850173,3341,374,3715
2026-06-01,35606,35437,1521912374184853472998904674,1521912374.18485347,2712,377,3089
