month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2023-11-01,296294.690005290147,12,12,26,26
2023-12-01,83379002.837878829720,128,118,261,261
2024-01-01,49572975.478449756702,238,193,392,392
2024-02-01,720252558.63006014,22071,21902,35253,35253
2024-03-01,1827288927.32978137,16563,11864,25825,25826
2024-04-01,3200805445.81113927,22824,10113,38984,38999
2024-05-01,1660614079.49333470,9409,3592,15568,15631
2024-06-01,1564904874.31727126,7107,3012,11980,12236
2024-07-01,994000308.10651786,6387,1868,9850,10035
2024-08-01,848343838.84046453,5817,1938,8894,9017
2024-09-01,556002417.04640415,4137,870,6515,6577
2024-10-01,1202687237.38851976,5375,976,8132,8235
2024-11-01,2654481870.26042361,3957,1285,9928,10119
2024-12-01,2973671200.58520356,6989,3931,12397,12779
2025-01-01,1555663829.77289272,7295,4498,10117,10572
2025-02-01,1856368347.19120610,17487,12893,26331,26785
2025-03-01,1711159642.64218368,12142,6612,22699,23094
2025-04-01,1612331757.37588865,7516,3055,15630,15847
2025-05-01,2929494940.14403639,7751,2670,16559,17207
2025-06-01,1644787485.18630134,4872,1669,10588,10940
2025-07-01,5901652326.75910040,7337,3321,20265,21243
2025-08-01,12009411761.55618926,10530,5155,35263,37176
2025-09-01,11971532088.24959992,11248,5682,33566,34719
2025-10-01,5281945294.08845289,11019,4463,23920,24534
2025-11-01,2883004698.07584899,8104,1778,19743,20011
2025-12-01,1773923002.34784121,6222,2002,19451,19656
2026-01-01,2862801855.24305575,7662,3581,27971,29138
2026-02-01,1951380615.69539640,5393,1991,30744,31163
2026-03-01,1370035255.86660713,5329,2266,41443,42196
2026-04-01,3575685122.70940921,4841,1872,48642,49021
2026-05-01,2869281716.90850173,3715,1282,46550,46670
2026-06-01,1521912374.18485347,3089,1074,35437,35606
