month,size_bucket,transfer_count,bucket_volume
2023-11-01,1-10,3,3.00000000000000000000
2023-11-01,10-100,3,120.0000000000000000
2023-11-01,100-1000,10,3697.0956879557055539
2023-11-01,1000-10000,4,6968.5943190000000000
2023-11-01,10000-100000,4,83899.9999983344410000
2023-11-01,100000-1000000,2,201606.000000000000
2023-12-01,0.1-1,2,0.20000000000000000000
2023-12-01,1-10,11,14.00000000000000000000
2023-12-01,10-100,21,573.4298305260970740
2023-12-01,100-1000,30,10708.2788322340335122
2023-12-01,1000-10000,18,64103.0518989090514035
2023-12-01,10000-100000,66,4021719.3224712792200000
2023-12-01,100000-1000000,91,36025850.697675881320
2023-12-01,1000000-10000000,22,43256033.857170000000
2024-01-01,0.1-1,1,0.20000000000000000000
2024-01-01,1-10,14,46.99280659397156060000
2024-01-01,10-100,49,2104.6612076779766131
2024-01-01,100-1000,95,34951.9413765883134009
2024-01-01,1000-10000,70,222483.8046848814376907
2024-01-01,10000-100000,89,4247553.8823857563775011
2024-01-01,100000-1000000,63,22325405.583436812171
2024-01-01,1000000-10000000,11,22740428.412551446454
2024-02-01,<0.01,7,0.025942251697652340000000
2024-02-01,0.01-0.1,42,1.21833405322915925000
2024-02-01,0.1-1,91,45.37745151531691146700
2024-02-01,1-10,891,3904.34198364448197073000
2024-02-01,10-100,5090,233740.4299722750913065
2024-02-01,100-1000,14514,6250986.7265426606985929
2024-02-01,1000-10000,10519,32596812.0681744269203977
2024-02-01,10000-100000,2467,81965059.1289931141708354
2024-02-01,100000-1000000,1585,438897837.958763379801
2024-02-01,1000000-10000000,45,140248810.505756814090
2024-02-01,>=10000000,2,20055360.848146000000
2024-03-01,<0.01,22,0.0252091343382145010000000000
2024-03-01,0.01-0.1,29,0.60747780166840876400
2024-03-01,0.1-1,64,25.79790123075775150400
2024-03-01,1-10,426,1755.67572797574786090000
2024-03-01,10-100,2089,100422.6678640874577220
2024-03-01,100-1000,8169,3556968.0786146025632249
2024-03-01,1000-10000,7961,27790798.1675014960177769
2024-03-01,10000-100000,3568,128602448.1225179190889334
