size_bucket,transfer_count,bucket_volume
<0.01,2410,5.427636030629768410000000000000000000
0.01-0.1,4696,223.99131051199845958200
0.1-1,26491,13925.32062692938094728900
1-10,64248,277837.02385005960953075400
10-100,107068,4485922.2490204386068903
100-1000,153596,59219067.5680307412788740
1000-10000,125004,441347233.9033062291906432
10000-100000,95654,3589401864.8757384656347248
100000-1000000,83350,28936302423.607124265374
1000000-10000000,16818,38645509874.114337656212
>=10000000,624,11942114766.731837991826
