month,newly_adopted_addresses
2023-11-01,7
2023-12-01,47
2024-01-01,181
2024-02-01,23490
2024-03-01,14269
2024-04-01,9449
2024-05-01,3464
2024-06-01,3238
2024-07-01,2512
2024-08-01,2448
2024-09-01,1351
2024-10-01,1411
2024-11-01,1440
2024-12-01,3538
2025-01-01,2998
2025-02-01,10525
2025-03-01,6179
2025-04-01,3480
2025-05-01,3130
2025-06-01,2007
2025-07-01,3624
2025-08-01,5774
2025-09-01,6916
2025-10-01,5737
2025-11-01,3197
2025-12-01,2654
2026-01-01,6113
2026-02-01,3309
2026-03-01,3433
2026-04-01,3206
2026-05-01,1949
2026-06-01,1835
