month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2023-11-01,49684.299154227660,7,7,11,11
2023-12-01,6448645.397562683636,52,47,95,99
2024-01-01,24526747.091781113062,204,181,246,246
2024-02-01,317570668.75257849,23631,23490,32963,33280
2024-03-01,921625766.13428711,19329,14269,22726,25656
2024-04-01,2416749684.73847716,23631,9449,37855,38251
2024-05-01,1004022907.22391339,9468,3464,14482,14915
2024-06-01,1097873995.17789961,7509,3238,11686,12010
2024-07-01,1418674385.47140589,7601,2512,12253,12674
2024-08-01,1515444549.88106551,6924,2448,11997,12438
2024-09-01,664861935.03274488,5191,1351,8175,8372
2024-10-01,1025512668.41083462,7091,1411,9301,9431
2024-11-01,1251994932.26187522,4745,1440,7476,7581
2024-12-01,1317717371.58224283,6697,3538,10119,10411
2025-01-01,1407862513.68455305,5859,2998,8708,8883
2025-02-01,2467503678.88221459,14648,10525,22684,23636
2025-03-01,2328159321.61237643,11592,6179,21334,22091
2025-04-01,2364975768.39810848,9065,3480,17818,18230
2025-05-01,2428267731.74901144,8831,3130,17434,17987
2025-06-01,1374959459.53078067,5534,2007,10378,10718
2025-07-01,3810877300.60425001,8222,3624,20603,21359
2025-08-01,8103172303.87440672,11512,5774,36010,37846
2025-09-01,13083131754.20562662,13436,6916,39032,41390
2025-10-01,7445460375.66465053,13572,5737,31805,34002
2025-11-01,4217551189.63654602,10137,3197,20697,22639
2025-12-01,2730706906.71693232,7448,2654,15780,17541
2026-01-01,2562398308.00048755,10792,6113,22859,25556
2026-02-01,2240011491.96429420,7171,3309,15445,17607
2026-03-01,1527821452.47523521,7502,3433,13555,15157
2026-04-01,5620974929.01107464,7253,3206,18519,21088
2026-05-01,2288775998.77145438,5514,1949,14041,15273
2026-06-01,1519036003.33017906,4402,1835,13135,14281
