month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2023-11-01,1,1801355445,02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,7,7,25334627330219872503397,25334.627330219873
2023-11-01,2,1804608286,e6d7ebb9f1a9519dc06d557e03c522d53520e76a,1,1,23749999999263328609410,23749.999999263329
2023-11-01,3,1804613876,435664008f38b0650fbc1c9fc971d0a3bc2f1e47,3,3,599671824744459253106,599.6718247444592531
2023-12-01,1,1809518189,1a743bd810dde05fa897ec41fe4d42068f7fd6b2,2,2,3994787760000000000000000,3994787.760000000000
2023-12-01,2,1734350848,f0d4c12a5768d806021f80a262b4d39d26c58b8d,17,17,611960049931702300983349,611960.049931702301
2023-12-01,3,1801355445,02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,33,33,511038325351353766458641,511038.325351353766
2023-12-01,4,929482544,4b3f1048c55faa0c0873e249e541139360501f2a,4,4,504074372000000000000000,504074.372000000000
2023-12-01,5,1742888369,e37e799d5077682fa0a244d46e5649f71457bd09,8,4,378698691200000000000000,378698.691200000000
2023-12-01,6,1811476597,f55b0f6f2da5ffddb104b58a60f2862745960442,2,2,149688875516543802873250,149688.875516543803
2023-12-01,7,1742906964,5f515f6c524b18ca30f7783fb58dd4be2e9904ec,1,1,94387245700000000000000,94387.245700000000
2023-12-01,8,1559772233,493f461aead031cee2027f1b95370a692611acb9,2,2,69631262026361473329942,69631.262026361473
2023-12-01,9,1804613876,435664008f38b0650fbc1c9fc971d0a3bc2f1e47,24,24,45117045758137334188032,45117.045758137334
2023-12-01,10,881197687,9008d19f58aabd9ed0d60971565aa8510560ab41,2,2,29481211144770391495507,29481.211144770391
2023-12-01,11,1820061825,d1d13a3ffb3b1e1b9d6fba1acddbc10f9677083a,1,1,24857217426089752500000,24857.217426089753
2023-12-01,12,1754223178,64545160d28fd0e309277c02d6d73b3923cc4bfa,1,1,24823805711175538206653,24823.805711175538
2023-12-01,13,1298780168,24902aa0cf0000a08c0ea0b003b0c0bf600000e0,1,1,10089535796549275676852,10089.5357965492756769
2023-12-01,14,1810758642,7fc7c91d556b400afa565013e3f32055a0713425,1,1,10000000000000000000,10.0000000000000000
