size_bucket,transfer_count,bucket_volume
<0.01,31700,53.170872476212849680000000000000000000
0.01-0.1,26556,1249.53277605560256075400
0.1-1,81372,39421.95382110687442150000
1-10,186081,833783.32375947997994983500
10-100,314770,13323040.6730271693572187
100-1000,476310,198482080.1240588934654863
1000-10000,535636,2035818124.0800492109611039
10000-100000,440766,16862241847.4385149913276890
100000-1000000,264687,80710341395.837552821523
1000000-10000000,35065,85776174455.406727261312
>=10000000,2582,72874274706.596116630908
