month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2024-09-01,6013,5318,1917060907971439721735399915,1917060907.97143972,851,663,886
2024-10-01,12126,9393,6754191776897154086826256154,6754191776.89715409,1113,980,1172
2024-11-01,23429,19757,13207762852744669260377240781,13207762852.74466926,1489,1389,1556
2024-12-01,26975,21756,10820973734467759089274792705,10820973734.46775909,1721,1618,1835
2025-01-01,22312,17258,11126973579673902241046141138,11126973579.67390224,1678,1596,1808
2025-02-01,46062,35448,21350827492974425356256873856,21350827492.97442536,3460,2335,3645
2025-03-01,47957,35885,27416096800266789385966354605,27416096800.26678939,2667,2600,2907
2025-04-01,37787,27742,27009603945802867365858858055,27009603945.80286737,2141,2085,2367
2025-05-01,52764,32807,34239827518638491452018338875,34239827518.63849145,4232,3434,4547
2025-06-01,78252,47068,39130850739510929001373713838,39130850739.51092900,6510,6012,6984
2025-07-01,91396,53921,53716311103941259040743451566,53716311103.94125904,6036,6086,6653
2025-08-01,94252,57241,48320700789479713803479658870,48320700789.47971380,6088,6368,6775
2025-09-01,93462,54994,44476286598409640249566682763,44476286598.40964025,4445,4700,5112
2025-10-01,94715,52869,53638888296387209399431782153,53638888296.38720940,4607,4757,5210
2025-11-01,92193,53673,56604266779263026259836178531,56604266779.26302626,5077,5471,5893
2025-12-01,94405,49621,50649508604953013973278223957,50649508604.95301397,3603,3737,4221
2026-01-01,115501,59091,56777192932016582355982104598,56777192932.01658236,5096,5342,5755
2026-02-01,142549,69671,44815797631870612844830444008,44815797631.87061284,3469,3798,4237
2026-03-01,173153,82440,60207476305577716773859571227,60207476305.57771677,4308,4674,5032
2026-04-01,155853,74037,65727885821549089115814657864,65727885821.54908912,5114,5369,6121
2026-05-01,119359,61812,75825790282805292564643770170,75825790282.80529256,5518,6009,6614
2026-06-01,162605,79853,56981715067379928624771803857,56981715067.37992862,6002,6798,7394
