month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2024-09-01,2238,1998,455,821497452819991137875000750,821497452.81999114,495,495,3,201123758692934210221370316,201123758.69293421,620373694.12705693,620373694.12705693
2024-10-01,3018,2525,356,1752852790227643285685145085,1752852790.22764329,1519,1505,4,1340763074262444691513083577,1340763074.26244469,412089715.96519860,1032463410.09225553
2024-11-01,3294,2897,355,3025780879802147235130821654,3025780879.80214724,1901,1888,5,2958992283637441031675031688,2958992283.63744103,66788596.16470621,1099252006.25696174
2024-12-01,4117,3460,399,2121927501531650362108630931,2121927501.53165036,2252,2221,7,1943832231886167517537848470,1943832231.88616752,178095269.64548284,1277347275.90244458
2025-01-01,6053,4855,349,3882452106325135827613850325,3882452106.32513583,2485,2380,7,2666117017668569135382736398,2666117017.66856914,1216335088.65656669,2493682364.55901127
2025-02-01,16384,12877,1574,6110471246036247642796732211,6110471246.03624764,5047,4781,8,4461553297269931032233503092,4461553297.26993103,1648917948.76631661,4142600313.32532788
2025-03-01,15189,12247,612,5723910701669378827876319354,5723910701.66937883,5848,5473,6,5431993591465805252869959087,5431993591.46580525,291917110.20357358,4434517423.52890146
2025-04-01,11056,8999,497,6800977225376401313864634261,6800977225.37640131,5424,5218,6,7166943512383464378843765975,7166943512.38346438,-365966287.00706307,4068551136.52183839
2025-05-01,14529,12332,1513,10416040456183166255250377314,10416040456.18316626,5982,5501,7,11050514879692103278995473892,11050514879.69210328,-634474423.50893702,3434076713.01290137
2025-06-01,18802,15003,1582,13501369842969443596981980118,13501369842.96944360,8707,7954,7,12828503076370517774070196533,12828503076.37051777,672866766.59892583,4106943479.61182720
2025-07-01,20782,16745,1156,15030990355988124718374982377,15030990355.98812472,10173,9475,6,14639446188152892407821027670,14639446188.15289241,391544167.83523231,4498487647.44705951
2025-08-01,24766,18169,674,14220206611934271830307825702,14220206611.93427183,14210,13335,6,14492893543582603321258986569,14492893543.58260332,-272686931.64833149,4225800715.79872802
2025-09-01,22467,16880,533,12709647006937753732855676143,12709647006.93775373,13076,12459,6,12914370317910261203127774627,12914370317.91026120,-204723310.97250747,4021077404.82622055
2025-10-01,30300,22207,639,15986767961680108241265204536,15986767961.68010824,15210,14372,5,15140122213164156124097408322,15140122213.16415612,846645748.51595212,4867723153.34217267
2025-11-01,30519,23052,613,17905060009532933324430315608,17905060009.53293332,17161,16172,5,17220302642023060868792629532,17220302642.02306087,684757367.50987245,5552480520.85204512
2025-12-01,28255,23008,579,16831287011730143205137247485,16831287011.73014321,22752,20987,7,16865206058659665874235601931,16865206058.65966587,-33919046.92952266,5518561473.92252246
2026-01-01,29677,24058,524,17494315670191570221238425489,17494315670.19157022,24139,22248,7,17130191378139443190765895804,17130191378.13944319,364124292.05212703,5882685765.97464949
2026-02-01,35330,28156,544,14159237566111697517343712569,14159237566.11169752,28950,26445,6,13325512775164054943654108208,13325512775.16405494,833724790.94764258,6716410556.92229207
2026-03-01,42990,35574,800,20118101345900975918222898416,20118101345.90097592,33691,30936,6,18529570235445214884025592531,18529570235.44521488,1588531110.45576104,8304941667.37805311
2026-04-01,37276,30983,993,19253816089321846095078658477,19253816089.32184610,30114,27801,6,19750100516878694051716561223,19750100516.87869405,-496284427.55684795,7808657239.82120516
2026-05-01,38220,29095,789,23217128716664279529490847731,23217128716.66427953,21976,20341,6,22850540786082386168947306806,22850540786.08238617,366587930.58189336,8175245170.40309852
2026-06-01,48305,38412,824,15919536234506839767121429040,15919536234.50683977,26346,24334,6,16530240754849065230025885156,16530240754.84906523,-610704520.34222546,7564540650.06087306
