month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2024-09-01,1917060907.97143972,886,886,5318,6013
2024-10-01,6754191776.89715409,1172,760,9393,12126
2024-11-01,13207762852.74466926,1556,962,19757,23429
2024-12-01,10820973734.46775909,1835,1038,21756,26975
2025-01-01,11126973579.67390224,1808,991,17258,22312
2025-02-01,21350827492.97442536,3645,2602,35448,46062
2025-03-01,27416096800.26678939,2907,1618,35885,47957
2025-04-01,27009603945.80286737,2367,1017,27742,37787
2025-05-01,34239827518.63849145,4547,3048,32807,52764
2025-06-01,39130850739.51092900,6984,4475,47068,78252
2025-07-01,53716311103.94125904,6653,3620,53921,91396
2025-08-01,48320700789.47971380,6775,2606,57241,94252
2025-09-01,44476286598.40964025,5112,2046,54994,93462
2025-10-01,53638888296.38720940,5210,2100,52869,94715
2025-11-01,56604266779.26302626,5893,2392,53673,92193
2025-12-01,50649508604.95301397,4221,1967,49621,94405
2026-01-01,56777192932.01658236,5755,3132,59091,115501
2026-02-01,44815797631.87061284,4237,1716,69671,142549
2026-03-01,60207476305.57771677,5032,2678,82440,173153
2026-04-01,65727885821.54908912,6121,3342,74037,155853
2026-05-01,75825790282.80529256,6614,3040,61812,119359
2026-06-01,56981715067.37992862,7394,4076,79853,162605
