month,size_bucket,transfer_count,bucket_volume
2024-09-01,<0.01,5,0.0060226102038212030000000000
2024-09-01,0.01-0.1,4,0.12608764707542790600
2024-09-01,0.1-1,29,13.11419311861285863600
2024-09-01,1-10,167,666.35407956929871892300
2024-09-01,10-100,263,10978.8517813515005960
2024-09-01,100-1000,472,183020.3693239481020641
2024-09-01,1000-10000,964,4933299.6631674465173901
2024-09-01,10000-100000,2842,88156420.1672085739925068
2024-09-01,100000-1000000,926,308927208.297316613180
2024-09-01,1000000-10000000,307,842514304.731033949439
2024-09-01,>=10000000,34,672334996.291224893806
2024-10-01,<0.01,27,0.034530327945179842000000000000000000
2024-10-01,0.01-0.1,24,1.01138308011474414300
2024-10-01,0.1-1,68,28.37085947966338923800
2024-10-01,1-10,190,741.99440768338538492500
2024-10-01,10-100,341,15398.4783434508727942
2024-10-01,100-1000,945,410332.3857849612299693
2024-10-01,1000-10000,1669,7681292.3562024396212030
2024-10-01,10000-100000,5656,173579627.2128111588785231
2024-10-01,100000-1000000,2078,742493127.474912955759
2024-10-01,1000000-10000000,993,3235572978.512547781684
2024-10-01,>=10000000,133,2594438249.065370767699
2024-11-01,<0.01,35,0.049217124295291718000000000000000000
2024-11-01,0.01-0.1,37,1.66856654410900253500
2024-11-01,0.1-1,100,37.59076285945058789300
2024-11-01,1-10,153,699.67944140474508348300
2024-11-01,10-100,399,17595.2821620692832767
2024-11-01,100-1000,939,393153.2014405899991194
2024-11-01,1000-10000,4138,26892522.0634886497806203
2024-11-01,10000-100000,12016,338111628.4036471707320421
2024-11-01,100000-1000000,3655,1306793929.645235596254
2024-11-01,1000000-10000000,1568,4436981441.566634923979
2024-11-01,>=10000000,383,7098571843.594072329280
2024-12-01,<0.01,75,0.044063801073845273000000000000000000
2024-12-01,0.01-0.1,31,1.33868492360532845200
2024-12-01,0.1-1,87,32.37246691189088280900
2024-12-01,1-10,207,733.24279924503423450000
2024-12-01,10-100,429,19577.4263494608284355
2024-12-01,100-1000,1274,520095.6164083523972844
2024-12-01,1000-10000,4777,26198852.8520808311069723
2024-12-01,10000-100000,15055,451031102.9001217233998423
2024-12-01,100000-1000000,3316,1066169707.006644259729
2024-12-01,1000000-10000000,1444,4407586526.802975060128
2024-12-01,>=10000000,278,4869447104.865164520042
2025-01-01,<0.01,53,0.067162871852833086000000000000000000
2025-01-01,0.01-0.1,33,1.67525688463806667000
2025-01-01,0.1-1,135,60.04427337901097633400
2025-01-01,1-10,260,860.97408032623385640900
2025-01-01,10-100,556,25989.9286287837086850
2025-01-01,100-1000,1449,586177.4330724604964376
2025-01-01,1000-10000,5489,30421641.2807097092120685
2025-01-01,10000-100000,10271,310512251.2939029152772776
2025-01-01,100000-1000000,2715,859299497.861125257134
2025-01-01,1000000-10000000,1087,3080489680.824611494161
2025-01-01,>=10000000,255,6845637418.291078159303
2025-02-01,<0.01,107,0.202651105750796035000000000000000000
2025-02-01,0.01-0.1,2177,121.80499173142346413600
2025-02-01,0.1-1,256,96.63490329419938885500
2025-02-01,1-10,630,2412.40698756060265047200
2025-02-01,10-100,1157,56488.9017859939398102
2025-02-01,100-1000,3536,1636633.8671754880656300
2025-02-01,1000-10000,17367,78587617.9775756174109901
2025-02-01,10000-100000,13970,416130409.9913728706570405
2025-02-01,100000-1000000,4610,1537302952.318656124634
2025-02-01,1000000-10000000,1794,4862107754.813538668077
2025-02-01,>=10000000,418,14455003004.054786899665
2025-03-01,<0.01,168,0.287683584872465522000000000000000000
2025-03-01,0.01-0.1,126,5.30683083370295008100
2025-03-01,0.1-1,224,105.86599314443742834800
2025-03-01,1-10,1057,4850.96490198383706309900
2025-03-01,10-100,1784,74626.6876675066925562
2025-03-01,100-1000,5716,2478586.0839598930272967
2025-03-01,1000-10000,23223,76782896.4223063284129106
2025-03-01,10000-100000,9075,267810421.3970639635389525
2025-03-01,100000-1000000,4212,1346004802.715930254850
2025-03-01,1000000-10000000,1759,4743120601.792233996893
2025-03-01,>=10000000,499,20979819902.742217892654
2025-04-01,<0.01,219,0.400829043947720821000000000000000000
2025-04-01,0.01-0.1,170,6.25486080308855699500
2025-04-01,0.1-1,328,140.02443566121644722400
2025-04-01,1-10,889,3650.42710678560028473700
2025-04-01,10-100,1454,58826.3332045213744766
2025-04-01,100-1000,3528,1761572.0815796988717749
2025-04-01,1000-10000,18136,58911469.5488428789925622
2025-04-01,10000-100000,7786,230092188.7073833431486068
2025-04-01,100000-1000000,3290,1030050105.066391958203
2025-04-01,1000000-10000000,1377,4081285842.186891327481
2025-04-01,>=10000000,465,21607440144.771341338945
2025-05-01,<0.01,346,0.409067352154171925000000000000000000
2025-05-01,0.01-0.1,234,9.39136204397797582400
2025-05-01,0.1-1,483,211.42461384796365856600
2025-05-01,1-10,2074,9873.07686573877332648900
2025-05-01,10-100,7540,327517.9140302285173125
2025-05-01,100-1000,9509,3209139.7211005405896321
2025-05-01,1000-10000,14894,58239935.3186725366120828
2025-05-01,10000-100000,9030,287813374.0940536653707148
2025-05-01,100000-1000000,5829,1924896771.794331057255
2025-05-01,1000000-10000000,2190,6515897555.461332577894
2025-05-01,>=10000000,536,25449433130.033061866826
2025-06-01,<0.01,655,0.823473172889634591000000000000000000
2025-06-01,0.01-0.1,323,13.41021732784402176100
2025-06-01,0.1-1,903,385.21347440088344264000
2025-06-01,1-10,4020,19965.73250954831867629100
2025-06-01,10-100,14823,672732.2964846304426110
2025-06-01,100-1000,17080,5783388.7887495736290136
2025-06-01,1000-10000,20468,78054772.7123462470068889
2025-06-01,10000-100000,9667,342219763.9313770526609978
2025-06-01,100000-1000000,6271,2138556124.275488577038
2025-06-01,1000000-10000000,3075,8309713982.498851881182
2025-06-01,>=10000000,530,28255829609.827956615829
