size_bucket,transfer_count,bucket_volume
<0.01,36238,41.867244998685510788000000000000000000
0.01-0.1,13712,612.21234678996514841400
0.1-1,19286,9012.54920792133286848700
1-10,67215,310441.19100663456492860800
10-100,190794,8429747.5053419360663589
100-1000,348087,150955432.0935961178040143
1000-10000,424218,1488324169.5642191726740282
10000-100000,341869,12830545358.3306099120240432
100000-1000000,260014,79180566424.567426717577
1000000-10000000,63386,179876071451.053491399945
>=10000000,10075,587180776871.647020331192
