month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2024-09-01,29,29,14258672421521167026512961,14258672.421521167027,22,22,41
2024-10-01,219,219,80456617773112694659293629,80456617.773112694659,104,114,165
2024-11-01,288,287,163990348981700447729613838,163990348.98170045,146,138,217
2024-12-01,321,321,108116845641857891246031452,108116845.64185789,185,173,273
2025-01-01,417,417,37074677701615366936505977,37074677.701615366937,213,186,298
2025-02-01,508,508,3266399505107796413121635606,3266399505.10779641,237,257,376
2025-03-01,1023,822,7975049796863890158305576576,7975049796.86389016,408,514,643
2025-04-01,505,494,4736304321195514339152884624,4736304321.19551434,204,249,366
2025-05-01,653,644,100987443981619086071152575,100987443.981619086071,283,357,532
2025-06-01,968,944,107731204980561874194040160,107731204.98056187,381,492,744
2025-07-01,1843,1755,232827906174438454372862979,232827906.17443845,529,663,963
2025-08-01,1518,1443,62461182912126088062674224,62461182.912126088063,567,649,1044
2025-09-01,1511,1468,167753009252593118285889611,167753009.25259312,500,640,942
2025-10-01,1421,1381,75593198785737032323259779,75593198.785737032323,469,610,901
2025-11-01,1508,1454,54303406416745382125406234,54303406.416745382125,773,719,1153
2025-12-01,1543,1535,30582872375490966877640260,30582872.375490966878,953,1044,1316
2026-01-01,3362,3194,264986784430867052104914723,264986784.43086705,1834,1391,2218
2026-02-01,1513,1491,103601617685495146674259318,103601617.68549515,506,540,836
2026-03-01,2312,2264,195538088994578744374219674,195538088.99457874,789,841,1231
2026-04-01,3767,3734,355713017944690134324327211,355713017.94469013,1176,1452,1982
2026-05-01,4069,4021,245973921392943230081489051,245973921.39294323,1117,1645,2112
2026-06-01,5632,5512,1816481970820215256910131371,1816481970.82021526,1579,2178,2874
