month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2024-09-01,14258672.421521167027,41,41,29,29
2024-10-01,80456617.773112694659,165,155,219,219
2024-11-01,163990348.98170045,217,170,287,288
2024-12-01,108116845.64185789,273,201,321,321
2025-01-01,37074677.701615366937,298,235,417,417
2025-02-01,3266399505.10779641,376,306,508,508
2025-03-01,7975049796.86389016,643,537,822,1023
2025-04-01,4736304321.19551434,366,239,494,505
2025-05-01,100987443.981619086071,532,394,644,653
2025-06-01,107731204.98056187,744,606,944,968
2025-07-01,232827906.17443845,963,739,1755,1843
2025-08-01,62461182.912126088063,1044,731,1443,1518
2025-09-01,167753009.25259312,942,634,1468,1511
2025-10-01,75593198.785737032323,901,536,1381,1421
2025-11-01,54303406.416745382125,1153,843,1454,1508
2025-12-01,30582872.375490966878,1316,1059,1535,1543
2026-01-01,264986784.43086705,2218,1849,3194,3362
2026-02-01,103601617.68549515,836,563,1491,1513
2026-03-01,195538088.99457874,1231,923,2264,2312
2026-04-01,355713017.94469013,1982,1600,3734,3767
2026-05-01,245973921.39294323,2112,1578,4021,4069
2026-06-01,1816481970.82021526,2874,2158,5512,5632
