month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2024-09-01,1592,1592,796747472908030207783251832,796747472.90803021,709,30,739
2024-10-01,2024,2024,2111029156158824134707192725,2111029156.15882413,769,88,857
2024-11-01,3264,3264,4982029410937745841356749786,4982029410.93774584,1066,96,1162
2024-12-01,3252,3251,3529530473804353290126313624,3529530473.80435329,1211,113,1324
2025-01-01,2928,2912,3028075622414056909186402430,3028075622.41405691,1121,119,1240
2025-02-01,5743,5713,4471212813622786453619215089,4471212813.62278645,2700,151,2851
2025-03-01,5087,5066,7519192008905253695703052075,7519192008.90525370,1891,169,2060
2025-04-01,4019,4002,7555797020675056056326230409,7555797020.67505606,1404,157,1561
2025-05-01,7643,7300,5022318254739175305543645159,5022318254.73917531,3198,166,3364
2025-06-01,11317,10856,2233704319881695165034903502,2233704319.88169517,4855,210,5065
2025-07-01,13533,13202,5228698600299768654856473104,5228698600.29976865,3918,226,4144
2025-08-01,10813,10666,5789014767476510831113436553,5789014767.47651083,3875,241,4116
2025-09-01,8792,8669,3793493910970955717499542789,3793493910.97095572,2308,239,2547
2025-10-01,6978,6933,4153688638574867550725958720,4153688638.57486755,2450,258,2708
2025-11-01,6651,6612,3398121768268283899003228137,3398121768.26828390,2125,224,2349
2025-12-01,3952,3917,1056351859749954223524303462,1056351859.74995422,1620,215,1835
2026-01-01,5665,5581,2546485770515920387860418647,2546485770.51592039,1914,221,2135
2026-02-01,5470,5403,1808870005762819827215205654,1808870005.76281983,1781,251,2032
2026-03-01,6450,6362,3217626502300557863406624317,3217626502.30055786,1820,881,2701
2026-04-01,7305,7236,3098941663301111073403306594,3098941663.30111107,2386,510,2896
2026-05-01,6388,6347,4070122863282964247268336733,4070122863.28296425,2986,308,3294
2026-06-01,8536,8430,4141395212444362475237505770,4141395212.44436248,2889,374,3263
