month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2024-09-01,1,1804345379,c08b122fb1057149f55d49d3d5cea0d083b37ffb,25,25,208443463512149653340598754,208443463.51214965
2024-09-01,2,1153711585,8fd589aa8bfa402156a6d1ad323fec0ecee50d9d,2,2,90016287929264603955259674,90016287.929264603955
2024-09-01,3,1712565812,8a25d8c9fa8c7a726137f2d618d85cbc2c083f78,7,7,28977219646417999917678038,28977219.646417999918
2024-09-01,4,-26602737,0c65bdf84927beda9afa9c47fe0f610bc28693d3,8,8,21931322493642006264085112,21931322.493642006264
2024-09-01,5,1402185963,3d2b93409174c9cf48fbe31447ef6fc738f0d7a2,3,3,20098751694511869437012792,20098751.694511869437
2024-09-01,6,1696425324,8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,2,2,15693943217617146704420828,15693943.217617146704
2024-09-01,7,-26012388,99d7043940bee529c315f9bcc27a06ef91661a62,12,12,13819869662112710912000470,13819869.662112710912
2024-09-01,8,1879543738,aaf9f14f20145ad50db369e52b2793bfeb18a45b,2,2,13000000000000000000000000,13000000.000000000000
2024-09-01,9,2006917728,c19fedff930e13d38dbb7d5f2ac6df1ac5fc9abd,4,4,12778417731766775144159228,12778417.731766775144
2024-09-01,10,1573731160,77fc6e36d82010b2263b76959720e9ee2c947467,17,17,11298785544636050724063044,11298785.544636050724
2024-09-01,11,1199766106,d14f57283d1487f7bec9a3b4ccfed80930bbc91c,18,18,10966276407661150313977931,10966276.407661150314
2024-09-01,12,1535455103,aa1582084c4f588ef9be86f5ea1a919f86a3ee57,4,4,10108584444146628269494100,10108584.444146628269
2024-09-01,13,-27684478,488a6853e9604c3b9e4e711c20adf88f241a51c5,6,6,10001908285565258972078177,10001908.285565258972
2024-09-01,14,1984418655,afcdd4d31b89e7baaa00d22fa018bef6bd59aa73,3,3,9424320091367734454713556,9424320.091367734455
2024-09-01,15,2119729236,81ebde24453b8e40454616579ea79c79a197699d,7,7,9020985813883098015271142,9020985.813883098015
2024-09-01,16,1550153471,7fe4b2632f5ae6d930677d662af26bc0a06672b3,7,7,8666754907750178131058758,8666754.907750178131
2024-09-01,17,1539791159,728ac133a5c9250a61f7b27abbe7a823e786ff66,2,2,8524234000000000000000000,8524234.000000000000
2024-09-01,18,600100427,63950cfd75e2290a3581b6b0e39c86bc11697d5b,4,4,8000000000000000000000000,8000000.000000000000
2024-09-01,19,-25872635,ae0c80271c262b1330e9effd8e59f79652d1e087,7,7,7900063730299000046178304,7900063.730299000046
2024-09-01,20,2006926309,e7203a25bf8f44699fb8296caf73b70f78d8a36c,2,2,7889907000000000000000000,7889907.000000000000
2024-09-01,21,13596055,0f3c2476fbf0ed09dff00ea7f4ef252dcc72e6f1,2,2,7332424732197076891073725,7332424.732197076891
2024-09-01,22,1545786351,844dc85edd8492a56228d293cfebb823ef3e10ec,3,3,7109957950278072185099342,7109957.950278072185
2024-09-01,23,2086191864,3c66133a7fd29ab1e551db9e8832dca0cead7a16,8,8,6885874210701134686770688,6885874.210701134687
2024-09-01,24,2088528243,31078100f05988e15407aac745fcd141f9440475,2,2,5999957513644000000000000,5999957.513644000000
2024-09-01,25,2029717815,c465f4846e8d9d7add866d3e95f32708d9cf7a0a,1,1,5998863525505563683946237,5998863.525505563684
2024-09-01,26,608648476,2326d4fb2737666dda96bd6314e3d4418246cfe8,6,6,5981702785961962205486947,5981702.785961962205
2024-09-01,27,736646119,8df175aba312ce90aa03f636573ca99c29fbb9d0,5,5,5257074459457920345002315,5257074.459457920345
2024-09-01,28,-27220921,a514c8fb21e0bce2fac086b8aa4910c9bbee0c95,17,17,5170358300885844682920010,5170358.300885844683
2024-09-01,29,830139263,31345e8a872c5a34e6264b1c2ad3fc8d13a0734e,3,3,5000001373133999969366711,5000001.373133999969
2024-09-01,30,1165462523,99e5d4a7fb7ba7281d1f4fc5dce311f1d832796c,4,4,4677700000000000000000000,4677700.000000000000
2024-09-01,31,2079193600,d567006082e89cc07f65d4ff6699dd5f2c55c687,2,2,4518305253697391712574274,4518305.253697391713
2024-09-01,32,1271913269,3f3429d28438cc14133966820b8a9ea61cf1d4f0,3,3,4464812412957843572771084,4464812.412957843573
2024-09-01,33,1990508218,f8a675ea246339ea86280770e0fd6e83f53bb2b5,5,5,4184238873916035000000000,4184238.873916035000
2024-09-01,34,1994716675,de5423bf5fd8f034eaf81b473cff0bb950a9d336,2,2,3885977159493000000000000,3885977.159493000000
2024-09-01,35,1856431681,9f5237babaef17324d4fc577a35dc0c40d4e2164,2,2,3553924554276140596683968,3553924.554276140597
2024-09-01,36,-28216048,61c2d45bcf7840d8286baa986797c2b709651b78,3,3,3414838036805000000000000,3414838.036805000000
2024-09-01,37,1881090579,76be51aa94fb1c9632107349aab0488d878e4395,3,3,3408961628883000033722344,3408961.628883000034
2024-09-01,38,1381081054,79dc1620b19298e29af58e5ebb2983bec2ab544d,1,1,3374574032311013891909869,3374574.032311013892
2024-09-01,39,2146286021,2326ad5530c12cf9f0b32415fc53dbdfe6459cbf,3,3,3231701785961962205486947,3231701.785961962205
2024-09-01,40,1956134581,9bef6bf8e6b1ed4f8b6f2db3c1d86df19eebd454,6,6,3226157196645123824606618,3226157.196645123825
2024-09-01,41,5288884,a53a13a80d72a855481de5211e7654fabdfe3526,5,5,3075466476983517562893754,3075466.476983517563
2024-09-01,42,1798854680,6c413690c19cfc80c3db3211c80993bf642c6456,2,2,3004270647686845126718817,3004270.647686845127
2024-09-01,43,873030932,4b0aba5b8501f215c2c13cc7ce4ef857d5a4f67c,5,5,2947359500370250209744590,2947359.500370250210
