month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2024-09-01,465504496.03278325,565,565,1143,1155
2024-10-01,1592404564.78925395,698,455,1777,1798
2024-11-01,3332952576.17285706,1091,755,2894,2917
2024-12-01,2735878410.14698608,1237,754,2973,3023
2025-01-01,2000924745.02824348,1154,690,2599,2652
2025-02-01,2902945590.92225571,1712,1124,4199,4291
2025-03-01,4421061482.03278199,1865,1128,4496,4585
2025-04-01,4454148591.85734015,1436,668,3463,3532
2025-05-01,3427945945.53112132,2513,1658,5571,5725
2025-06-01,1730238043.51581453,4725,3504,9600,9916
2025-07-01,3456363199.98736997,4557,2685,11970,12408
2025-08-01,3634703731.18766866,4739,2161,10698,11100
2025-09-01,2440118773.67854946,3101,1293,7421,7690
2025-10-01,2521959023.76129196,3205,1427,6376,6637
2025-11-01,2080682930.39924270,3581,1445,6547,6771
2025-12-01,809765443.42483809,2003,837,3839,4012
2026-01-01,1375868933.26334146,3427,1926,6701,7197
2026-02-01,1084081413.21772794,2533,1107,5624,6024
2026-03-01,1498119038.03159485,3092,1838,6917,7302
2026-04-01,2485397389.30462261,3354,1947,7416,7920
2026-05-01,2378144516.54787599,3856,2506,6411,6907
2026-06-01,3202876568.21860727,4083,2481,8807,9644
