month,size_bucket,transfer_count,bucket_volume
2024-09-01,0.01-0.1,2,0.07160621207542790600
2024-09-01,0.1-1,9,3.47312390410309554400
2024-09-01,1-10,39,178.73611066859247497800
2024-09-01,10-100,62,3075.8242535073247890
2024-09-01,100-1000,149,61544.6684509401203916
2024-09-01,1000-10000,207,869656.4949647073866413
2024-09-01,10000-100000,338,13479842.9536879138023388
2024-09-01,100000-1000000,262,90101940.502567707676
2024-09-01,1000000-10000000,77,195522062.663739553403
2024-09-01,>=10000000,10,165466190.644278135370
2024-10-01,<0.01,5,0.001561426702727997000000000000000000
2024-10-01,0.01-0.1,3,0.20891070670565306300
2024-10-01,0.1-1,10,5.37008038638977814900
2024-10-01,1-10,30,161.05610080937571220000
2024-10-01,10-100,57,2687.3940978622554015
2024-10-01,100-1000,246,106671.9182419284634608
2024-10-01,1000-10000,279,1072166.4913749735773726
2024-10-01,10000-100000,374,15066254.7521035132328817
2024-10-01,100000-1000000,478,175266048.492597182176
2024-10-01,1000000-10000000,287,956272087.465854898538
2024-10-01,>=10000000,29,444618481.638330263842
2024-11-01,<0.01,12,0.007591874323534510000000000000000000
2024-11-01,0.01-0.1,3,0.17747206205245761100
2024-11-01,0.1-1,8,3.15390336073141571700
2024-11-01,1-10,28,135.76809524184482700000
2024-11-01,10-100,67,3137.7247967312928213
2024-11-01,100-1000,249,104368.6456870555676625
2024-11-01,1000-10000,369,1561586.4616475177834435
2024-11-01,10000-100000,668,30377247.2585371858839289
2024-11-01,100000-1000000,992,383747155.083862106033
2024-11-01,1000000-10000000,419,1169153170.347284021856
2024-11-01,>=10000000,102,1748005771.543979906871
2024-12-01,<0.01,46,0.011453180899124665000000000000000000
2024-12-01,0.01-0.1,7,0.28523721434312076400
2024-12-01,0.1-1,14,6.16838454679226284000
2024-12-01,1-10,46,179.49135708023007290000
2024-12-01,10-100,98,4557.3564097721443593
2024-12-01,100-1000,283,115638.7511001967808958
2024-12-01,1000-10000,589,2656721.5596889503910261
2024-12-01,10000-100000,764,28792184.4549932727662168
2024-12-01,100000-1000000,716,243296085.105272300586
