size_bucket,transfer_count,bucket_volume
<0.01,7727,15.809520259309813945000000000000000000
0.01-0.1,3250,137.63304810634374245500
0.1-1,3123,1368.30291382181059882800
1-10,7302,31224.14121972482325506800
10-100,14898,677878.3501953778405807
100-1000,21512,8259504.8097800143004745
1000-10000,23578,90085661.6600968576926460
10000-100000,24234,896596232.6874030485177961
100000-1000000,18982,5994239245.285042583048
1000000-10000000,6677,17581415659.034491060581
>=10000000,1004,29460778479.338457623892
