month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2024-09-01,3237,2941,640550266609105097066776405,640550266.60910510,122,105,141
2024-10-01,8085,6297,2970301438175963306197005496,2970301438.17596331,261,218,282
2024-11-01,16960,14941,4728790516652365907039681459,4728790516.65236591,311,280,347
2024-12-01,20379,17330,4447448004874561827689723520,4447448004.87456183,370,338,418
2025-01-01,16315,13257,6060898534529986481938941212,6060898534.52998648,383,355,442
2025-02-01,35520,28305,10710269583321586775584969782,10710269583.32158678,567,525,642
2025-03-01,37262,28761,7500793512464863537722514906,7500793512.46486354,629,557,698
2025-04-01,29731,22696,10263354012074956824357295868,10263354012.07495682,595,541,650
2025-05-01,38743,25811,25688575874386575740640838067,25688575874.38657574,834,766,915
2025-06-01,56051,35193,35059177171132857436866145977,35059177171.13285744,1097,1364,1516
2025-07-01,63612,38958,44798421397479681959727961712,44798421397.47968196,1231,1728,1884
2025-08-01,70821,43140,38834521107903408221563598506,38834521107.90340822,1302,1808,1938
2025-09-01,75469,46046,38074920904507541956113438673,38074920904.50754196,1239,1763,1920
2025-10-01,79679,44665,46887647435265312858259958850,46887647435.26531286,1238,1752,1928
2025-11-01,77263,44436,51071158674178754277839722890,51071158674.17875428,1384,2313,2475
2025-12-01,84898,43660,48752808429402730689186607457,48752808429.40273069,915,1053,1217
2026-01-01,99277,48392,52589851443806453459470798289,52589851443.80645346,927,1422,1563
2026-02-01,129542,61630,41819244595204569931313484699,41819244595.20456993,1086,1200,1370
2026-03-01,157089,73381,55296192676250985311116903608,55296192676.25098531,1586,1557,1854
2026-04-01,136861,60850,59787833750998665301672242864,59787833750.99866530,1175,1452,1672
2026-05-01,101995,49076,69131548981581509098132551271,69131548981.58150910,1041,1467,1633
2026-06-01,138793,62967,47820961315896743624390791147,47820961315.89674362,1195,1639,1814
