month,size_bucket,transfer_count,bucket_volume
2024-09-01,<0.01,4,0.006022609203821203000000
2024-09-01,0.01-0.1,2,0.05448143500000000000
2024-09-01,0.1-1,9,4.73106889616094661500
2024-09-01,1-10,72,286.29570412798683914500
2024-09-01,10-100,134,5022.7636753891658537
2024-09-01,100-1000,166,61879.1637711361113948
2024-09-01,1000-10000,494,2964425.5247443740457563
2024-09-01,10000-100000,2021,55045341.7846810543759060
2024-09-01,100000-1000000,233,74128882.029833274798
2024-09-01,1000000-10000000,90,268823590.243398494770
2024-09-01,>=10000000,12,239520834.011724305452
2024-10-01,<0.01,16,0.0301939650817771770000000000
2024-10-01,0.01-0.1,21,0.80247237340909108000
2024-10-01,0.1-1,54,21.10994776589907910400
2024-10-01,1-10,120,417.74375926738416532500
2024-10-01,10-100,209,9235.9472260523814664
2024-10-01,100-1000,497,215752.0481375453167200
2024-10-01,1000-10000,1080,5283923.2351638232088494
2024-10-01,10000-100000,4747,136731291.0589793641201436
2024-10-01,100000-1000000,955,337974916.723064412112
2024-10-01,1000000-10000000,324,1070279856.222518416652
2024-10-01,>=10000000,60,1419806023.254500320666
2024-11-01,<0.01,20,0.038525249971757208000000000000000000
2024-11-01,0.01-0.1,32,1.41657710601654492400
2024-11-01,0.1-1,81,29.11785949871917217600
2024-11-01,1-10,99,417.75107652231217728300
2024-11-01,10-100,261,10937.7275797589304790
2024-11-01,100-1000,462,195031.3951896660740326
2024-11-01,1000-10000,3369,23659812.5867300462538837
2024-11-01,10000-100000,10555,272683446.9231291053640680
2024-11-01,100000-1000000,1405,450551904.997820878165
2024-11-01,1000000-10000000,561,1616591133.836241149382
2024-11-01,>=10000000,111,2365097800.861636927405
2024-12-01,<0.01,28,0.031610620174720608000000000000000000
2024-12-01,0.01-0.1,23,1.04344770926220768800
2024-12-01,0.1-1,56,21.64952781724550938400
2024-12-01,1-10,128,452.14909977197626550000
2024-12-01,10-100,234,10695.2929380897286988
2024-12-01,100-1000,684,285711.2148178378098795
2024-12-01,1000-10000,3543,20707722.5745972392742245
2024-12-01,10000-100000,13307,384773821.2946145086029307
2024-12-01,100000-1000000,1660,491133174.608898389778
2024-12-01,1000000-10000000,615,1925974490.481987046004
2024-12-01,>=10000000,101,1624561914.533022797781
2025-01-01,<0.01,21,0.04735195133047309800000000000000
2025-01-01,0.01-0.1,18,0.93343787401705697200
2025-01-01,0.1-1,65,30.77073473851156662100
2025-01-01,1-10,129,454.99816883646585660900
2025-01-01,10-100,287,13279.1162021797070470
2025-01-01,100-1000,742,350426.6921456320000176
2025-01-01,1000-10000,4269,24386826.6201178318528912
2025-01-01,10000-100000,8688,245574752.2281011188150543
2025-01-01,100000-1000000,1365,427355955.098703264850
2025-01-01,1000000-10000000,571,1666439239.225787603191
2025-01-01,>=10000000,157,3696777568.799235451204
2025-02-01,<0.01,71,0.162801445518038673000000000000000000
2025-02-01,0.01-0.1,1114,61.83411915860342379500
2025-02-01,0.1-1,207,74.98504498619918582300
2025-02-01,1-10,452,1629.63247838972256097200
2025-02-01,10-100,692,34110.5546529580617491
2025-02-01,100-1000,2414,1254468.8686222036680927
2025-02-01,1000-10000,15061,68586981.0766068980515958
2025-02-01,10000-100000,11741,335313467.9026619311831087
2025-02-01,100000-1000000,2446,783677510.086116649580
2025-02-01,1000000-10000000,1107,3164560894.561762423500
2025-02-01,>=10000000,203,6356840383.656719729656
2025-03-01,<0.01,118,0.216394126958119811000000000000000000
2025-03-01,0.01-0.1,80,3.31447331869117320900
2025-03-01,0.1-1,143,68.94090551247789976400
2025-03-01,1-10,714,3334.46801544061896488000
2025-03-01,10-100,1190,51783.0118842487073022
2025-03-01,100-1000,3826,1917471.7115988638211262
2025-03-01,1000-10000,21101,68324573.8608949024750961
2025-03-01,10000-100000,6689,175890356.2516535456693027
2025-03-01,100000-1000000,2208,678322770.465521192015
2025-03-01,1000000-10000000,1039,3006791327.319174775924
2025-03-01,>=10000000,146,3569491822.904347607304
2025-04-01,<0.01,161,0.310513936844471981000000000000000000
2025-04-01,0.01-0.1,137,4.66269190376129393700
2025-04-01,0.1-1,209,89.52895219709721741900
2025-04-01,1-10,571,2328.29746833399687583800
2025-04-01,10-100,871,35537.4609416951624344
2025-04-01,100-1000,2610,1361900.2562338323771603
2025-04-01,1000-10000,16217,51490525.0087589176658814
2025-04-01,10000-100000,5989,164563082.4007278912024342
2025-04-01,100000-1000000,1969,587407475.169830772201
2025-04-01,1000000-10000000,797,2559222411.253860590028
2025-04-01,>=10000000,200,6899270657.724976749013
2025-05-01,<0.01,289,0.320700552373034533000000000000000000
2025-05-01,0.01-0.1,180,7.41361696237875126100
2025-05-01,0.1-1,346,154.03942739277561332800
2025-05-01,1-10,1626,7828.47547082328048901500
2025-05-01,10-100,5346,218700.9042632919467472
2025-05-01,100-1000,6352,2133901.0081649008881169
2025-05-01,1000-10000,12169,47986369.6534249583519382
2025-05-01,10000-100000,6441,191576072.9731834487683736
2025-05-01,100000-1000000,4184,1408882117.083360312378
2025-05-01,1000000-10000000,1421,4301107244.570451157205
2025-05-01,>=10000000,389,19736663477.944511942710
2025-06-01,<0.01,480,0.604154137415768546000000000000000000
2025-06-01,0.01-0.1,236,9.78005474125265316200
2025-06-01,0.1-1,599,244.24036909015927117700
2025-06-01,1-10,3019,16050.24809435757639885900
2025-06-01,10-100,10300,428012.5257357658351481
2025-06-01,100-1000,10832,3953894.8728970028336443
2025-06-01,1000-10000,17083,66309161.9840202317516592
2025-06-01,10000-100000,6469,224766159.0762914931799064
2025-06-01,100000-1000000,4192,1454731075.235253747113
2025-06-01,1000000-10000000,2359,6534417013.029198939803
2025-06-01,>=10000000,475,26774555549.536787962393
2025-07-01,<0.01,600,0.849958482805636259000000000000000000
2025-07-01,0.01-0.1,478,21.47815907698809488800
2025-07-01,0.1-1,864,365.02808165152201393500
2025-07-01,1-10,2298,10781.83612783985316406000
2025-07-01,10-100,5995,268321.4492387212347591
2025-07-01,100-1000,10271,4477158.4642481760155539
2025-07-01,1000-10000,21907,84015498.7983857925714381
2025-07-01,10000-100000,9295,330820743.1653031447065334
2025-07-01,100000-1000000,8175,3068557008.277411514473
2025-07-01,1000000-10000000,2976,8525781569.767078946053
2025-07-01,>=10000000,730,32784489928.365688610052
2025-08-01,<0.01,1074,0.842689490742548400000000000000000000
2025-08-01,0.01-0.1,443,18.41037171405347837300
2025-08-01,0.1-1,751,329.06684670953220080700
2025-08-01,1-10,2392,11322.08332492858470962100
2025-08-01,10-100,8470,383986.0989886357890924
2025-08-01,100-1000,12131,5170032.1188777357569405
2025-08-01,1000-10000,20511,68591939.5087865589706352
2025-08-01,10000-100000,8921,319110667.0903977959400442
2025-08-01,100000-1000000,12473,4328169544.626086246421
2025-08-01,1000000-10000000,3061,8855414137.079377796879
2025-08-01,>=10000000,554,25257669130.977660623004
2025-09-01,<0.01,1522,0.996576169165603016000000000000000000
2025-09-01,0.01-0.1,323,14.92758822173879585400
2025-09-01,0.1-1,563,272.74831134689011095500
2025-09-01,1-10,2690,13306.11148337480768534600
2025-09-01,10-100,8428,372924.5427686596788525
2025-09-01,100-1000,13264,6102398.6253897972094494
2025-09-01,1000-10000,20224,63816157.0692381894153208
2025-09-01,10000-100000,11460,391296695.6900510639186266
2025-09-01,100000-1000000,13899,4226041261.721581349763
2025-09-01,1000000-10000000,2608,7404930780.199683321608
2025-09-01,>=10000000,474,25982347091.874870449694
2025-10-01,<0.01,1657,0.997947277049315999000000000000000000
2025-10-01,0.01-0.1,310,12.66918473453920871500
2025-10-01,0.1-1,657,277.05890418953270182000
2025-10-01,1-10,2561,12742.47580358783496042700
2025-10-01,10-100,10274,486042.6804599418197871
2025-10-01,100-1000,15047,6421961.3595284274244939
2025-10-01,1000-10000,21265,75900363.4172578894650258
2025-10-01,10000-100000,13206,483208488.7151869696045251
2025-10-01,100000-1000000,11379,3367306434.938245257926
2025-10-01,1000000-10000000,2912,11533131142.675391964348
2025-10-01,>=10000000,390,31421179968.277402605794
2025-11-01,<0.01,508,0.814678573771182669000000000000000000
2025-11-01,0.01-0.1,181,7.47769519134590741500
2025-11-01,0.1-1,532,236.89877995871964078400
2025-11-01,1-10,1767,7814.17151181386127228500
2025-11-01,10-100,7367,343999.9215027350219962
2025-11-01,100-1000,14052,7020026.4975641994812303
2025-11-01,1000-10000,20936,62853274.7716468443456974
2025-11-01,10000-100000,11741,457364418.5168508101948319
2025-11-01,100000-1000000,16562,5120186281.769161214047
2025-11-01,1000000-10000000,3191,9206949693.496929859084
2025-11-01,>=10000000,417,36216432919.842433083201
