size_bucket,transfer_count,bucket_volume
<0.01,24694,19.899835208335327542000000000000000000
0.01-0.1,7676,327.77688007862534576300
0.1-1,14393,6892.49459363253695042000
1-10,52786,246682.22692618678805369600
10-100,159839,7018140.3359980060954918
100-1000,298641,132033881.5602110433046468
1000-10000,367627,1270483713.2911423988938557
10000-100000,283198,10656244955.6286124435940485
100000-1000000,213784,64577625883.569056580452
1000000-10000000,47318,136981460299.238815931726
>=10000000,7164,489310148830.677108088984
