month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2018-06-01,0,0,0,0,0E-24,3,3,3,1021405022,1021.4050220000000000,-1021.405022000000000000000000,-1021.405022000000000000000000
2018-08-01,0,0,0,0,0E-24,1,1,1,1023710000,1023.7100000000000000,-1023.710000000000000000000000,-2045.115022000000000000000000
2018-12-01,0,0,0,0,0E-24,2,2,1,1583721668,1583.7216680000000000,-1583.721668000000000000000000,-3628.836690000000000000000000
2019-05-01,0,0,0,0,0E-24,1,1,1,202500000,202.5000000000000000,-202.500000000000000000000000,-3831.336690000000000000000000
2019-07-01,0,0,0,0,0E-24,13,13,3,5185754290,5185.7542900000000000,-5185.754290000000000000000000,-9017.090980000000000000000000
2019-08-01,0,0,0,0,0E-24,48,48,48,879068703617,879068.703617000000,-879068.703617000000000000000000,-888085.794597000000000000000000
2019-09-01,0,0,0,0,0E-24,3,3,3,206800100,206.8001000000000000,-206.800100000000000000000000,-888292.594697000000000000000000
2019-10-01,0,0,0,0,0E-24,11,11,10,1315690500,1315.6905000000000000,-1315.690500000000000000000000,-889608.285197000000000000000000
2019-11-01,0,0,0,0,0E-24,6,6,5,4321997100,4321.9971000000000000,-4321.997100000000000000000000,-893930.282297000000000000000000
2019-12-01,0,0,0,0,0E-24,12,12,8,560292412,560.2924120000000000,-560.292412000000000000000000,-894490.574709000000000000000000
2020-01-01,0,0,0,0,0E-24,30,30,8,836565000,836.5650000000000000,-836.565000000000000000000000,-895327.139709000000000000000000
2020-02-01,0,0,0,0,0E-24,183,183,9,61015509700,61015.509700000000,-61015.509700000000000000000000,-956342.649409000000000000000000
2020-03-01,0,0,0,0,0E-24,3,3,3,731090000,731.0900000000000000,-731.090000000000000000000000,-957073.739409000000000000000000
2020-04-01,0,0,0,0,0E-24,10,10,9,480110440,480.1104400000000000,-480.110440000000000000000000,-957553.849849000000000000000000
2020-05-01,0,0,0,0,0E-24,20,20,13,1563618854,1563.6188540000000000,-1563.618854000000000000000000,-959117.468703000000000000000000
2020-06-01,0,0,0,0,0E-24,32,32,14,10334957871,10334.957871000000,-10334.957871000000000000000000,-969452.426574000000000000000000
2020-07-01,0,0,0,0,0E-24,15,15,9,1134112900,1134.1129000000000000,-1134.112900000000000000000000,-970586.539474000000000000000000
2020-08-01,0,0,0,0,0E-24,19,19,13,2180724308,2180.7243080000000000,-2180.724308000000000000000000,-972767.263782000000000000000000
2020-09-01,0,0,0,0,0E-24,13,13,10,1299839024,1299.8390240000000000,-1299.839024000000000000000000,-974067.102806000000000000000000
2020-10-01,0,0,0,0,0E-24,11,11,11,15490024569,15490.024569000000,-15490.024569000000000000000000,-989557.127375000000000000000000
