month,size_bucket,transfer_count,bucket_volume
2017-12-01,<0.01,3,0.000006000000000000000000
2017-12-01,0.1-1,8,1.48582700000000000000
2017-12-01,1-10,2,2.00001000000000000000
2017-12-01,10-100,7,150.0000000000000000
2017-12-01,100-1000,5,1408.0000000000000000
2017-12-01,1000-10000,1,1000.0000000000000000
2018-01-01,0.1-1,6,3.24490000000000000000
2018-01-01,1-10,8,22.00000000000000000000
2018-01-01,10-100,7,484.1076000000000000
2018-01-01,100-1000,76,47135.0466480000000000
2018-01-01,1000-10000,122,506666.5207880000000000
2018-01-01,10000-100000,91,4337870.6211490000000000
2018-01-01,100000-1000000,42,19084694.190400000000
2018-01-01,1000000-10000000,38,50682308.974000000000
2018-01-01,>=10000000,6,132000008.030000000000
2018-02-01,0.1-1,1,0.70000000000000000000
2018-02-01,1-10,5,12.21830000000000000000
2018-02-01,10-100,74,4833.0288780000000000
2018-02-01,100-1000,174,96850.0596470000000000
2018-02-01,1000-10000,395,1507725.3531640000000000
2018-02-01,10000-100000,275,11066857.7812030000000000
2018-02-01,100000-1000000,183,54083921.443100000000
2018-02-01,1000000-10000000,7,22116752.650500000000
2018-03-01,0.1-1,4,0.40000000000000000000
2018-03-01,1-10,27,92.45069000000000000000
2018-03-01,10-100,99,6286.0130250000000000
2018-03-01,100-1000,165,75928.4987470000000000
2018-03-01,1000-10000,280,1047745.9642690000000000
2018-03-01,10000-100000,562,27690757.2067340000000000
2018-03-01,100000-1000000,141,36052194.216915000000
2018-03-01,1000000-10000000,8,13524645.451500000000
2018-04-01,<0.01,8,0.003176000000000000000000
2018-04-01,0.01-0.1,9,0.89550000000000000000
2018-04-01,0.1-1,6,1.01750000000000000000
2018-04-01,1-10,86,231.94430700000000000000
2018-04-01,10-100,237,13637.4515820000000000
2018-04-01,100-1000,393,178425.1743520000000000
2018-04-01,1000-10000,749,2775298.3339400000000000
2018-04-01,10000-100000,665,27106442.3921960000000000
2018-04-01,100000-1000000,111,38926630.473830000000
2018-04-01,1000000-10000000,10,28600938.475000000000
2018-04-01,>=10000000,1,10161870.414756000000
2018-05-01,<0.01,4,0.003100000000000000000000
2018-05-01,0.01-0.1,5,0.14050000000000000000
2018-05-01,0.1-1,27,8.86471000000000000000
2018-05-01,1-10,104,394.22174000000000000000
2018-05-01,10-100,286,16944.4728410000000000
2018-05-01,100-1000,480,213785.8478960000000000
2018-05-01,1000-10000,1030,3710547.7171490000000000
2018-05-01,10000-100000,666,25787907.4811040000000000
2018-05-01,100000-1000000,115,33251758.278900000000
2018-05-01,1000000-10000000,12,21985253.485700000000
2018-06-01,<0.01,1,0.000100000000000000000000
2018-06-01,0.01-0.1,2,0.10950000000000000000
2018-06-01,0.1-1,14,5.86441800000000000000
2018-06-01,1-10,205,603.33084100000000000000
2018-06-01,10-100,256,13967.2738130000000000
2018-06-01,100-1000,641,308829.0313670000000000
2018-06-01,1000-10000,1081,3733280.8558400000000000
2018-06-01,10000-100000,389,13552678.7595130000000000
2018-06-01,100000-1000000,55,16841698.242419000000
2018-06-01,1000000-10000000,13,20719948.229206000000
2018-06-01,>=10000000,3,57999995.317900000000
2018-07-01,<0.01,1,0.00100000000000000000
2018-07-01,0.01-0.1,2,0.02000000000000000000
2018-07-01,0.1-1,11,4.28235000000000000000
2018-07-01,1-10,75,250.64745500000000000000
2018-07-01,10-100,273,16947.3814140000000000
2018-07-01,100-1000,1279,604873.7683070000000000
2018-07-01,1000-10000,2172,7105410.7332330000000000
2018-07-01,10000-100000,552,18403553.5774630000000000
2018-07-01,100000-1000000,87,25082842.886314000000
2018-07-01,1000000-10000000,22,33588972.288495000000
2018-07-01,>=10000000,2,45000000.000000000000
2018-08-01,<0.01,2,0.00400000000000000000
2018-08-01,0.01-0.1,7,0.19900000000000000000
2018-08-01,0.1-1,22,9.87528500000000000000
2018-08-01,1-10,184,591.11960500000000000000
2018-08-01,10-100,366,19464.1676410000000000
2018-08-01,100-1000,585,284197.0694220000000000
2018-08-01,1000-10000,973,3381362.2377180000000000
2018-08-01,10000-100000,341,9321844.6350770000000000
2018-08-01,100000-1000000,101,31898572.002365000000
2018-08-01,1000000-10000000,3,3000000.000000000000
2018-09-01,<0.01,11,0.062689000000000000000000
2018-09-01,0.01-0.1,14,0.32652300000000000000
2018-09-01,0.1-1,42,18.87967500000000000000
2018-09-01,1-10,469,1430.97766900000000000000
2018-09-01,10-100,607,30253.3848110000000000
2018-09-01,100-1000,1296,519663.8620990000000000
2018-09-01,1000-10000,1269,3965723.3795130000000000
2018-09-01,10000-100000,405,13263180.7901500000000000
2018-09-01,100000-1000000,52,14253531.064685000000
2018-09-01,1000000-10000000,6,8069223.612710000000
2018-09-01,>=10000000,1,10000000.000000000000
2018-10-01,<0.01,22,0.019935000000000000000000
2018-10-01,0.01-0.1,11,0.46008300000000000000
2018-10-01,0.1-1,34,10.21901000000000000000
2018-10-01,1-10,139,483.50820200000000000000
2018-10-01,10-100,486,20826.9272620000000000
2018-10-01,100-1000,578,234428.8840480000000000
2018-10-01,1000-10000,1239,5129698.7762160000000000
2018-10-01,10000-100000,397,14131775.3377080000000000
2018-10-01,100000-1000000,137,41321961.022172000000
2018-10-01,1000000-10000000,13,24087937.070786000000
2018-10-01,>=10000000,1,10000000.000000000000
2018-11-01,<0.01,23,0.018435000000000000000000
2018-11-01,0.01-0.1,10,0.26160300000000000000
2018-11-01,0.1-1,29,17.88647200000000000000
2018-11-01,1-10,249,1049.44967900000000000000
2018-11-01,10-100,674,26335.3593920000000000
2018-11-01,100-1000,1015,418970.8938280000000000
2018-11-01,1000-10000,1008,3615175.6170300000000000
2018-11-01,10000-100000,452,16686385.8162530000000000
2018-11-01,100000-1000000,101,23003407.096600000000
2018-11-01,>=10000000,1,10000000.000000000000
2018-12-01,<0.01,8,0.033393000000000000000000
2018-12-01,0.01-0.1,19,0.39672300000000000000
2018-12-01,0.1-1,57,19.42232400000000000000
2018-12-01,1-10,254,698.22049100000000000000
2018-12-01,10-100,1168,57313.1313930000000000
2018-12-01,100-1000,1721,701132.7688520000000000
2018-12-01,1000-10000,2169,9612810.9753510000000000
