size_bucket,transfer_count,bucket_volume
<0.01,79763389,90976.366041000000000000000000
0.01-0.1,9843651,245105.93870700000000000000
0.1-1,5682332,2473889.08192800000000000000
1-10,17680395,85372401.59912300000000000000
10-100,84655653,3920529232.9342110000000000
100-1000,159645179,62064404123.2736540000000000
1000-10000,119422977,397859305466.7601590000000000
10000-100000,45208362,1402497938334.4012640000000000
100000-1000000,13118272,3739172872311.020844000000
1000000-10000000,2218663,5480577579468.742239000000
>=10000000,198426,7594817157536.870618000000
