month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2017-12-01,23,23,1408485843,1408.4858430000000000,6,7,8
2018-01-01,270,270,143768089008563,143768089.0085630000,48,68,69
2018-02-01,826,826,86695230348576,86695230.348576000000,209,283,287
2018-03-01,1193,1193,75313019248500,75313019.248500000000,203,284,307
2018-04-01,1861,1861,103955159271455,103955159.2714550000,458,641,686
2018-05-01,2433,2433,83881846604593,83881846.604593000000,600,855,936
2018-06-01,2516,2516,112338847916191,112338847.9161910000,792,1131,1313
2018-07-01,4438,4438,128738819023591,128738819.0235910000,1637,1514,1889
2018-08-01,2542,2542,47235739421521,47235739.421521000000,629,790,921
2018-09-01,3929,3929,38233276544901,38233276.544901000000,995,1295,1392
2018-10-01,2766,2766,79189811953220,79189811.953220000000,768,902,1060
2018-11-01,3266,3266,50614665288785,50614665.288785000000,976,1006,1251
2018-12-01,7227,7227,189189897570987,189189897.5709870000,1232,1465,1617
2019-01-01,3701,3701,33318251276785,33318251.276785000000,818,1011,1146
2019-02-01,2937,2937,121439916978367,121439916.9783670000,808,813,1034
2019-03-01,9847,9847,191997500968580,191997500.9685800000,1970,2309,2448
2019-04-01,51681,51680,2204003461401228,2204003461.4012280000,11111,12308,12624
2019-05-01,118122,118119,3474280564910820,3474280564.9108200000,25815,32685,33701
2019-06-01,371315,371233,5320025115965035,5320025115.9650350000,94612,98095,100600
2019-07-01,873012,872691,12894349186482248,12894349186.4822480000,198139,244836,248696
2019-08-01,2114728,2114401,14801648617949402,14801648617.9494020000,422323,479090,502343
2019-09-01,3736640,3735530,18543261469861552,18543261469.8615520000,588127,619686,652484
2019-10-01,2390969,2390741,22136127664395750,22136127664.3957500000,491596,517552,557790
2019-11-01,2552561,2551867,21393803138730152,21393803138.7301520000,465495,504201,542360
2019-12-01,2185281,2182383,18392834316162938,18392834316.1629380000,426521,504668,529950
2020-01-01,1857038,1852865,16177768896248024,16177768896.2480240000,377501,420222,462442
2020-02-01,2492803,2492239,20281015575553886,20281015575.5538860000,454119,578081,601243
2020-03-01,3327700,3325462,29842794021091485,29842794021.0914850000,642692,841168,883178
2020-04-01,4064980,4058029,28537144947594402,28537144947.5944020000,744477,1074298,1131922
2020-05-01,5155829,5145827,34504291751200597,34504291751.2005970000,1017212,1367359,1469011
2020-06-01,6395479,6387624,39905408488903019,39905408488.9030190000,1561230,1536796,1915309
2020-07-01,6335440,6321552,50325250628286229,50325250628.2862290000,1281958,1374500,1529099
2020-08-01,6390198,6385546,62076378372361241,62076378372.3612410000,1336973,1547109,1738858
2020-09-01,5064118,5055839,66623694970309197,66623694970.3091970000,1016321,1320955,1447370
