month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2017-12-01,1408.4858430000000000,8,8,23,23
2018-01-01,143768089.0085630000,69,66,270,270
2018-02-01,86695230.348576000000,287,268,826,826
2018-03-01,75313019.248500000000,307,239,1193,1193
2018-04-01,103955159.2714550000,686,603,1861,1861
2018-05-01,83881846.604593000000,936,775,2433,2433
2018-06-01,112338847.9161910000,1313,1028,2516,2516
2018-07-01,128738819.0235910000,1889,1326,4438,4438
2018-08-01,47235739.421521000000,921,638,2542,2542
2018-09-01,38233276.544901000000,1392,1087,3929,3929
2018-10-01,79189811.953220000000,1060,674,2766,2766
2018-11-01,50614665.288785000000,1251,787,3266,3266
2018-12-01,189189897.5709870000,1617,1262,7227,7227
2019-01-01,33318251.276785000000,1146,742,3701,3701
2019-02-01,121439916.9783670000,1034,575,2937,2937
2019-03-01,191997500.9685800000,2448,1945,9847,9847
2019-04-01,2204003461.4012280000,12624,11455,51680,51681
2019-05-01,3474280564.9108200000,33701,29810,118119,118122
2019-06-01,5320025115.9650350000,100600,89782,371233,371315
2019-07-01,12894349186.4822480000,248696,218388,872691,873012
2019-08-01,14801648617.9494020000,502343,409143,2114401,2114728
2019-09-01,18543261469.8615520000,652484,397124,3735530,3736640
2019-10-01,22136127664.3957500000,557790,366436,2390741,2390969
2019-11-01,21393803138.7301520000,542360,343182,2551867,2552561
2019-12-01,18392834316.1629380000,529950,351574,2182383,2185281
2020-01-01,16177768896.2480240000,462442,249922,1852865,1857038
2020-02-01,20281015575.5538860000,601243,353813,2492239,2492803
2020-03-01,29842794021.0914850000,883178,573668,3325462,3327700
2020-04-01,28537144947.5944020000,1131922,771224,4058029,4064980
2020-05-01,34504291751.2005970000,1469011,998869,5145827,5155829
2020-06-01,39905408488.9030190000,1915309,946693,6387624,6395479
2020-07-01,50325250628.2862290000,1529099,930436,6321552,6335440
2020-08-01,62076378372.3612410000,1738858,1038178,6385546,6390198
2020-09-01,66623694970.3091970000,1447370,829069,5055839,5064118
2020-10-01,57604715055.8356160000,1529653,753995,6513645,6521276
2020-11-01,71690071670.7021520000,1507303,874286,6258057,6268860
2020-12-01,86849428266.6007450000,1472409,858375,5785323,5804813
2021-01-01,121984931687.0336150000,1389855,749294,5585377,5596474
2021-02-01,124263081559.9012750000,1162906,667202,3903064,3909738
2021-03-01,133718564381.2525260000,1121796,627226,3830345,3835857
2021-04-01,150596112106.2943440000,1329665,786304,3975763,3981342
2021-05-01,188621047941.6077910000,1612722,952291,4097896,4102532
2021-06-01,119610031409.5388510000,1221649,631882,3275945,3280343
2021-07-01,107787802734.1829970000,1066448,587846,3103311,3106490
2021-08-01,125973733450.2824010000,1035269,573089,2951374,2954325
2021-09-01,120900778871.3463440000,998994,547720,2618171,2621212
2021-10-01,133343630992.6941740000,1139553,669570,2790295,2793427
2021-11-01,150435938700.4415820000,1303720,804861,3101342,3105028
2021-12-01,141692622590.9061270000,1138364,571101,2440736,2443490
2022-01-01,120387377975.3257580000,835325,435914,1914051,1917173
2022-02-01,81074817188.5188170000,683196,339269,1496679,1501059
2022-03-01,102175983270.5040510000,911925,433432,1981493,1985823
2022-04-01,84214301409.9358230000,765206,420340,1817985,1822523
2022-05-01,137108633220.6906330000,911322,453834,2144657,2148567
2022-06-01,92832624934.8264650000,698484,350611,1725667,1733037
2022-07-01,57414626141.7075250000,864299,361410,1976724,1979596
2022-08-01,55383835394.6323480000,881878,366600,1982189,1983583
2022-09-01,51540229054.1641130000,844583,363888,1917347,1921046
2022-10-01,53643365243.6927510000,918436,503536,2202683,2207334
2022-11-01,101560599892.4221000000,1137710,507367,2545393,2568360
2022-12-01,74347561453.9908920000,1881190,937199,2937917,3564128
2023-01-01,81988711878.7487200000,1496667,1009018,2434614,3396948
2023-02-01,68012379132.4315470000,1626052,1088534,2490539,4304774
2023-03-01,109865968056.1351780000,1329280,783310,2848931,3372542
2023-04-01,69158081034.1210110000,951860,504467,2325802,2405407
2023-05-01,69071504374.8193660000,875138,453406,2155083,2209284
2023-06-01,80381013336.6648030000,1066381,545441,2310693,2572574
2023-07-01,60554647278.5972150000,997384,568977,2169550,2518848
2023-08-01,73070881614.9040200000,1011688,542854,2288547,2582769
2023-09-01,57867809545.5166190000,963384,477521,2260813,2502847
2023-10-01,67875412934.9649590000,1103733,543545,2619061,2914425
