size_bucket,transfer_count,bucket_volume
<0.01,28163560,35400.209963000000000000000000
0.01-0.1,3868130,84650.17851700000000000000
0.1-1,1390587,615886.01318700000000000000
1-10,7801896,39279663.28732600000000000000
10-100,56340837,2645238131.5848660000000000
100-1000,111789837,42947136175.7425620000000000
1000-10000,78839479,257901196203.2007090000000000
10000-100000,27292944,826708754447.1149600000000000
100000-1000000,7516186,2141973726722.702268000000
1000000-10000000,1250083,3064717468637.739117000000
>=10000000,101400,3487938743575.737722000000
