month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2017-12-01,1,1,133000000,133.0000000000000000,1,1,2
2018-01-01,67,67,1503492399011,1503492.399011000000,7,54,61
2018-02-01,215,215,1433428685772,1433428.685772000000,10,94,104
2018-03-01,52,52,1495705221530,1495705.221530000000,6,29,35
2018-04-01,291,291,2081858803147,2081858.803147000000,66,92,158
2018-05-01,107,107,349546798892,349546.798892000000,58,51,109
2018-06-01,52,52,69337873372,69337.873372000000,28,21,49
2018-07-01,22,22,612321974800,612321.974800000000,11,11,22
2018-08-01,27,27,354555810520,354555.810520000000,9,9,18
2018-09-01,152,152,8094833124556,8094833.124556000000,33,33,66
2018-10-01,135,135,4917807267625,4917807.267625000000,39,32,71
2018-11-01,189,189,1163984698998,1163984.698998000000,73,50,123
2018-12-01,528,528,33845045617793,33845045.617793000000,33,22,55
2019-01-01,45,45,484253172212,484253.172212000000,37,21,58
2019-02-01,72,72,236227540443,236227.540443000000,46,20,66
2019-03-01,122,122,884300273535,884300.273535000000,68,32,100
2019-04-01,265,265,36929992753541,36929992.753541000000,89,64,153
2019-05-01,1481,1481,106211718707575,106211718.7075750000,412,310,722
2019-06-01,4274,4274,188436216060788,188436216.0607880000,601,1282,1883
2019-07-01,8879,8879,143464300945290,143464300.9452900000,1212,3860,5072
2019-08-01,21297,21297,193421513212703,193421513.2127030000,7498,6366,13864
2019-09-01,30369,30369,336207946773182,336207946.7731820000,11683,6539,18222
2019-10-01,32014,32013,438400415455002,438400415.4550020000,11369,6093,17462
2019-11-01,27129,27115,554801770631292,554801770.6312920000,6244,8983,15227
2019-12-01,27299,27008,526259295018572,526259295.0185720000,6869,7643,14512
2020-01-01,31988,31880,573631371760042,573631371.7600420000,6813,7973,14786
2020-02-01,48060,47993,683565846485598,683565846.4855980000,11072,11071,22143
2020-03-01,67045,66937,1279463314428491,1279463314.4284910000,15048,15589,30637
2020-04-01,87215,87057,1426581880469788,1426581880.4697880000,19029,19966,38995
2020-05-01,102600,102368,1326928320051306,1326928320.0513060000,20446,34147,54593
2020-06-01,165036,164828,2417556370198755,2417556370.1987550000,26941,46677,73618
