month,newly_adopted_addresses
2017-12-01,2
2018-01-01,61
2018-02-01,97
2018-03-01,21
2018-04-01,150
2018-05-01,91
2018-06-01,37
2018-07-01,13
2018-08-01,13
2018-09-01,53
2018-10-01,47
2018-11-01,94
2018-12-01,34
2019-01-01,44
2019-02-01,48
2019-03-01,69
2019-04-01,117
2019-05-01,660
2019-06-01,1659
2019-07-01,4568
2019-08-01,12802
2019-09-01,15831
2019-10-01,11944
2019-11-01,11306
2019-12-01,10512
2020-01-01,10500
2020-02-01,15927
2020-03-01,22403
2020-04-01,29847
2020-05-01,42215
2020-06-01,59834
2020-07-01,56912
2020-08-01,57221
2020-09-01,79090
2020-10-01,78344
2020-11-01,63121
2020-12-01,77162
2021-01-01,83468
2021-02-01,73611
2021-03-01,112890
2021-04-01,181976
2021-05-01,196174
2021-06-01,215709
2021-07-01,108559
2021-08-01,78727
2021-09-01,90700
2021-10-01,92112
2021-11-01,104147
2021-12-01,99730
2022-01-01,69167
2022-02-01,73745
2022-03-01,86865
2022-04-01,53790
2022-05-01,59895
2022-06-01,51399
2022-07-01,70279
2022-08-01,89245
2022-09-01,105539
2022-10-01,104743
2022-11-01,150393
2022-12-01,116945
2023-01-01,120925
2023-02-01,104212
2023-03-01,157619
2023-04-01,102383
2023-05-01,109109
2023-06-01,115985
2023-07-01,101995
2023-08-01,108262
2023-09-01,113527
2023-10-01,129076
2023-11-01,147149
2023-12-01,166475
2024-01-01,189945
2024-02-01,153093
2024-03-01,183500
2024-04-01,162574
2024-05-01,139188
2024-06-01,135116
2024-07-01,104128
2024-08-01,100279
2024-09-01,96227
2024-10-01,106601
2024-11-01,133469
2024-12-01,154676
2025-01-01,140619
2025-02-01,153788
2025-03-01,137487
2025-04-01,138561
2025-05-01,144452
2025-06-01,152406
2025-07-01,177739
2025-08-01,220126
2025-09-01,216372
2025-10-01,260527
2025-11-01,198788
2025-12-01,285218
2026-01-01,365243
2026-02-01,314153
2026-03-01,432004
2026-04-01,319379
2026-05-01,344125
2026-06-01,309903
