month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2017-12-01,1,2570167,f5437e158090b2a2d68f82b54a5864b95dd6dbea,1,133000000,133.0000000000000000
2018-01-01,1,2035,05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,46,198708994911,198708.994911000000
2018-01-01,2,5393470,34f1e87e890b5683ef7b011b16055113c7194c35,3,99025000000,99025.000000000000
2018-01-01,3,360203,f6c396761b3282c237264dd2396b55a206537e2d,1,21608524900,21608.524900000000
2018-01-01,4,24961133,eaa28b3dcc4310484d72bb1d963fd4a0d42d1b53,1,1690000000,1690.0000000000000000
2018-01-01,5,2012389,876eabf441b2ee5b5b0554fd502a8e0600950cfa,1,795756000,795.7560000000000000
2018-01-01,6,38356257,ca54424bed3daecfb635af0b527f4ece20d350f0,1,290463300,290.4633000000000000
2018-01-01,7,12986376,ddea10837773a0efa3ffadc1cf388c475a003baf,1,3000000,3.0000000000000000
2018-02-01,1,2035,05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,79,425244966252,425244.966252000000
2018-02-01,2,81862,a30d8157911ef23c46c0eb71889efe6a648a41f7,3,4684876400,4684.8764000000000000
2018-02-01,3,5234276,46561ea0545b3aa8cd9296dde6bdf969b656b35f,1,1515830000,1515.8300000000000000
2018-02-01,4,38271418,6cd1bb3da0ae7ada5ec874a4219f47a26ef66989,1,821204500,821.2045000000000000
2018-02-01,5,31862970,1644d791487776aad78f22485f37b555e3fe9685,1,702812700,702.8127000000000000
2018-02-01,6,139969,cf74c0d56601b9812a452d8af4408e77f000b0a7,1,571000000,571.0000000000000000
2018-02-01,7,40093169,0d1b19fa67c2c6b1f9f57957f11df24ebc23223f,1,510290000,510.2900000000000000
2018-02-01,8,402449,0ae11dfc0ddd4721e4ab412b99f1342087035118,1,300000000,300.0000000000000000
2018-02-01,9,50642016,f8dd0f5408929d5d9a519ec57614671b3f1c174d,1,160000000,160.0000000000000000
2018-03-01,1,2035,05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,10,40403955000,40403.955000000000
2018-03-01,2,2012389,876eabf441b2ee5b5b0554fd502a8e0600950cfa,3,1300193879700,1300193.879700000000
2018-03-01,3,5630959,6bdd2be06dee84fdcc98172e288f5ba533426714,1,1030745000,1030.7450000000000000
2018-03-01,4,63810199,00799bbc833d5b168f0410312d2a8fd9e0e3079c,1,887000000,887.0000000000000000
2018-03-01,5,19159569,5ec5fb17f9c901fc4c599f2d750dbbab8bf4a9ee,1,552000000,552.0000000000000000
2018-03-01,6,51338211,599c39b4553d2a211eaab0f457a65a7dd8749409,1,200660000,200.6600000000000000
2018-04-01,1,86372871,0d0707963952f2fba59dd06f2b425ace40b492fe,38,93168908320,93168.908320000000
2018-04-01,2,81862,a30d8157911ef23c46c0eb71889efe6a648a41f7,10,17476166260,17476.166260000000
2018-04-01,3,2035,05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,8,22436202300,22436.202300000000
2018-04-01,4,2012389,876eabf441b2ee5b5b0554fd502a8e0600950cfa,3,26708107194,26708.107194000000
2018-04-01,5,70176912,5c7d23d516f120d322fc7b116386b7e491739138,2,6000000,6.0000000000000000
2018-04-01,6,6017150,35257f1288587b2d10cde703eb2d5dd436554a9b,1,10135583300,10135.583300000000
2018-04-01,7,89329573,2c9fe82b4b4b28ad7d931b52b24de5d4a2f26db1,1,5991340000,5991.3400000000000000
2018-04-01,8,488178,4c5434505bfd9a482e70f6f5d91c2944a7a785fc,1,4976300000,4976.3000000000000000
2018-04-01,9,90613169,c7adf6c6e7244a3183803e722b2601a7dedf7b77,1,3065456834,3065.4568340000000000
2018-04-01,10,34503846,2a933477ae116ec8ee3fc47bcd30209314ab25bb,1,2549000000,2549.0000000000000000
2018-04-01,11,112255,f518681e020eee4db6fbe9aea673605d9a8539bb,1,1953692600,1953.6926000000000000
2018-04-01,12,12279156,dfe34a22c417b4ad859de6381112df0db6dce5d3,1,1832221700,1832.2217000000000000
2018-04-01,13,156991,6fbebd3af2c572557294dae2a1913cfa2f5cecc3,1,1669490000,1669.4900000000000000
2018-04-01,14,22270281,d6e9e207f35df963ca1657641940f79a1ee40c06,1,1380000000,1380.0000000000000000
2018-04-01,15,400589,c202411e3daa8af23f6a967cfe98a824f957da70,1,1100000000,1100.0000000000000000
2018-04-01,16,860753,d8156649ae344b13729fa1b315108b5cfb07dbd8,1,990000000,990.0000000000000000
2018-04-01,17,19914566,9ae4ee0d7d06b689b789d195d02498457ed4b1ef,1,840000000,840.0000000000000000
2018-04-01,18,1889518,199d96528b648cfd06ccce65bcf0be580dbcf897,1,825400000,825.4000000000000000
2018-04-01,19,29964201,a21a2a7fafe6df4e6afd67a243b88682d4e7ddef,1,808999000,808.9990000000000000
2018-04-01,20,31424913,27bfc00299263dca1e058e9059139c3761b7fa79,1,535518000,535.5180000000000000
2018-04-01,21,45966308,26d7d9477228c9f36254d732be5f6c352c50fa15,1,490000000,490.0000000000000000
2018-04-01,22,65845212,43adc42f7e9837abc10bbe86b4009700eec7f64c,1,402600000,402.6000000000000000
2018-04-01,23,45682691,69a79f442339318a5a90ba96022d96dc8792ec3d,1,264670000,264.6700000000000000
2018-04-01,24,9474850,71292617e93c8cc3f23565ca6b6abbaddf981b39,1,194900000,194.9000000000000000
2018-04-01,25,2644557,f093ba95e6375608c1012fb8e772aa1594dc56d7,1,180898900,180.8989000000000000
2018-04-01,26,26483445,c1096dd811fe6778f7bf4073e42584d5499ecfc3,1,131000000,131.0000000000000000
2018-04-01,27,32522318,e8613be0178c625e7f2325348d98dfb8a7be5c59,1,118500000,118.5000000000000000
2018-04-01,28,67175181,b0cf943cf94e7b6a2657d15af41c5e06c2bfea3d,1,50000000,50.0000000000000000
2018-04-01,29,39811423,4300fe16e6c11df4b8cf06862b52b4aa839daf12,1,10000000,10.0000000000000000
2018-04-01,30,65545048,6d79d2fc0b8806cc21a05b50a12b19ddffb35c5f,1,3000000,3.0000000000000000
2018-04-01,31,4409983,4668b17945b85e7a6b1cb0faabed17060cb041e4,1,1000000,1.00000000000000000000
2018-05-01,1,86372871,0d0707963952f2fba59dd06f2b425ace40b492fe,21,42997939040,42997.939040000000
2018-05-01,2,81862,a30d8157911ef23c46c0eb71889efe6a648a41f7,2,27069510703,27069.510703000000
2018-05-01,3,5356319,703c67448044df6389189a0ff6035639b42f2864,1,13240000000,13240.000000000000
2018-05-01,4,74769060,d1352573363795058b239eea490bb3efa48f6175,1,8578625583,8578.6255830000000000
2018-05-01,5,67175181,b0cf943cf94e7b6a2657d15af41c5e06c2bfea3d,1,3998043500,3998.0435000000000000
2018-05-01,6,58045764,5af4d343b51415fcdfc3b691ec912a3f569d3ddf,1,3412800000,3412.8000000000000000
2018-05-01,7,46869034,3a1e73f1df60a93e4cc2f69d915ed8c000d455bc,1,2002195760,2002.1957600000000000
2018-05-01,8,2012389,876eabf441b2ee5b5b0554fd502a8e0600950cfa,1,2000000000,2000.0000000000000000
2018-05-01,9,63810199,00799bbc833d5b168f0410312d2a8fd9e0e3079c,1,1556563524,1556.5635240000000000
2018-05-01,10,206735,d39c072573581b8224755bc8d7cf0bfcecadf823,1,1001000000,1001.0000000000000000
2018-05-01,11,19914566,9ae4ee0d7d06b689b789d195d02498457ed4b1ef,1,944632000,944.6320000000000000
2018-05-01,12,13281684,532e1dc06201030f1bcba246903e7fa4f2c42859,1,895000000,895.0000000000000000
2018-05-01,13,215876,ba9054b5b0f0e402de5accdceb16d27398b6b0f6,1,700000000,700.0000000000000000
2018-05-01,14,95889131,373a1ccb55354b92d07ee29377415bdebf3d37ea,1,690000000,690.0000000000000000
2018-05-01,15,9626528,f39d01008525dcb9becef0f1cde298606493cd0a,1,262434000,262.4340000000000000
2018-05-01,16,29091495,ff68a91a0eb99abfc8f7b45b6e8b95291c2ab270,1,62661500,62.6615000000000000
2018-05-01,17,82917565,c4d300019f587145cfd9b42875073b3ad4bb0296,1,31073648,31.0736480000000000
2018-05-01,18,325717,48e664103264d532063c11c0a728fe246836e04f,1,19500000,19.5000000000000000
2018-05-01,19,76981747,288d78a9f97368500d658cd8f796ef82c1893e8f,1,10000000,10.0000000000000000
2018-05-01,20,892827,4c8a5de9ed909acbd74c58cf9edc4e1d3919b9b6,1,10000000,10.0000000000000000
2018-05-01,21,44042,d7c866d0d536937bf9123e02f7c052446588189f,1,5000000,5.0000000000000000
2018-05-01,22,73117185,4e623b150b847da59f064f7c7fcc9f787dae2229,1,874987,0.87498700000000000000
2018-06-01,1,86372871,0d0707963952f2fba59dd06f2b425ace40b492fe,4,2619646000,2619.6460000000000000
2018-06-01,2,123339544,6e96bffb5d94efb9cac0a6d6ba36cc7224ae20ff,1,8064131723,8064.1317230000000000
2018-06-01,3,6644992,f3990e5aad0f7b1e143e608c9c7b91c782d3243e,1,6024100000,6024.1000000000000000
2018-06-01,4,19711008,b8a9be50daee0dff68780d1e193c28b3ae1a3ac6,1,1928191100,1928.1911000000000000
2018-06-01,5,6808709,a05c447f0fd9a24cac905249e8c7a6118fcd7ff5,1,1338800000,1338.8000000000000000
2018-06-01,6,135609,8bd1cb89aaff70af29d261dd4c6c6f5c56a608f8,1,1296000000,1296.0000000000000000
2018-06-01,7,174532,29481f36978deebf7419ace0c33cf573d33a735f,1,923860800,923.8608000000000000
2018-06-01,8,126119220,6042649c83ca7d8e482c9b1da36ec294764ca06e,1,10000000,10.0000000000000000
2018-06-01,9,2570167,f5437e158090b2a2d68f82b54a5864b95dd6dbea,1,5000000,5.0000000000000000
2018-06-01,10,32522318,e8613be0178c625e7f2325348d98dfb8a7be5c59,1,1250000,1.2500000000000000
2018-06-01,11,135772272,f5e991fe173c2cc82c8c3520aa034f5bfb51b941,1,1000000,1.00000000000000000000
2018-06-01,12,82917565,c4d300019f587145cfd9b42875073b3ad4bb0296,1,495767,0.49576700000000000000
2018-06-01,13,68913574,4d6641fef0b2949b613e38d0441b22cb307e3efd,1,0,0E-24
2018-07-01,1,2012389,876eabf441b2ee5b5b0554fd502a8e0600950cfa,4,45119556500,45119.556500000000
