month,size_bucket,transfer_count,bucket_volume
2017-12-01,100-1000,1,133.0000000000000000
2018-01-01,1-10,2,8.0000000000000000
2018-01-01,10-100,1,20.0000000000000000
2018-01-01,100-1000,20,13647.9203000000000000
2018-01-01,1000-10000,33,113145.2529710000000000
2018-01-01,10000-100000,10,376670.7137400000000000
2018-01-01,1000000-10000000,1,1000000.512000000000
2018-02-01,1-10,1,2.5000000000000000
2018-02-01,10-100,9,609.1540380000000000
2018-02-01,100-1000,42,28901.3155200000000000
2018-02-01,1000-10000,131,522562.2933140000000000
2018-02-01,10000-100000,32,881353.422900000000
2018-03-01,10-100,3,260.5292000000000000
2018-03-01,100-1000,16,9545.7770000000000000
2018-03-01,1000-10000,27,90370.0002300000000000
2018-03-01,10000-100000,5,95530.5646000000000000
2018-03-01,1000000-10000000,1,1299998.350500000000
2018-04-01,<0.01,2,0.000002000000000000000000
2018-04-01,1-10,12,30.34000000000000000000
2018-04-01,10-100,18,1060.1213600000000000
2018-04-01,100-1000,48,23637.7719610000000000
2018-04-01,1000-10000,143,470901.2865340000000000
2018-04-01,10000-100000,67,1366230.6170900000000000
2018-04-01,100000-1000000,1,219998.666200000000
2018-05-01,0.1-1,2,1.65275500000000000000
2018-05-01,1-10,1,5.0000000000000000
2018-05-01,10-100,12,568.6977080000000000
2018-05-01,100-1000,28,16394.7153480000000000
2018-05-01,1000-10000,57,196160.1344350000000000
2018-05-01,10000-100000,7,136416.598646000000
2018-06-01,0.1-1,1,0.49576700000000000000
2018-06-01,1-10,5,9.36111100000000000000
2018-06-01,10-100,6,284.1020220000000000
2018-06-01,100-1000,9,4836.6243500000000000
2018-06-01,1000-10000,14,51109.2901220000000000
2018-06-01,10000-100000,1,13098.000000000000
2018-07-01,<0.01,1,0.00100000000000000000
2018-07-01,0.1-1,1,0.50000000000000000000
2018-07-01,1-10,4,12.00000000000000000000
2018-07-01,100-1000,4,1430.3274000000000000
2018-07-01,1000-10000,3,14885.1367000000000000
2018-07-01,10000-100000,4,169995.009700000000
2018-07-01,100000-1000000,1,425999.000000000000
2018-08-01,1-10,2,5.7334100000000000
2018-08-01,10-100,4,134.6203100000000000
2018-08-01,1000-10000,8,50766.4156000000000000
2018-08-01,10000-100000,12,303649.041200000000
2018-09-01,1-10,10,38.2728560000000000
2018-09-01,10-100,16,608.6145760000000000
2018-09-01,100-1000,15,6841.8242480000000000
2018-09-01,1000-10000,25,114204.2206840000000000
2018-09-01,10000-100000,51,1811153.1233760000000000
2018-09-01,100000-1000000,18,6161987.068816000000
2018-10-01,0.01-0.1,1,0.04821900000000000000
2018-10-01,0.1-1,2,0.95460000000000000000
2018-10-01,1-10,6,28.8932220000000000
2018-10-01,10-100,20,974.9003610000000000
2018-10-01,100-1000,14,6502.8781230000000000
2018-10-01,1000-10000,43,223875.9679930000000000
2018-10-01,10000-100000,17,656893.5764200000000000
2018-10-01,100000-1000000,13,4029530.048687000000
2018-11-01,<0.01,9,0.004026000000000000000000
2018-11-01,0.01-0.1,4,0.05200100000000000000
2018-11-01,0.1-1,3,1.96000000000000000000
2018-11-01,1-10,51,189.98803600000000000000
2018-11-01,10-100,31,1037.3942380000000000
2018-11-01,100-1000,27,8378.0822110000000000
2018-11-01,1000-10000,35,204017.4327080000000000
2018-11-01,10000-100000,2,100528.045420000000
2018-11-01,100000-1000000,4,849831.740358000000
2018-12-01,1-10,10,14.30920000000000000000
2018-12-01,10-100,13,552.2898400000000000
2018-12-01,100-1000,8,3413.7168310000000000
2018-12-01,1000-10000,16,39435.4422860000000000
2018-12-01,10000-100000,363,19438772.438014000000
2018-12-01,100000-1000000,109,14362857.421622000000
2019-01-01,0.1-1,1,0.11000000000000000000
2019-01-01,1-10,8,20.32760000000000000000
2019-01-01,10-100,9,283.2778070000000000
2019-01-01,100-1000,7,2296.9010420000000000
2019-01-01,1000-10000,7,32997.8823580000000000
2019-01-01,10000-100000,3,48654.674755000000
2019-01-01,100000-1000000,2,399999.998650000000
2019-02-01,0.1-1,4,3.49181300000000000000
2019-02-01,1-10,7,27.10010800000000000000
2019-02-01,10-100,14,590.2650280000000000
2019-02-01,100-1000,14,4645.9824860000000000
2019-02-01,1000-10000,19,76496.4728840000000000
2019-02-01,10000-100000,3,54464.228124000000
2019-02-01,100000-1000000,1,100000.000000000000
2019-03-01,<0.01,1,0.00200000000000000000
2019-03-01,1-10,7,33.6396470000000000
2019-03-01,10-100,25,1059.7020600000000000
2019-03-01,100-1000,23,8884.9860880000000000
2019-03-01,1000-10000,30,144830.3773330000000000
2019-03-01,10000-100000,13,479490.7168840000000000
2019-03-01,100000-1000000,1,250000.849523000000
2019-04-01,<0.01,1,0.00100000000000000000
2019-04-01,0.01-0.1,15,0.24700000000000000000
2019-04-01,0.1-1,15,4.18230000000000000000
2019-04-01,1-10,18,45.06187000000000000000
2019-04-01,10-100,66,2397.2655440000000000
2019-04-01,100-1000,43,13678.8497420000000000
2019-04-01,1000-10000,54,206532.5664770000000000
2019-04-01,10000-100000,19,635259.954977000000
2019-04-01,100000-1000000,11,4797376.027037000000
2019-04-01,1000000-10000000,13,31274698.597594000000
2019-05-01,<0.01,1,0.000010000000000000000000
2019-05-01,0.01-0.1,7,0.20394100000000000000
2019-05-01,0.1-1,13,5.08845600000000000000
2019-05-01,1-10,74,330.54315500000000000000
2019-05-01,10-100,210,10048.9871520000000000
2019-05-01,100-1000,471,151215.6768600000000000
2019-05-01,1000-10000,403,1460536.6404670000000000
2019-05-01,10000-100000,165,8296715.1787460000000000
2019-05-01,100000-1000000,96,27856073.004081000000
2019-05-01,1000000-10000000,22,68436793.384707000000
2019-06-01,<0.01,35,0.004750000000000000000000
2019-06-01,0.01-0.1,6,0.10926300000000000000
2019-06-01,0.1-1,11,3.75009800000000000000
2019-06-01,1-10,76,314.01633700000000000000
2019-06-01,10-100,324,14425.3341260000000000
2019-06-01,100-1000,801,361722.5287250000000000
2019-06-01,1000-10000,1791,6806114.1368300000000000
2019-06-01,10000-100000,813,37147674.9734430000000000
2019-06-01,100000-1000000,373,80610393.681818000000
2019-06-01,1000000-10000000,20,63495567.525398000000
2019-07-01,<0.01,17,0.019746000000000000000000
2019-07-01,0.01-0.1,16,0.42100000000000000000
2019-07-01,0.1-1,40,12.91874100000000000000
2019-07-01,1-10,404,1346.60990800000000000000
2019-07-01,10-100,846,37196.9334560000000000
2019-07-01,100-1000,1492,633682.5313900000000000
2019-07-01,1000-10000,4077,15080465.6789990000000000
2019-07-01,10000-100000,1789,33528666.4729150000000000
2019-07-01,100000-1000000,147,31232406.348838000000
2019-07-01,1000000-10000000,32,62950523.010297000000
2019-08-01,<0.01,70,0.067860000000000000000000
2019-08-01,0.01-0.1,54,0.81438100000000000000
2019-08-01,0.1-1,104,47.50079200000000000000
2019-08-01,1-10,730,2808.09217900000000000000
2019-08-01,10-100,3607,155136.1132130000000000
2019-08-01,100-1000,8281,2412940.5844360000000000
2019-08-01,1000-10000,4466,15527604.5932670000000000
2019-08-01,10000-100000,3680,68716139.1812370000000000
2019-08-01,100000-1000000,260,74115318.238944000000
2019-08-01,1000000-10000000,19,32491518.026394000000
2019-09-01,<0.01,49,0.051643000000000000000000
2019-09-01,0.01-0.1,33,1.07838900000000000000
2019-09-01,0.1-1,180,78.69856700000000000000
2019-09-01,1-10,783,3399.06130800000000000000
2019-09-01,10-100,5770,286207.7314150000000000
2019-09-01,100-1000,13005,3782536.0976710000000000
2019-09-01,1000-10000,5803,20074312.5839840000000000
2019-09-01,10000-100000,4229,99681809.3648400000000000
2019-09-01,100000-1000000,462,137477527.657044000000
2019-09-01,1000000-10000000,33,61364812.543615000000
2019-09-01,>=10000000,1,13537261.904706000000
2019-10-01,<0.01,39,0.080671000000000000000000
2019-10-01,0.01-0.1,63,1.93665900000000000000
2019-10-01,0.1-1,172,83.26295500000000000000
2019-10-01,1-10,926,4225.82721400000000000000
2019-10-01,10-100,7213,364102.8951750000000000
2019-10-01,100-1000,11983,4126661.6152590000000000
2019-10-01,1000-10000,7544,24425665.3157960000000000
2019-10-01,10000-100000,3475,108549796.5219270000000000
2019-10-01,100000-1000000,446,129300012.279998000000
2019-10-01,1000000-10000000,132,171629865.719348000000
2019-11-01,<0.01,33,0.032596000000000000000000
2019-11-01,0.01-0.1,45,1.53519300000000000000
2019-11-01,0.1-1,197,102.93132900000000000000
2019-11-01,1-10,872,3847.96429500000000000000
2019-11-01,10-100,3399,167146.5673920000000000
2019-11-01,100-1000,11167,4271335.7003950000000000
2019-11-01,1000-10000,8316,25471360.6143750000000000
2019-11-01,10000-100000,2248,68613145.6968590000000000
2019-11-01,100000-1000000,684,190833453.578792000000
2019-11-01,1000000-10000000,148,225441376.010066000000
2019-11-01,>=10000000,3,40000000.000000000000
2019-12-01,<0.01,221,0.304628000000000000000000
2019-12-01,0.01-0.1,87,2.03721400000000000000
2019-12-01,0.1-1,241,79.81200400000000000000
2019-12-01,1-10,1375,5605.28429100000000000000
2019-12-01,10-100,3931,187238.2012460000000000
2019-12-01,100-1000,11308,4119285.3635600000000000
2019-12-01,1000-10000,7292,22086468.8099740000000000
2019-12-01,10000-100000,2038,60762767.3781970000000000
2019-12-01,100000-1000000,593,180550781.167823000000
2019-12-01,1000000-10000000,189,258547066.659635000000
2020-01-01,<0.01,85,0.123120000000000000000000
2020-01-01,0.01-0.1,65,2.33512700000000000000
2020-01-01,0.1-1,255,112.15629500000000000000
2020-01-01,1-10,1622,7080.22467600000000000000
2020-01-01,10-100,5893,264193.3784710000000000
2020-01-01,100-1000,11996,4584340.1291550000000000
2020-01-01,1000-10000,7651,22572275.9691300000000000
2020-01-01,10000-100000,2904,81572715.1819790000000000
2020-01-01,100000-1000000,735,212675646.012882000000
2020-01-01,1000000-10000000,186,251955006.249207000000
2020-02-01,<0.01,43,0.110983000000000000000000
2020-02-01,0.01-0.1,72,2.87691700000000000000
2020-02-01,0.1-1,173,79.08191800000000000000
2020-02-01,1-10,3513,14747.57808000000000000000
2020-02-01,10-100,9608,403914.5745730000000000
2020-02-01,100-1000,18132,7146915.5935060000000000
2020-02-01,1000-10000,11626,36343374.6333260000000000
2020-02-01,10000-100000,3783,108267691.1382720000000000
2020-02-01,100000-1000000,750,216371256.777661000000
2020-02-01,1000000-10000000,199,315017864.120362000000
2020-03-01,<0.01,87,0.154104000000000000000000
2020-03-01,0.01-0.1,107,3.41213800000000000000
2020-03-01,0.1-1,527,241.30263500000000000000
2020-03-01,1-10,3727,15797.71704900000000000000
2020-03-01,10-100,15619,760620.2703570000000000
2020-03-01,100-1000,21197,7934401.0834650000000000
2020-03-01,1000-10000,18648,51722154.8015290000000000
2020-03-01,10000-100000,5547,160939218.8938210000000000
2020-03-01,100000-1000000,1325,373003756.644348000000
2020-03-01,1000000-10000000,136,403914258.930079000000
2020-03-01,>=10000000,24,281172861.218966000000
2020-04-01,<0.01,88,0.185703000000000000000000
2020-04-01,0.01-0.1,130,3.99738600000000000000
2020-04-01,0.1-1,614,250.09951800000000000000
2020-04-01,1-10,7529,29250.75181300000000000000
2020-04-01,10-100,20705,868657.9912880000000000
2020-04-01,100-1000,27962,9985791.3890180000000000
2020-04-01,1000-10000,23016,63052840.5366100000000000
2020-04-01,10000-100000,5238,162049318.2898300000000000
2020-04-01,100000-1000000,1355,342503879.105994000000
2020-04-01,1000000-10000000,130,310090888.122628000000
2020-04-01,>=10000000,41,538001000.000000000000
2020-05-01,<0.01,93,0.231494000000000000000000
2020-05-01,0.01-0.1,90,3.39842300000000000000
2020-05-01,0.1-1,435,188.43626600000000000000
2020-05-01,1-10,6353,23523.24904300000000000000
2020-05-01,10-100,20673,821813.2481220000000000
2020-05-01,100-1000,31684,11458059.7264800000000000
2020-05-01,1000-10000,34895,94625359.3612760000000000
2020-05-01,10000-100000,6136,192772360.1500590000000000
2020-05-01,100000-1000000,1543,394709057.498715000000
2020-05-01,1000000-10000000,226,519017954.751428000000
2020-05-01,>=10000000,9,113500000.000000000000
2020-06-01,<0.01,179,0.310217000000000000000000
2020-06-01,0.01-0.1,141,4.49148800000000000000
2020-06-01,0.1-1,477,199.10093400000000000000
2020-06-01,1-10,5340,21850.61280100000000000000
2020-06-01,10-100,35635,1477093.5006070000000000
2020-06-01,100-1000,55777,18176065.2328380000000000
2020-06-01,1000-10000,51740,150193335.0179410000000000
2020-06-01,10000-100000,10872,337441574.0775370000000000
2020-06-01,100000-1000000,3056,824236757.006923000000
2020-06-01,1000000-10000000,447,973238906.617929000000
2020-06-01,>=10000000,7,112770584.229540000000
2020-07-01,<0.01,150,0.434537000000000000000000
2020-07-01,0.01-0.1,189,7.29071700000000000000
2020-07-01,0.1-1,1800,649.59623500000000000000
2020-07-01,1-10,5919,25032.27663800000000000000
2020-07-01,10-100,33671,1677505.3074590000000000
2020-07-01,100-1000,63328,22022907.1007530000000000
2020-07-01,1000-10000,78602,233676463.9996320000000000
2020-07-01,10000-100000,14735,442979922.2449190000000000
2020-07-01,100000-1000000,3240,849922966.233398000000
2020-07-01,1000000-10000000,457,1134214110.195734000000
2020-07-01,>=10000000,6,71102173.640309000000
2020-08-01,<0.01,357,0.748895000000000000000000
