month,newly_adopted_addresses
2017-12-01,3
2018-01-01,56
2018-02-01,57
2018-03-01,19
2018-04-01,71
2018-05-01,65
2018-06-01,55
2018-07-01,14
2018-08-01,11
2018-09-01,36
2018-10-01,37
2018-11-01,81
2018-12-01,61
2019-01-01,24
2019-02-01,61
2019-03-01,66
2019-04-01,117
2019-05-01,808
2019-06-01,1966
2019-07-01,4253
2019-08-01,16179
2019-09-01,12578
2019-10-01,7899
2019-11-01,10531
2019-12-01,8547
2020-01-01,8846
2020-02-01,13517
2020-03-01,20754
2020-04-01,25990
2020-05-01,40187
2020-06-01,70639
2020-07-01,53337
2020-08-01,49418
2020-09-01,67581
2020-10-01,59799
2020-11-01,52530
2020-12-01,81104
2021-01-01,84389
2021-02-01,67961
2021-03-01,78244
2021-04-01,111470
2021-05-01,125732
2021-06-01,113375
2021-07-01,91914
2021-08-01,79219
2021-09-01,71387
2021-10-01,90889
2021-11-01,82373
2021-12-01,65132
2022-01-01,47478
2022-02-01,44792
2022-03-01,63274
2022-04-01,54160
2022-05-01,59035
2022-06-01,60070
2022-07-01,59133
2022-08-01,110290
2022-09-01,118076
2022-10-01,123807
2022-11-01,152344
2022-12-01,156119
2023-01-01,138386
2023-02-01,178770
2023-03-01,243562
2023-04-01,123712
2023-05-01,122477
2023-06-01,128670
2023-07-01,120347
2023-08-01,134382
2023-09-01,130486
2023-10-01,159809
2023-11-01,184246
2023-12-01,199656
2024-01-01,209402
2024-02-01,188776
2024-03-01,237305
2024-04-01,197015
2024-05-01,184028
2024-06-01,163553
2024-07-01,158240
2024-08-01,168719
2024-09-01,231466
2024-10-01,163107
2024-11-01,220005
2024-12-01,225644
2025-01-01,221096
2025-02-01,280131
2025-03-01,327937
2025-04-01,282921
2025-05-01,303592
2025-06-01,537118
2025-07-01,355102
2025-08-01,515672
2025-09-01,551751
2025-10-01,621116
2025-11-01,733472
2025-12-01,1620136
2026-01-01,2667088
2026-02-01,1977926
2026-03-01,2305117
2026-04-01,1377155
2026-05-01,1584019
2026-06-01,1681519
