month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2017-12-01,1020.0000000000000000,3,3,2,2
2018-01-01,61387609.382911000000,58,56,57,57
2018-02-01,748294.200444000000,64,57,73,73
2018-03-01,1588925.731850000000,29,19,41,41
2018-04-01,1658715.593413000000,77,71,106,106
2018-05-01,544010.854908000000,77,65,144,144
2018-06-01,732876.141731000000,88,55,100,100
2018-07-01,308409.862440000000,20,14,16,16
2018-08-01,315714.239866000000,18,11,18,18
2018-09-01,1926011.848896000000,46,36,49,49
2018-10-01,6992856.608464000000,60,37,123,123
2018-11-01,1574916.145838000000,97,81,156,156
2018-12-01,34837588.700312000000,81,61,1407,1407
2019-01-01,574375.307294000000,39,24,41,41
2019-02-01,862665.996492000000,73,61,89,101
2019-03-01,652690.525712000000,88,66,97,97
2019-04-01,377279337.9244520000,157,117,231,235
2019-05-01,335263671.9167510000,870,808,1755,1755
2019-06-01,553636973.0449340000,2282,1966,5520,5524
2019-07-01,583853975.2317800000,5031,4253,8454,8613
2019-08-01,286554993.3022670000,17252,16179,27447,27745
2019-09-01,780779110.1883180000,16305,12578,29579,30078
2019-10-01,459870377.7029550000,10659,7899,26673,27252
2019-11-01,549627167.2963470000,14124,10531,36191,37016
2019-12-01,794108369.6611530000,12471,8547,31461,32718
2020-01-01,571314292.1639930000,12473,8846,32788,33078
2020-02-01,1094715855.6891660000,18687,13517,49888,50828
2020-03-01,2781854541.9741870000,27781,20754,71408,76034
2020-04-01,2745348415.5545140000,34798,25990,91198,112868
2020-05-01,1422748288.7761230000,52499,40187,106423,130366
2020-06-01,2699675948.7470070000,85503,70639,132282,176233
2020-07-01,3069677035.8583850000,71380,53337,177142,193787
2020-08-01,6484648789.2000690000,70672,49418,262171,269378
2020-09-01,11476273920.8301420000,92582,67581,332358,338478
2020-10-01,7273143295.3314390000,92507,59799,322244,326703
2020-11-01,8782684946.9512020000,87908,52530,278419,283657
2020-12-01,10498884262.4382530000,124839,81104,371591,388172
2021-01-01,17953654306.9290360000,131233,84389,358613,383271
2021-02-01,20111459658.4028510000,111197,67961,275487,291284
2021-03-01,22200315747.3468620000,124016,78244,302741,316963
2021-04-01,23588849495.6900620000,164988,111470,359719,372123
2021-05-01,40788536589.3628380000,185128,125732,415377,431262
2021-06-01,22092885444.7903820000,170395,113375,408054,433390
2021-07-01,19709838646.5752340000,150410,91914,359183,386833
2021-08-01,24598796335.9758930000,138122,79219,310358,322684
2021-09-01,20988162958.5932680000,124199,71387,262803,276438
2021-10-01,21619198344.7111300000,145913,90889,282731,299718
2021-11-01,25281494816.7513960000,132439,82373,257309,268262
2021-12-01,24476191580.9902530000,112069,65132,214458,218991
2022-01-01,20717071095.5609810000,89338,47478,174560,180341
2022-02-01,13044965203.9324980000,80861,44792,152021,160119
2022-03-01,15345458516.2824770000,104449,63274,197326,208425
2022-04-01,11722051916.6721950000,94845,54160,177543,189875
2022-05-01,21570449078.6881960000,104242,59035,198362,213836
2022-06-01,18173874243.2104410000,99135,60070,180666,196938
2022-07-01,8837027003.0880970000,96941,59133,193977,216434
2022-08-01,7811445384.1334980000,155441,110290,242216,330143
2022-09-01,9140183261.6627510000,177104,118076,255856,376527
2022-10-01,9213759341.7979830000,188946,123807,267579,391082
2022-11-01,19495195660.4255010000,229808,152344,325790,474748
2022-12-01,11348413654.1728470000,229063,156119,304128,438526
2023-01-01,15714575539.8184470000,214575,138386,296585,446482
2023-02-01,11753730124.5346580000,259139,178770,325990,540766
2023-03-01,29735709815.1981590000,347461,243562,425402,737367
2023-04-01,13159882536.2269430000,211975,123712,282665,487074
2023-05-01,12023662464.7077310000,202723,122477,266284,449386
2023-06-01,15640486356.1991590000,208825,128670,261738,419019
2023-07-01,10287088447.0618290000,195090,120347,258256,403545
2023-08-01,12151558920.7082730000,212394,134382,272933,440361
2023-09-01,8766148138.5082150000,205435,130486,261486,417430
2023-10-01,11200828719.8735910000,248597,159809,325827,515695
2023-11-01,17549895017.9943350000,284376,184246,356694,592510
2023-12-01,17434888892.3320250000,310816,199656,377478,630273
2024-01-01,21211075691.1641260000,321283,209402,396036,654508
2024-02-01,18104913565.5678550000,300821,188776,352636,586574
2024-03-01,29606124175.2737550000,363432,237305,419000,709273
2024-04-01,20857818320.4473490000,310571,197015,395734,636275
2024-05-01,15406165610.7189150000,297036,184028,379706,612524
2024-06-01,11863748598.5479640000,271503,163553,340783,566308
2024-07-01,14881351075.8443240000,267046,158240,363763,606094
2024-08-01,18438289923.8726220000,280344,168719,387901,658752
2024-09-01,12990054502.1215460000,338733,231466,370499,717918
2024-10-01,16744689442.8733340000,277359,163107,369692,655562
2024-11-01,51599381574.3534540000,359138,220005,431818,792705
2024-12-01,39572730369.1689530000,366321,225644,448051,798359
2025-01-01,27423995977.7341160000,342044,221096,425581,757830
2025-02-01,30703819495.5817430000,402406,280131,478847,932909
2025-03-01,24328026248.7808160000,455873,327937,538732,1018298
2025-04-01,28170625505.7651740000,409648,282921,542516,926136
2025-05-01,23795506169.8528400000,447755,303592,592998,1015896
2025-06-01,21824154272.8557940000,692049,537118,574136,1436549
2025-07-01,40143322133.0186630000,546022,355102,689635,1217034
2025-08-01,41336314249.1265680000,728707,515672,801667,1737508
2025-09-01,50884219642.1007820000,801609,551751,883960,2059956
2025-10-01,61191679964.1088720000,902925,621116,975854,2005436
2025-11-01,44535555057.2243640000,1021881,733472,1018047,2176202
2025-12-01,29198953402.4743400000,1919915,1620136,1288856,4835175
2026-01-01,29152128975.7182000000,3056387,2667088,1621613,5259762
2026-02-01,27361703166.5529340000,2308017,1977926,1650738,4142929
2026-03-01,24610201990.0850050000,2864943,2305117,1917812,6338859
2026-04-01,32410805051.0698390000,1805833,1377155,1456204,6268777
2026-05-01,22623557132.0342280000,1967593,1584019,1457835,7633653
2026-06-01,18879565870.1775120000,2230987,1681519,1379251,9900886
