month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2017-12-01,1,10529752,c6cde7c39eb2f0f0095f41570af89efc2c1ea828,2,1020000000,1020.0000000000000000
2018-01-01,1,34959245,61e2523f3e7895670be632600bf0d139453642f7,2,4999900,4.9999000000000000
2018-01-01,2,34787,7192402ec373ad005b2a3925108a08cb6b7ac6ea,1,1000003512000,1000003.512000000000
2018-04-01,1,7230127,7b74c19124a9ca92c6141a2ed5f92130fc2791f2,33,65716508532,65716.508532000000
2018-04-01,2,12033148,001fa6f74c8eeaa372c8437a3bdd22b630d9a7b6,1,3071957700,3071.9577000000000000
2018-04-01,3,84635921,5ba33e8a48d9a99cec57217eaf5c05cfc367f187,1,1000,0.00100000000000000000
2018-05-01,1,7230127,7b74c19124a9ca92c6141a2ed5f92130fc2791f2,30,142603810923,142603.810923000000
2018-05-01,2,65728557,fef736cfa3b884669a4e0efd6a081250cce228e7,2,1652755,1.6527550000000000
2018-05-01,3,94623816,04f062809b244e37e7fdc21d9409469c989c2342,1,19500000,19.5000000000000000
2018-06-01,1,7230127,7b74c19124a9ca92c6141a2ed5f92130fc2791f2,21,19918828757,19918.828757000000
2018-06-01,2,87296066,3d49be967b884b91078a7946a772be1c804e806c,1,46000000,46.0000000000000000
2018-06-01,3,114172010,df8236e8be9ddc7a251fdddf767c75813692e602,1,750000,0.75000000000000000000
2018-07-01,1,7230127,7b74c19124a9ca92c6141a2ed5f92130fc2791f2,4,2461169837,2461.1698370000000000
2018-07-01,2,94623816,04f062809b244e37e7fdc21d9409469c989c2342,2,787330000,787.3300000000000000
2018-07-01,3,125410848,df5021a4c1401f1125cd347e394d977630e17cf7,1,35000000000,35000.000000000000
2018-07-01,4,114172010,df8236e8be9ddc7a251fdddf767c75813692e602,1,20000000000,20000.000000000000
2018-07-01,5,29122470,684ef1a00937863a978554506f6a95425757c3d0,1,5000000,5.0000000000000000
2018-07-01,6,144594067,04d520dce491b42ca73dce20798e27c0a2424e95,1,1000000,1.00000000000000000000
2018-08-01,1,7230127,7b74c19124a9ca92c6141a2ed5f92130fc2791f2,3,308915506,308.9155060000000000
2018-08-01,2,60196,8d12a197cb00d4747a1fe03395095ce2a5cc6819,2,78051599415,78051.599415000000
2018-08-01,3,146716873,9eeed71db2ac9f9b1be80b3bef46a03554801a39,1,20000000000,20000.000000000000
2018-08-01,4,159883234,8284e1ffc3fa30d7ad662f421d1c38c143c22f10,1,121084500,121.0845000000000000
2018-08-01,5,152813599,32d491c8ac3c14b4a8d7d5e758ce7dc6e09e420d,1,21233409,21.2334090000000000
2018-09-01,1,188716030,1a9b2d827f26b7d7c18fec4c1b27c1e8deeba26e,9,2181621901,2181.6219010000000000
