month,size_bucket,transfer_count,bucket_volume
2017-12-01,10-100,1,20.0000000000000000
2017-12-01,1000-10000,1,1000.0000000000000000
2018-01-01,0.1-1,1,0.99990000000000000000
2018-01-01,1-10,1,4.0000000000000000
2018-01-01,100-1000,17,11482.1643000000000000
2018-01-01,1000-10000,27,97633.9929710000000000
2018-01-01,10000-100000,8,278484.7137400000000000
2018-01-01,1000000-10000000,1,1000003.512000000000
2018-01-01,>=10000000,2,60000000.000000000000
2018-02-01,100-1000,19,13001.7727000000000000
2018-02-01,1000-10000,35,107375.7588440000000000
2018-02-01,10000-100000,19,627916.668900000000
2018-03-01,10-100,3,260.5292000000000000
2018-03-01,100-1000,13,6802.9798000000000000
2018-03-01,1000-10000,16,57974.2723500000000000
2018-03-01,10000-100000,8,223889.600000000000
2018-03-01,1000000-10000000,1,1299998.350500000000
2018-04-01,<0.01,1,0.00100000000000000000
2018-04-01,1-10,4,9.60000000000000000000
2018-04-01,10-100,7,340.2001000000000000
2018-04-01,100-1000,23,11973.2263570000000000
2018-04-01,1000-10000,42,156316.2319600000000000
2018-04-01,10000-100000,25,996861.340796000000
2018-04-01,100000-1000000,4,493214.993200000000
2018-05-01,0.1-1,4,2.41275500000000000000
2018-05-01,1-10,2,3.00000000000000000000
2018-05-01,10-100,11,494.3619640000000000
2018-05-01,100-1000,18,10742.3398820000000000
2018-05-01,1000-10000,98,331157.3723570000000000
2018-05-01,10000-100000,11,201611.367950000000
2018-06-01,0.1-1,2,0.85515100000000000000
2018-06-01,1-10,3,11.61111100000000000000
2018-06-01,10-100,12,590.1651470000000000
2018-06-01,100-1000,23,13149.3512710000000000
2018-06-01,1000-10000,46,153805.9317510000000000
2018-06-01,10000-100000,12,327939.343800000000
2018-06-01,100000-1000000,2,237378.883500000000
2018-07-01,1-10,2,6.00000000000000000000
2018-07-01,10-100,1,10.0000000000000000
2018-07-01,100-1000,6,2818.6879690000000000
2018-07-01,1000-10000,3,10576.3899710000000000
2018-07-01,10000-100000,3,74998.784500000000
2018-07-01,100000-1000000,1,220000.000000000000
2018-08-01,<0.01,1,0.00300000000000000000
2018-08-01,1-10,1,3.7334100000000000
2018-08-01,10-100,2,46.5982180000000000
2018-08-01,100-1000,5,1032.0091990000000000
2018-08-01,1000-10000,2,3942.7966240000000000
2018-08-01,10000-100000,6,191689.099415000000
2018-08-01,100000-1000000,1,119000.000000000000
2018-09-01,0.01-0.1,1,0.08054900000000000000
2018-09-01,0.1-1,2,0.98000000000000000000
2018-09-01,1-10,5,11.34451000000000000000
2018-09-01,10-100,9,324.4618960000000000
2018-09-01,100-1000,10,4266.7188350000000000
2018-09-01,1000-10000,9,21481.3793390000000000
2018-09-01,10000-100000,9,313467.044126000000
2018-09-01,100000-1000000,4,1586459.839641000000
2018-10-01,<0.01,2,0.00952500000000000000
2018-10-01,0.01-0.1,1,0.04821900000000000000
2018-10-01,0.1-1,2,0.97380000000000000000
2018-10-01,1-10,9,31.56189600000000000000
2018-10-01,10-100,26,1202.3074800000000000
2018-10-01,100-1000,9,2531.0102080000000000
2018-10-01,1000-10000,36,135191.3820990000000000
2018-10-01,10000-100000,18,701102.007437000000
2018-10-01,100000-1000000,19,4452797.307800000000
2018-10-01,1000000-10000000,1,1700000.000000000000
2018-11-01,<0.01,6,0.00505500000000000000
2018-11-01,0.01-0.1,2,0.07012200000000000000
2018-11-01,0.1-1,6,2.48821500000000000000
2018-11-01,1-10,27,142.23548700000000000000
2018-11-01,10-100,33,1085.4489220000000000
2018-11-01,100-1000,29,8620.8463450000000000
2018-11-01,1000-10000,9,54111.5165300000000000
2018-11-01,10000-100000,7,181908.9295730000000000
2018-11-01,100000-1000000,6,1329044.605589000000
2018-12-01,<0.01,5,0.031293000000000000000000
2018-12-01,0.01-0.1,1,0.06375200000000000000
2018-12-01,0.1-1,1,0.62210000000000000000
2018-12-01,1-10,8,17.04670000000000000000
2018-12-01,10-100,12,590.4357420000000000
2018-12-01,100-1000,32,18916.7880570000000000
2018-12-01,1000-10000,371,2215692.7737740000000000
2018-12-01,10000-100000,969,30339247.4112460000000000
2018-12-01,100000-1000000,7,2263123.527648000000
2019-01-01,0.01-0.1,1,0.01011800000000000000
2019-01-01,0.1-1,1,0.77117700000000000000
2019-01-01,1-10,6,27.79458500000000000000
2019-01-01,10-100,8,345.3471010000000000
2019-01-01,100-1000,7,2099.4715880000000000
2019-01-01,1000-10000,12,61575.3564970000000000
2019-01-01,10000-100000,4,160326.556228000000
2019-01-01,100000-1000000,2,350000.000000000000
2019-02-01,<0.01,19,0.063088000000000000000000
2019-02-01,0.01-0.1,2,0.12199700000000000000
2019-02-01,0.1-1,4,3.71949700000000000000
2019-02-01,1-10,8,25.88851000000000000000
2019-02-01,10-100,18,659.3638680000000000
2019-02-01,100-1000,18,7019.8721950000000000
2019-02-01,1000-10000,25,76116.9175820000000000
2019-02-01,10000-100000,3,52127.049755000000
2019-02-01,100000-1000000,4,726713.000000000000
2019-03-01,<0.01,1,0.00236300000000000000
2019-03-01,0.01-0.1,4,0.13801900000000000000
2019-03-01,0.1-1,4,1.02431100000000000000
2019-03-01,1-10,4,14.87072800000000000000
2019-03-01,10-100,28,1272.1721980000000000
2019-03-01,100-1000,25,12093.4116270000000000
2019-03-01,1000-10000,24,87688.2095630000000000
2019-03-01,10000-100000,6,251620.696903000000
2019-03-01,100000-1000000,1,300000.000000000000
2019-04-01,<0.01,5,0.003474000000000000000000
2019-04-01,0.01-0.1,3,0.12371500000000000000
2019-04-01,0.1-1,4,1.46578900000000000000
2019-04-01,1-10,22,70.69458400000000000000
2019-04-01,10-100,60,1993.2233140000000000
2019-04-01,100-1000,46,14306.2944870000000000
2019-04-01,1000-10000,28,102536.2508920000000000
2019-04-01,10000-100000,22,753270.2781970000000000
2019-04-01,100000-1000000,23,9317939.320000000000
2019-04-01,1000000-10000000,16,27089220.270000000000
2019-04-01,>=10000000,6,340000000.000000000000
2019-05-01,<0.01,7,0.009631000000000000000000
2019-05-01,0.01-0.1,7,0.17332400000000000000
2019-05-01,0.1-1,11,3.54130500000000000000
2019-05-01,1-10,95,385.99675000000000000000
2019-05-01,10-100,344,16501.3866560000000000
2019-05-01,100-1000,537,229307.4749730000000000
2019-05-01,1000-10000,605,2575025.5401870000000000
2019-05-01,10000-100000,53,1608083.8366410000000000
2019-05-01,100000-1000000,71,27494364.957284000000
2019-05-01,1000000-10000000,23,53339999.000000000000
2019-05-01,>=10000000,2,250000000.000000000000
2019-06-01,<0.01,6,0.006683000000000000000000
2019-06-01,0.01-0.1,6,0.21672700000000000000
2019-06-01,0.1-1,21,10.41912200000000000000
2019-06-01,1-10,125,481.69119100000000000000
2019-06-01,10-100,622,29010.6013800000000000
2019-06-01,100-1000,1621,721118.5958250000000000
2019-06-01,1000-10000,2577,12057891.7522880000000000
2019-06-01,10000-100000,384,11691446.4827560000000000
2019-06-01,100000-1000000,104,40305879.196815000000
2019-06-01,1000000-10000000,55,138831134.082147000000
2019-06-01,>=10000000,3,350000000.000000000000
2019-07-01,<0.01,19,0.038374000000000000000000
2019-07-01,0.01-0.1,155,3.30950000000000000000
2019-07-01,0.1-1,146,47.54008100000000000000
2019-07-01,1-10,316,1155.61983600000000000000
2019-07-01,10-100,1085,50319.9700140000000000
2019-07-01,100-1000,2158,908386.0789830000000000
2019-07-01,1000-10000,2982,14550955.0673250000000000
2019-07-01,10000-100000,1585,26165973.2947960000000000
2019-07-01,100000-1000000,137,40413284.259719000000
2019-07-01,1000000-10000000,23,51763850.053152000000
2019-07-01,>=10000000,5,450000000.000000000000
2019-08-01,<0.01,92,0.149588000000000000000000
2019-08-01,0.01-0.1,34,1.09743800000000000000
2019-08-01,0.1-1,162,83.27893200000000000000
2019-08-01,1-10,1128,4957.54842500000000000000
2019-08-01,10-100,10137,440214.4999840000000000
2019-08-01,100-1000,8123,2847426.0993140000000000
2019-08-01,1000-10000,4412,15621294.4169280000000000
2019-08-01,10000-100000,3410,65482519.9252840000000000
2019-08-01,100000-1000000,211,58216176.286374000000
